case,problem,cores,candidates,fastest_time,fastest_added,fastest_spill,fastest_hit,fastest_name,min_copy_time,min_copy_added,min_copy_name,min_copy_time_penalty_pct,near2_time,near2_added,near2_saved_bytes,max_hit,max_hit_time,max_hit_added,max_hit_name,max_hit_time_penalty_pct,fastest_eligible,max_hit_eligible,fastest_ddr_proxy,max_hit_ddr_proxy
case_017,1,5,19,35496,340992,0,,wcc_start0_simple_a5_per_core_lpt_mv,43288,252288,wcc_start1_affinity_a4_per_core_w15,21.95176921343249,36143,337536,3456,,,,,,,,,
case_017,2,5,19,28295,340992,0,,wcc_unrestricted_interleave_w8_complement_earliest_start,162810,22528,whole_graph_single_active,475.4020144901926,28295,340992,0,,,,,,,,,
case_017,3,5,19,28045,340992,0,0.21958886441200307,region_observed_order_control,162810,22528,whole_graph_single_active,480.5312889998217,28045,340992,0,0.3892114003949276,32923,340992,wcc_protected_interleave_v2_w2_base_earliest_start,17.39347477268676,876110,876110,792470,643862
case_022,1,5,22,11724,13824,0,,wcc_start1_affinity_a5_per_core_w15,11724,13824,wcc_start1_affinity_a5_per_core_w15,0.0,11724,13824,0,,,,,,,,,
case_022,2,5,20,11654,20736,0,,trace_r00_03_stable_id,56780,0,whole_graph_single_active,387.2146902351124,11654,20736,0,,,,,,,,,
case_022,3,5,20,11820,20736,0,0.08851098704092608,wcc_protected_interleave_v2_reencode_control,56780,0,whole_graph_single_active,380.37225042301185,11820,20736,0,0.2797698877673466,33643,521952,op_stable_id_w100,184.62774957698818,234276,566680,213686,577098
case_028,1,5,9,9764657,327158784,0,,p1_joint_r0_phase16_eft_raw,11193429,277710912,wcc_task_4_mv_complement_batch2,14.63207565816187,9764657,327158784,0,,,,,,,,,
case_028,2,5,19,8250713,26780160,18186240,,trace_r00_00_compute_dependency_tail,8250713,26780160,trace_r00_00_compute_dependency_tail,0.0,8250713,26780160,0,,,,,,,,,
case_028,3,5,19,8182832,26780160,18186240,0.2964536436137292,trace_r00_00_compute_dependency_tail,8182832,26780160,trace_r00_00_compute_dependency_tail,0.0,8182832,26780160,0,0.4843778768387741,8523550,149802792,wcc_protected_interleave_v2_w2_complement_memory_tie,4.163815168147167,21715584,151077288,26251104,82532904
case_034,1,5,19,165049,2903040,0,,split512,175289,2856960,merge1024,6.20421814127925,165971,2898944,4096,,,,,,,,,
