case,problem,cores,makespan,speedup,original_bytes,added_bytes,scheduled_bytes,modeled_pre_spill_bytes,inferred_spill_bytes,spill_model_checked_against_record,root_read_bytes,root_replication_bytes,root_replication_fraction,active_cores,subgraphs,fixed_core_compute_fraction,global_compute_floor_fraction,heaviest_subgraph_compute_fraction,original_compute_path_fraction,logical_ddr_volume_over_time,hit_rate_if_available,cache_record_available,plan_sha256
case_007,2,5,196870,5.14330268705237,1732608,110592,1843200,1843200,0,False,990720,110592,0.06,5,3885,0.9945852593081729,0.9945852593081729,0.0029867425204449637,0.008289734342459491,0.15604205821100217,,False,71b49abfdc7708499bc2d60707658ae852ac0c6c86e6b92e741953d214f002c5
case_007,3,5,196870,5.14330268705237,1732608,110592,1843200,1843200,0,False,990720,110592,0.06,5,3885,0.9945852593081729,0.9945852593081729,0.0029867425204449637,0.008289734342459491,0.15604205821100217,,False,71b49abfdc7708499bc2d60707658ae852ac0c6c86e6b92e741953d214f002c5
case_008,1,5,100603,4.846823653370178,2654424,0,2654424,2654424,0,False,1990872,0,0.0,5,5,0.5064660099599415,0.497257537051579,0.5064660099599415,0.044849557170263316,0.4397522936691749,,False,d6f5514f60d11b36afff6cc20011fa3af1efb0e315725675360cd3574d93abf1
case_008,2,5,55855,8.729836182973772,2654424,0,2654424,2654424,0,False,1990872,0,0.0,5,864,0.9122191388416435,0.89563333631725,0.0207322531554919,0.08078059260585445,0.7920580073404351,,False,e88b516d4f6a3167d37e45a5dc30ed4ac5c281a3d7a2bc650c29bf1748f78719
case_008,3,5,55855,8.729836182973772,2654424,0,2654424,2654424,0,False,1990872,0,0.0,5,864,0.9122191388416435,0.89563333631725,0.0207322531554919,0.08078059260585445,0.7920580073404351,,False,e88b516d4f6a3167d37e45a5dc30ed4ac5c281a3d7a2bc650c29bf1748f78719
case_009,1,5,81068,1.890524004539399,495332,531874,1027206,1027206,0,False,695740,200546,0.19523445151216018,5,83,0.7858094439236197,0.29602802585483795,0.11005575566191346,0.1229214980016776,0.2111819706912715,,False,aef326e613bb5cbc20012cb19c09fcf11c676f5be038bbc6599310f199dfd797
case_009,2,5,50086,3.0599568741764167,495332,1290894,1786226,1786226,0,False,881912,386718,0.21650003974860965,5,5671,0.5337818951403586,0.4791438725392326,0.01557321407179651,0.19895779259673363,0.5943863221924955,,False,9425149a0a1417dc66d7981f5ef048d6e9dae26a9474efe09dc4705f1ef64f77
case_009,3,5,46646,3.285619345710243,495332,1290894,1786226,1786226,0,False,881912,386718,0.21650003974860965,5,5671,0.573146679243665,0.5144792693907302,0.016721691034601038,0.21363032199974274,0.6382204976489588,,False,9425149a0a1417dc66d7981f5ef048d6e9dae26a9474efe09dc4705f1ef64f77
case_010,1,5,29780,2.92038280725319,384150,362880,747030,747030,0,False,746958,362880,0.4857636239508453,4,36,0.9657152451309604,0.372706514439221,0.9657152451309604,0.10564137004701142,0.4180826057756884,,False,db941e1f5600be1368af4e6eb1dee1df3b21580a00a0088019c794d0effc053c
case_010,2,5,19138,4.544309750235135,384150,554512,938662,938662,0,False,688398,304320,0.32420615727492963,5,522,0.6279653046295328,0.5799561082662765,0.1830912321036681,0.16438499320723168,0.8174504476260146,,False,75e0e66226f632c335896d19b39dc646d1bf6b2f6b4f60d661f711db075c268a
case_010,3,5,18544,4.68987273511648,384150,554512,938662,938662,0,False,688398,304320,0.32420615727492963,5,667,0.6480802415875755,0.5985332182916308,0.04723899913718723,0.16965056082830027,0.8436349582973828,,False,997e3e564628228bcf44e0b4ef0940f1af1d538640f5ff275638bab985a240bd
case_011,1,5,46880,3.9397824232081913,606208,540672,1146880,1146880,0,False,1081344,540672,0.4714285714285714,4,4,0.9836177474402731,0.7868941979522184,0.9836177474402731,0.04522184300341297,0.40773606370876,,False,9f62431bc5a5d183c25ae2169f22f084cad0000c3fd7e9ddc9e6dd15aa97e883
case_011,2,5,39795,4.64121120743812,606208,1601536,2207744,2207744,0,False,2052096,1511424,0.6846011131725418,5,688,0.9743937680613143,0.9269908279934664,0.013167483352179921,0.053273024249277545,0.9246320727059513,,False,8ca0562bbfd64ec322d3bce63d6f9873db170161596dcd6062bf0888cfcadf5e
case_011,3,5,38462,4.802064375227498,606208,1558528,2164736,2164736,0,True,2074624,1533952,0.7086092715231788,5,92,0.9809162290052519,0.959118090582913,0.899173209921481,0.05511933856793719,0.9380410101745446,0.676153091265947,True,11ff602ef01cb127aa42650c3637dd27601f51ee659f0f4605decf6ce1eebeec
case_012,1,5,12786,4.62130455185359,554898,27648,582546,582546,0,True,511744,27648,0.0474606297185115,5,7,0.8196464883466291,0.5564210855623338,0.8196464883466291,0.19599562020960426,0.7593539809166275,,False,e4036cf7ad9569c347aa89ecf51248c41973901e1eb877762d52d4b44b5d76d6
case_012,2,5,12090,4.887344913151365,554898,61824,616722,616722,0,True,541824,57728,0.09360457385985906,5,972,0.8234904880066171,0.5884532671629445,0.10818858560794045,0.20727874276261374,0.8501819685690654,,False,fb9330b8375d3a2a9f72e42886e4b730652a33e8a4612af874133bf93f1189c9
case_012,3,5,12045,4.90560398505604,554898,61824,616722,616722,0,True,541824,57728,0.09360457385985906,5,972,0.8265670402656704,0.5906517227065172,0.10859277708592777,0.20805313408053133,0.8533582399335825,0.08637326429748177,True,fb9330b8375d3a2a9f72e42886e4b730652a33e8a4612af874133bf93f1189c9
case_013,1,5,54363,4.855305998565201,2527232,32768,2560000,2560000,0,False,2056192,32768,0.0128,5,5,0.9859647186505528,0.9701892831521439,0.9859647186505528,0.007357945661571289,0.7848475372342708,,False,3b76e6ddcb1b70103c11d6b51d3cf93c3293c1509bc3058be8ec5a38d714d7e0
case_013,2,5,53708,4.914519252252923,2527232,45056,2572288,2572288,0,False,2056192,32768,0.012738853503184714,5,9,0.9830192894913234,0.9820213003649364,0.9830192894913234,0.007447680047665152,0.7982324172686874,,False,1f25b06de5e233f585596aba8d488568923ec41de5cf97c3f8d74f98705281be
case_013,3,5,53418,4.941199595641918,2527232,45056,2572288,2572288,0,False,2056192,32768,0.012738853503184714,5,9,0.9883559848740125,0.9873525777827699,0.9883559848740125,0.007488112621213823,0.8025659265915359,,False,1f25b06de5e233f585596aba8d488568923ec41de5cf97c3f8d74f98705281be
