case,cores,p2_makespan,p3_makespan,p2_over_p3,p2_added_copy,p3_added_copy,p2_cache_hit_rate,p3_cache_hit_rate,p3_hit_bytes,p3_miss_bytes,relation
case_003,3,201189,200944,1.0012192451628315,3430748,3430748,N/A,0.3500477886621758,1219598,2264492,faster
case_004,3,130725,130725,1.0,221184,221184,N/A,0.0,0,672768,equal
case_005,3,34420,32392,1.0626080513707088,1262476,1152972,N/A,0.37914664605480985,394380,645798,faster
case_006,3,31151,31151,1.0,0,0,N/A,0.0,0,543264,equal
case_007,3,326994,326994,1.0,55296,55296,N/A,0.0,0,935424,equal
case_008,3,87867,87867,1.0,0,0,N/A,0.0,0,1990872,equal
case_009,3,80002,79991,1.0001375154704903,74240,95232,N/A,0.058598625879390694,32768,526426,faster
case_010,3,29582,29343,1.008145043110793,48384,59904,N/A,0.09438883502437559,41472,397902,faster
case_011,3,62289,62289,1.0,2531328,2535424,N/A,0.17261904761904762,356352,1708032,equal
case_012,3,13844,13842,1.0001444877907817,32832,32832,N/A,0.03862820354091866,19968,496960,faster
case_013,3,88351,88351,1.0,16384,16384,N/A,0.0,0,2039808,equal
case_014,3,5904919,5842901,1.010614247956623,80211600,80211600,N/A,0.44707686940682556,40292016,49831224,faster
case_015,3,54594,54371,1.0041014511412334,208128,1355008,N/A,0.06928256571581168,115712,1554434,faster
case_016,3,2877801,2877208,1.0002061025827815,275564,275564,N/A,0.3968643798994064,262752,399318,faster
case_017,3,38685,38445,1.0062426843542724,269972,269972,N/A,0.11236733536988631,85632,676440,faster
case_018,3,325165,325023,1.000436892158401,2638208,2638208,N/A,0.5884956050831983,2441600,1707284,faster
case_019,3,22000,22000,1.0,27168,27168,N/A,0.05224299970933049,10784,195636,equal
case_020,3,177950,177950,1.0,0,0,N/A,0.0,0,1179648,equal
case_021,3,2095417,2095417,1.0,28008448,28008448,N/A,0.20923615670825127,3915776,14798848,equal
case_022,3,18346,18320,1.0014192139737992,13824,13824,N/A,0.02026706074840344,4608,222756,faster
case_023,3,25878,25878,1.0,225568,225568,N/A,0.12738435029456702,82208,563146,equal
case_024,3,954489,953896,1.0006216610615832,266588,266588,N/A,0.39895252607279397,262344,395238,faster
case_025,3,1568824,1568824,1.0,55296,55296,N/A,0.0,0,4177920,equal
case_026,3,41655,41481,1.0041946915455269,95664,105264,N/A,0.10461590812420246,61488,526262,faster
case_027,3,745692,745692,1.0,12165120,12165120,N/A,0.0,0,7925760,equal
case_028,3,13360974,13360974,1.0,32792832,32792832,N/A,0.0,0,23568768,equal
case_029,3,12743,12743,1.0,0,0,N/A,0.0,0,258132,equal
case_030,3,930940,927318,1.003905887732148,12462080,3652608,N/A,0.5672425474254743,3429376,2616320,faster
case_031,3,452413,450295,1.0047035832065645,6380544,6379520,N/A,0.4087509655098616,3499008,5061236,faster
case_032,3,11865,11865,1.0,6216,6216,N/A,0.0217820949497498,6216,279156,equal
case_033,3,581136,580115,1.0017599958628893,7235648,7235648,N/A,0.37239413963787293,3600384,6067824,faster
case_034,3,250493,250493,1.0,1889280,1889280,N/A,0.44995183802225047,1875968,2293296,equal
