case,problem,cores,makespan,added_copy,original_singlecore,speedup,source,source_commit,source_plan,plan,plan_sha256,verification
case_002,3,2,125561,3975168,261945,2.086197147203351,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p3/n2/case_002_multicore_res.json,方案/p3/n2/case_002_multicore_res.json,30587bf44d5748c6a4ca5ba616b76be0d49c2019af78ea8fea4be16d12e6cee1,inherited_team13_success
case_002,3,3,82013,632832,261945,3.1939448623998636,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p3/n3/case_002_multicore_res.json,方案/p3/n3/case_002_multicore_res.json,461eca12c666881060e3e2901bffcab4b8318a0840ed2c1f302ec7e1a7b61027,inherited_team13_success
case_002,3,4,63304,595968,261945,4.137890180715279,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p3/n4/case_002_multicore_res.json,方案/p3/n4/case_002_multicore_res.json,43413ad1505a9b48ec3ecde14ef3fb54b1b5468b449f616a03351b6d1c4b455e,inherited_team13_success
case_002,3,5,51207,642048,261945,5.115413908254731,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p3/n5/case_002_multicore_res.json,方案/p3/n5/case_002_multicore_res.json,5dcc44acd14d153494c2e1f85ae0a01722199c47aebc0f636ad84301c488dc77,inherited_team13_success
case_003,1,1,592320,1314672,602212,1.0167004321988113,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p1/n1/case_003_multicore_res.json,方案/p1/n1/case_003_multicore_res.json,a87707c21638408283946d442aad72a65b22933ede933c838c2364ce2e9a1001,inherited_team13_success
case_003,1,2,538381,98304,602212,1.1185610190552786,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p1/n2/case_003_multicore_res.json,方案/p1/n2/case_003_multicore_res.json,58ed6b02a8fc242f4bfe1d397564d2d8060074b0b07c0d2593645a236e96bb8e,inherited_team13_success
case_003,1,3,538381,98304,602212,1.1185610190552786,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p1/n3/case_003_multicore_res.json,方案/p1/n3/case_003_multicore_res.json,649ffd5849ccd848f09d47a2fb6723ab5f76ef057ac2e37dc581e4099259391b,inherited_team13_success
case_003,1,4,538381,98304,602212,1.1185610190552786,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p1/n4/case_003_multicore_res.json,方案/p1/n4/case_003_multicore_res.json,2f1dbf2e0fdcda699b79507e388eb05e80b4d19320e2ec9598db2721e1691ba0,inherited_team13_success
case_003,1,5,232913,8482342,602212,2.585566284406624,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p1/n5/case_003_multicore_res.json,方案/p1/n5/case_003_multicore_res.json,0a883cb005822698ea2eb60da532c9a719e4f568ea422ecf43b5d8e852a48b59,inherited_team13_success
case_003,2,1,602212,0,602212,1.0,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p2/n1/case_003_multicore_res.json,方案/p2/n1/case_003_multicore_res.json,9ec5a094b04cc1376f44b29ce0935c7e2d3e94a340ab0a842624357425620101,inherited_team13_success
