run,case,method,num_cores,active_cores,makespan_p2,makespan_p3,hardware_ratio,original_input_tensors,original_inputs_with_multiple_compute_consumers,original_inputs_actually_read_by_multiple_cores,repeated_read_tensors,all_read_bytes,potential_repeat_bytes,potential_repeat_fraction,fifo_eviction_count,max_cache_used_bytes,max_compute_pipe_busy_fraction,ddr_busy_fraction,hit_bytes,hit_rate,miss_first,miss_inflight_repeat,miss_after_eviction
pilot_v1,case_064,simple,2,1,19116,19116,1.0,62,26,0,0,35622,0,0.0,0,35622,0.8236032642812304,0.03463067587361373,0,0.0,62,0,0
pilot_v1,case_064,simple,5,1,19116,19116,1.0,62,26,0,0,35622,0,0.0,0,35622,0.8236032642812304,0.03463067587361373,0,0.0,62,0,0
pilot_v1,case_071,affinity,1,1,18919,18919,1.0,35,29,0,0,111462,0,0.0,0,111462,0.6625085892489032,0.10809239388974047,0,0.0,35,0,0
pilot_v1,case_071,affinity,2,1,18919,18919,1.0,35,29,0,0,111462,0,0.0,0,111462,0.6625085892489032,0.10809239388974047,0,0.0,35,0,0
pilot_v1,case_071,affinity,5,1,18919,18919,1.0,35,29,0,0,111462,0,0.0,0,111462,0.6625085892489032,0.10809239388974047,0,0.0,35,0,0
pilot_v1,case_071,simple,1,1,18919,18919,1.0,35,29,0,0,111462,0,0.0,0,111462,0.6625085892489032,0.10809239388974047,0,0.0,35,0,0
pilot_v1,case_071,simple,2,1,18919,18919,1.0,35,29,0,0,111462,0,0.0,0,111462,0.6625085892489032,0.10809239388974047,0,0.0,35,0,0
pilot_v1,case_071,simple,5,1,18919,18919,1.0,35,29,0,0,111462,0,0.0,0,111462,0.6625085892489032,0.10809239388974047,0,0.0,35,0,0
pilot_v1,case_093,affinity,1,1,74205,74205,1.0,280,4,0,0,573440,0,0.0,0,573440,0.9968061451384678,0.16461154908698875,0,0.0,280,0,0
pilot_v1,case_093,affinity,2,2,37827,37827,1.0,280,4,4,4,581632,8192,0.014084507042253521,0,573440,0.9918841039469162,0.32661855288550506,0,0.0,280,4,0
pilot_v1,case_093,affinity,5,5,15876,15876,1.0,280,4,4,4,606208,32768,0.05405405405405406,0,573440,0.9453262786596119,0.8046737213403881,0,0.0,280,16,0
pilot_v1,case_093,simple,1,1,74205,74205,1.0,280,4,0,0,573440,0,0.0,0,573440,0.9968061451384678,0.16461154908698875,0,0.0,280,0,0
pilot_v1,case_093,simple,2,2,37827,37827,1.0,280,4,4,4,581632,8192,0.014084507042253521,0,573440,0.9918841039469162,0.32661855288550506,0,0.0,280,4,0
pilot_v1,case_093,simple,5,5,15876,15876,1.0,280,4,4,4,606208,32768,0.05405405405405406,0,573440,0.9453262786596119,0.8046737213403881,0,0.0,280,16,0
pilot_fullpool_v2,case_001,affinity,1,1,233110,233110,1.0,201,201,0,0,820352,0,0.0,0,820352,0.9986701557204753,0.11848483548539317,0,0.0,201,0,0
pilot_fullpool_v2,case_001,affinity,2,2,116868,116868,1.0,201,201,1,1,821504,1152,0.0014023060143346837,0,820352,0.9959954820823493,0.23650614368347195,0,0.0,201,1,0
pilot_fullpool_v2,case_001,affinity,5,5,47502,47502,1.0,201,201,1,1,824960,4608,0.005585725368502715,0,820352,0.980169256031325,0.5831333417540314,0,0.0,201,4,0
pilot_fullpool_v2,case_001,simple,1,1,233110,233110,1.0,201,201,0,0,820352,0,0.0,0,820352,0.9986701557204753,0.11848483548539317,0,0.0,201,0,0
pilot_fullpool_v2,case_001,simple,2,2,116868,116868,1.0,201,201,1,1,821504,1152,0.0014023060143346837,0,820352,0.9959954820823493,0.23650614368347195,0,0.0,201,1,0
pilot_fullpool_v2,case_001,simple,5,5,47502,47502,1.0,201,201,1,1,824960,4608,0.005585725368502715,0,820352,0.980169256031325,0.5831333417540314,0,0.0,201,4,0
pilot_fullpool_v2,case_008,affinity,1,1,487605,487605,1.0,432,0,0,0,1990872,0,0.0,205,1044594,0.5129725905189652,0.09147568216076538,0,0.0,432,0,0
pilot_fullpool_v2,case_008,affinity,2,2,244266,244266,1.0,432,0,0,0,1990872,0,0.0,204,1044596,0.5119992139716538,0.18260421016432904,0,0.0,432,0,0
pilot_fullpool_v2,case_008,affinity,5,5,100603,100603,1.0,432,0,0,0,1990872,0,0.0,204,1044600,0.5064660099599415,0.44336650000497,0,0.0,432,0,0
pilot_fullpool_v2,case_008,simple,1,1,487605,487605,1.0,432,0,0,0,1990872,0,0.0,205,1044594,0.5129725905189652,0.09147568216076538,0,0.0,432,0,0
pilot_fullpool_v2,case_008,simple,2,2,244266,244266,1.0,432,0,0,0,1990872,0,0.0,204,1044596,0.5119992139716538,0.18260421016432904,0,0.0,432,0,0
pilot_fullpool_v2,case_008,simple,5,5,100603,100603,1.0,432,0,0,0,1990872,0,0.0,204,1044600,0.5064660099599415,0.44336650000497,0,0.0,432,0,0
