case,problem,cores,variant,original_singlecore,makespan,speedup,added_copy,scheduled_copy,spill,hit_bytes,miss_bytes,byte_hit_rate,calls,failed_calls,seconds,generation_seconds,generation_error_count,recovered_with_extended_time,recovery_calls,recovery_elapsed_seconds,plan,plan_sha256,source_export,python,B8_prefix_makespan,B12_prefix_makespan,B16_prefix_makespan,B24_prefix_makespan
case_002,2,5,frontier,261945,51909,5.046234756978559,663552,1887744,0,0,0,,24,0,11.033369340992067,0.038334718003170565,0,False,0,0,plans/p2/n5/case_002.json,dbb6eb87c3bfbec2d089e17d1fc848141a2b1d1d4abb9d51121ef024f10b3f37,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,59668,51909,51909,51909
case_002,3,1,frontier,261945,251773,1.04040147275522,2732544,3956736,2732544,958464,2503680,0.27684117125110913,24,0,15.548727034998592,0.05425896501401439,0,False,0,0,plans/p3/n1/case_002.json,ff5447390e6e7414551fb210e82595a5f2a530db93c131e7024289a4496a79f0,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,253617,252352,252352,251773
case_002,3,2,frontier,261945,129739,2.0190150995460114,4348416,5572608,1087488,193536,4205568,0.04399441340782123,24,0,19.656231987988576,0.041038884985027835,0,False,0,0,plans/p3/n2/case_002.json,bdcf630d9bb83a5c1dac641918ab8b804edd10288244bc1256417db91463a7e5,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,131639,131639,131639,129739
case_002,3,3,frontier,261945,82949,3.1579042544213913,635904,1860096,0,0,1540608,0.0,17,0,11.280485766008496,0.03702422199421562,0,False,0,0,plans/p3/n3/case_002.json,d4323ee563003d93b5afedb2543deda3bf5260e7d46113406ccfd30556040939,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,94385,94385,94385,82949
case_002,3,4,frontier,261945,68622,3.8172160531607937,595968,1820160,0,0,1520640,0.0,17,0,10.399189564981498,0.03596191998803988,0,False,0,0,plans/p3/n4/case_002.json,f237fa394349184fc2ab52468bc8cccd7e783c11985dc3454f3f81cbb3eb087b,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,71776,71776,71776,68622
case_002,3,5,frontier,261945,59289,4.418104538784598,642048,1866240,0,0,1543680,0.0,17,0,10.262409706017934,0.0344146860006731,0,False,0,0,plans/p3/n5/case_002.json,42885e152e7339b219b2be72d7ff14c966e84d2faf783a5a1b281f46f1e8c562,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,59289,59289,59289,59289
case_003,1,1,mature,602212,588859,1.0226760565772113,683810,1968074,0,0,0,,16,0,243.4174415100133,0.0,0,False,0,0,plans/p1/n1/case_003.json,cdcc5155ebe34f6bcced8c55151c47da89b01a368065bbcf6fefe83026dadcc4,A题研究/直接迭代/运行结果/从头全量P1便携47_v3,3.12.3,592320,592320,588859,588859
case_003,1,2,mature,602212,518040,1.1624816616477491,1839404,3123668,0,0,0,,6,1,240.18835552898236,0.0,0,False,0,0,plans/p1/n2/case_003.json,6a4ec90b853452c61568a06814180dc3fc82e1c67076650380df68e9e2a6092b,A题研究/直接迭代/运行结果/从头全量P1便携47_v3,3.12.3,518040,518040,518040,518040
case_003,1,3,mature,602212,504527,1.1936169917566355,1839404,3123668,0,0,0,,6,1,240.2169687790156,0.0,0,False,0,0,plans/p1/n3/case_003.json,611184af221484fc92175e54bf2879f2f39585c21573a2d975f31e257fb86238,A题研究/直接迭代/运行结果/从头全量P1便携47_v3,3.12.3,504527,504527,504527,504527
case_003,1,4,mature,602212,322298,1.8684943747711744,6080450,7364714,0,0,0,,9,0,244.51173753500916,0.0,0,False,0,0,plans/p1/n4/case_003.json,3885d6b52107b1073617bc247b2b0b539b1e2c8d9fdafb7181faa63d44b0ad2f,A题研究/直接迭代/运行结果/从头全量P1便携47_v3,3.12.3,322298,322298,322298,322298
