case,makespan,compute_dependency_bound,ideal_pipe_bound,necessary_bound,upper_limit_reduction_pct
case_077,119429,15619,83081.2,83081.2,30.43465155029348
case_078,619540,246816,407577.6,407577.6,34.21286761145367
case_079,6056359,5952,5884876.8,5884876.8,2.8314404743840393
case_080,95868,746,57808.8,57808.8,39.699586932031536
case_081,30943,407,30345.0,30345.0,1.9325857221342502
case_082,386894,54690,113587.2,113587.2,70.64126091384205
case_083,412888,28456,162167.2,162167.2,60.723682935808256
case_084,503472,2328,253310.4,253310.4,49.687291448183814
case_085,873645,165564,513043.2,513043.2,41.275552426901086
case_086,58819,6894,15836.4,15836.4,73.07604685560788
case_087,879179,82063,718656.0,718656.0,18.258284149189187
case_088,97719,32229,34721.6,34721.6,64.4679130977599
case_089,147432,16272,117824.0,117824.0,20.08247870204569
case_090,494219,63936,168105.6,168105.6,65.98560557161906
case_091,1861235,56912,1796272.0,1796272.0,3.4903169132323386
case_092,1618214,28456,742830.4,742830.4,54.09566349073731
case_093,15876,400,14793.6,14793.6,6.817838246409669
case_094,23422,2484,14188.8,14188.8,39.42105712577918
case_095,420852,4512,213998.4,213998.4,49.15115052322432
case_096,26984,9417,10626.0,10626.0,60.62110880521791
case_097,2102348,23904,2060697.6,2060697.6,1.9811372807927108
case_098,89756,6783,32540.2,32540.2,63.74593341949284
case_099,337075,2826,319096.8,319096.8,5.333590447229852
case_100,57811,4830,20401.4,20401.4,64.7101762640328
