case,problem,time,ops,copy,spill,root_replication,root_replication_ratio,memory_pressure,speedup,active
case_021,1,1243902,3920,10711040,0,3276800,0.30592734225621415,0.44140625,5.280108079253832,5
case_021,2,1250168,3920,14770176,2011136,9420800,0.6378258458125347,1.0,5.253643510312214,5
case_021,3,1249311,3920,14770176,2011136,9420800,0.6378258458125347,1.0,5.2572473947639935,5
case_022,1,11828,1356,234422,0,20736,0.08845586165121021,0.47662353515625,4.800473452823808,5
case_022,2,11576,1356,227510,0,13824,0.06076216430047031,0.500213623046875,4.904975812024879,5
case_022,3,11576,1356,227510,0,13824,0.06076216430047031,0.500213623046875,4.904975812024879,5
case_023,1,23846,1011,798452,0,281280,0.35228166502181724,0.2197723388671875,5.141910592971567,5
case_023,2,19915,1011,724436,0,280992,0.38787691390267737,0.703125,6.156866683404469,5
case_023,3,19711,1011,724436,0,280992,0.38787691390267737,0.40625,6.220587489219218,5
case_024,1,1095114,5959,39721266,0,589824,0.014849073541613704,0.5000152587890625,2.3334036456478504,5
case_024,2,658886,5959,14030754,0,327680,0.023354411316740355,1.0,3.8782778811509124,5
case_024,3,656657,5959,14030754,0,327680,0.023354411316740355,1.0,3.8914425643829276,5
case_025,1,975282,18662,8328192,0,110592,0.013279232755440797,0.0673828125,4.986276789687495,5
case_025,2,942350,18662,8335872,0,112128,0.013451262207481112,0.0703125,5.160530588422561,5
case_025,3,942350,18662,8335872,0,112128,0.013451262207481112,0.0703125,5.160530588422561,5
case_026,1,41655,636,624518,0,95664,0.15318053282691613,0.4375,2.3815388308726444,3
case_026,2,28623,636,1294038,0,361216,0.27913863425958124,0.8125,3.465849142298152,5
case_026,3,26036,636,1294038,0,361216,0.27913863425958124,0.8125,3.8102243048087265,5
case_027,1,558753,1424,7569408,0,5529600,0.7305194805194806,0.1328125,4.230763861670542,5
case_027,2,448488,1424,18159616,0,3291136,0.18123378820345099,0.4140625,5.270937015037192,5
case_027,3,448117,1424,18159616,0,3291136,0.18123378820345099,0.4140625,5.2753008700852675,5
case_028,1,10194624,19584,332477568,0,8593920,0.025848119774504606,0.36474609375,4.299917289740161,5
case_028,2,8387714,19584,123583104,4571136,8593920,0.06953960308360599,0.98876953125,5.226220159628714,5
case_028,3,8300936,19584,123583104,4571136,8593920,0.06953960308360599,0.98876953125,5.280855074656641,5
case_029,1,9383,861,430164,0,0,0.0,0.109405517578125,4.002451241607162,5
case_029,2,9383,861,430164,0,0,0.0,0.109405517578125,4.002451241607162,5
case_029,3,9383,861,430164,0,0,0.0,0.109405517578125,4.002451241607162,5
case_030,1,558846,10070,13266892,630784,6103040,0.4600203272929334,1.0,5.024700901500593,5
case_030,2,560451,10070,9651660,1265152,5992448,0.6208722644602068,1.0,5.010311338546992,5
case_030,3,560198,10070,9651660,1265152,5992448,0.6208722644602068,1.0,5.012574125577028,5
case_031,1,306213,6135,10244432,1810944,6248448,0.6099360120697761,1.0,4.618905794332703,5
case_031,2,304955,6135,10260560,1810944,6250752,0.6092018369367754,1.0,4.637959698971979,5
case_031,3,304955,6135,10260560,1810944,6250752,0.6092018369367754,1.0,4.637959698971979,5
case_032,1,10415,827,305448,0,12360,0.040465152824703386,0.281341552734375,3.9791646663466156,5
case_032,2,9948,827,303328,0,2048,0.006751767064036291,0.281341552734375,4.165963007639727,4
case_032,3,9917,827,303328,0,2048,0.006751767064036291,0.281341552734375,4.178985580316628,4
case_033,1,368019,3465,9641262,107520,4015680,0.41650978886374,0.99609375,4.8209358755933795,5
case_033,2,368931,3465,7902510,903168,4014144,0.5079581044503582,0.9990234375,4.80901848855206,5
case_033,3,368435,3465,7902510,903168,4014144,0.5079581044503582,0.9990234375,4.815492556353224,5
