case,compute_ops,components,largest_component_work_fraction,compute_work_m,compute_work_v,smaller_pipe_fraction,dependency_path_proxy,average_compute_cycles,fork_fraction,join_fraction,graph_sha256,parallelism_proxy,p1_makespan,p1_speedup,p1_added_copy,p1_active_cores,p1_subgraphs,p1_tiny_subgraph_fraction,p1_largest_subgraph_work_fraction,p1_fixed_core_work_fraction,p1_global_compute_floor_fraction,p1_modeled_copy_in_bytes,p1_modeled_repeat_cacheable_bytes,p1_modeled_repeat_fraction,p1_shared_logical_keys,p2_makespan,p2_speedup,p2_added_copy,p2_active_cores,p2_subgraphs,p2_tiny_subgraph_fraction,p2_largest_subgraph_work_fraction,p2_fixed_core_work_fraction,p2_global_compute_floor_fraction,p2_modeled_copy_in_bytes,p2_modeled_repeat_cacheable_bytes,p2_modeled_repeat_fraction,p2_shared_logical_keys,p3_makespan,p3_speedup,p3_added_copy,p3_active_cores,p3_subgraphs,p3_tiny_subgraph_fraction,p3_largest_subgraph_work_fraction,p3_fixed_core_work_fraction,p3_global_compute_floor_fraction,p3_modeled_copy_in_bytes,p3_modeled_repeat_cacheable_bytes,p3_modeled_repeat_fraction,p3_shared_logical_keys,overlapping_structural_labels
case_038,5907,130,0.019798013901616854,1325000,167776,0.11239194627995092,8754,252.7130523108177,0.013204672422549517,0.4303368884374471,69575019d0670552c74f386508042357a94419ed2f49d18a382a71a8cf39e5ac,170.525017135024,276053,4.943090638391903,8454144,5,10,0.0,0.5272900493745766,0.9644669682995657,0.9599605872785298,8895498,6100992,0.685851652150335,738,277456,4.918095121388617,7258624,5,10,0.0,0.524623724122023,0.9595899890433077,0.9551063952482556,8563722,5769216,0.6736809065030369,738,275192,4.958556208029303,9667584,5,5907,1.0,0.005625163522195413,0.9674845198988342,0.9629640396523155,11353098,8558592,0.7538552032229441,739,many_independent_components;p1_heavy_task;repeated_logical_reads
case_039,5250,70,0.014285714285714285,1377880,98420,0.06666666666666667,784,281.2,0.0,0.49333333333333335,8e999d9db7fe3b1060baef4bff52304267c4034700290fe0a7520f777cbc78ed,1883.0357142857142,316542,4.534191355333573,9805824,5,10,0.0,0.4352913673382995,0.870582734676599,0.870582734676599,8560640,4358144,0.509090909090909,266,308167,4.657416271047841,10448896,5,10,0.0,0.44712120376289477,0.8942424075257895,0.8942424075257895,11673600,7471104,0.64,608,300221,4.780684895460344,10452992,5,5250,1.0,0.0017253956252227525,0.9196358682437271,0.9179104726185043,11673600,7467008,0.6396491228070176,607,many_independent_components;p1_heavy_task;repeated_logical_reads
case_040,3083,28,0.47310419416706134,111972,185751,0.376094557692889,16120,96.56925072980863,0.21472591631527732,0.40934155043788517,7d595de282221534f949ab7ffae0ff026d5c7652b9110c18c0031aa78400cc57,18.469168734491316,110105,2.301929975932065,0,3,3,0.0,0.8542482176104628,0.8542482176104628,0.3374142863630171,911174,0,0.0,0,68324,3.70958960248229,2162492,5,3083,1.0,0.006498448568584977,0.5858409929161056,0.5437474386745507,2264174,729318,0.32211216982440394,127,63092,4.0172129588537375,2162492,5,3083,1.0,0.0070373422937931905,0.6344227477334686,0.5888385215241235,2264174,729318,0.32211216982440394,127,fork_join_parallel_potential;p1_heavy_task;fine_grained_compute;repeated_logical_reads;mixed_m_v_work
case_041,16594,494,0.0048825232700650005,5895240,607750,0.09345700977550327,1767,391.88803181872964,0.0004821019645655056,0.4290707484633,97d875b7e79ef0257342689d0c348f86ab591d74dfa9a9c28a72f47abb531491,3680.243350311262,1196379,5.018440644645217,40630272,5,5,0.0,0.989034411336207,0.989034411336207,0.985513787854852,22969344,18020352,0.7845392537113816,1045,1194924,5.02455135221989,18518016,5,494,0.0,0.024152163652249013,0.9902387097422095,0.9867137993713407,20259840,15310848,0.755724033358605,1045,1191935,5.037151354729914,40630272,5,16594,1.0,0.0006543981005675645,0.9927219185609953,0.9891881688179305,22969344,18020352,0.7845392537113816,1045,many_independent_components;p1_heavy_task;repeated_logical_reads
case_042,4733,104,0.030899094954692945,1599076,226026,0.12384294138081049,5685,385.6120853581238,0.005493344601732516,0.42488907669554193,c098a559bbb2f888a39d47b81fee2e93ae04365d4ce377982758cd3373ac33c5,321.0381706244503,342220,4.928817719595582,10187904,5,6,0.0,0.9695517503360411,0.9695517503360411,0.9345333411255917,9618336,7254144,0.7541994789951193,454,354324,4.760445242207697,6993920,5,4733,1.0,0.0024723134758018084,0.9050022013750127,0.9026089116176155,7046944,4678656,0.663926944786279,453,353812,4.7673340644183915,6993920,5,4733,1.0,0.0024758911512328583,0.9063118266197868,0.903915073541881,7046944,4678656,0.663926944786279,453,many_independent_components;p1_heavy_task;repeated_logical_reads
case_043,9309,38,0.39007861020226486,517752,343841,0.3990758977846849,27474,92.55483940272855,0.2443871522182834,0.4984423676012461,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c,31.36030428769018,222525,3.0453027749691044,6077368,5,168,0.2976190476190476,0.13576901471744748,0.5444062464891585,0.465345466801483,4494802,2101916,0.46763261207056506,298,169830,3.990201966672555,6691004,5,9309,1.0,0.012129776835659188,0.6404875463698994,0.6097332626744392,5326252,1798360,0.3376408025756198,408,158368,4.278995756718529,6691004,5,9309,1.0,0.013007678318852293,0.6868433016771065,0.6538631541725601,5326252,1798360,0.3376408025756198,408,fork_join_parallel_potential;fine_grained_compute;repeated_logical_reads;mixed_m_v_work
case_044,1364,11,0.09090909090909091,74404,9988,0.11835245046923878,7672,61.87096774193548,0.1935483870967742,0.1935483870967742,9abd4468a4be365e384de47431ac914ee44fd6e7b6221dffc584561f388cd57e,11.0,96349,1.6025802032195455,222208,1,2,0.0,0.40926216151698513,0.7722342733188721,0.15444893045075714,952928,0,0.0,0,44806,3.446123287059769,1020512,2,1242,1.0,0.0033477659242065793,0.8421193590144177,0.33212069812078737,1928384,930400,0.4824765191994955,50,43210,3.5734089331173338,1021280,2,1364,1.0,0.0034714186530895625,0.8836380467484378,0.3443878731775052,1928768,930400,0.4823804625543352,50,many_independent_components;fork_join_parallel_potential;p1_heavy_task;fine_grained_compute;repeated_logical_reads
case_045,1651,68,0.016959418534221685,0,125476,0.0,1824,76.0,0.19200484554815264,0.19200484554815264,64dff8e23ba176573a054ef2dc00a23a3487484bad65cb719acc4f087d611793,68.79166666666667,26153,4.8030436278820785,0,5,10,0.0,0.5230757465682713,0.9618781784116545,0.9595839865407411,278528,0,0.0,0,25770,4.874427629025999,0,5,68,0.0,0.08257663950329841,0.976173845556849,0.9738455568490493,278528,0,0.0,0,25770,4.874427629025999,0,5,10,0.0,0.5308498253783469,0.976173845556849,0.9738455568490493,278528,0,0.0,0,many_independent_components;fork_join_parallel_potential;p1_heavy_task;fine_grained_compute
case_046,992,8,0.125,209248,18400,0.0808265392184425,28456,229.48387096774192,0.1935483870967742,0.1935483870967742,1917fbb2bfe1141fd8dc4bdac6119dd44014df9a13eb18faa3e55f25bcc91659,8.0,124612,2.218526305652746,4513952,4,4,0.0,0.41979905627066416,0.41979905627066416,0.3358424549802587,3787136,2791200,0.7370213269341265,50,77211,3.580513139319527,2582304,4,992,1.0,0.007537786066752147,0.7227467588815065,0.5420212145937755,3572096,2570016,0.7194700254416455,50,73405,3.7661603433008652,2582304,4,992,1.0,0.007928615216947075,0.7602206934132553,0.5701246509093386,3572096,2570016,0.7194700254416455,50,many_independent_components;p1_heavy_task;repeated_logical_reads
case_047,13710,1,1.0,153760,259370,0.3721830900685014,19990,30.133479212253828,0.2824945295404814,0.5299781181619256,7c6328650b8e50e4d15a0ddf1ad0715a40d64d51f3c86c2c3b9c22e4cbb6a83f,20.666833416708354,321049,1.0170036349591496,1331486,1,20,0.0,0.04563477849175671,0.8078829088394607,0.16157658176789214,457286,0,0.0,0,95504,3.418788741832803,2651832,5,13710,1.0,0.002806165186798459,0.5805306584017423,0.5431604958954599,2046766,991960,0.48464748779293776,546,93047,3.509065311079347,2651832,5,13710,1.0,0.0028802648124066333,0.5958601566950036,0.5575031973088869,2046766,991960,0.48464748779293776,546,dominant_connected_region;fork_join_parallel_potential;fine_grained_compute;repeated_logical_reads;mixed_m_v_work
case_048,1728,1,1.0,139536,120060,0.46248786576064344,75960,150.22916666666666,0.3107638888888889,0.4496527777777778,9932aaca8ab23d020c5f5102fa3d436dd3cdf3ca8d1ee458d4c235c556c11764,3.417535545023697,162167,1.3703157855790635,3320606,5,1245,1.0,0.006462473869529559,0.30802814382704247,0.17209419918972418,1067674,267028,0.2501025593954709,115,98926,2.2463255362594263,1236824,5,720,0.9625,0.026605745708913733,0.316681155611265,0.28210985989527526,1104766,328168,0.2970475195652292,192,98781,2.2496229031898847,1236824,5,1728,1.0,0.010609327704720544,0.3171460098601958,0.2825239671596765,1104766,328168,0.2970475195652292,192,dominant_connected_region;repeated_logical_reads;mixed_m_v_work
case_049,4303,11,0.8563322472327408,95464,165715,0.3655117754490215,8921,60.69695561236347,0.25865675110388103,0.48338368580060426,444854fe118a208ddfa10fa0ddd48d7b5e6cfd3780a8049f2145fc1a9b674a08,29.27687478982177,124981,1.5704467078996007,1462062,5,83,0.26506024096385544,0.20765556364567414,0.5822805066370088,0.26518430801481824,720172,125428,0.17416394972312169,62,59914,3.2759622125045897,1782112,5,2140,0.9883177570093458,0.021030143205260875,0.6480956036986347,0.5531762192475882,1076980,277560,0.2577206633363665,167,59456,3.301197524219591,1786208,5,4303,1.0,0.009889666307857911,0.6530879978471474,0.5574374327233584,1079028,277560,0.2572315083575218,168,dominant_connected_region;fork_join_parallel_potential;fine_grained_compute;repeated_logical_reads;mixed_m_v_work
case_050,4555,23,0.761310612313153,51968,133411,0.28033380264215474,6829,40.69791437980241,0.25729967069154774,0.47376509330406147,3b6b1abd65fbfbb2a40972bdbd643c43107c4b232512741740ff351c366367aa,27.145848586908773,77776,1.9246297058218473,907036,5,99,0.29292929292929293,0.17232822464513475,0.48394106150997734,0.34307498457107594,675628,128886,0.19076474036007982,60,48502,3.0862644839388067,1481220,5,4555,1.0,0.01080367819883716,0.5965733371819719,0.5501422621747557,1225492,454154,0.37058911849281756,183,45172,3.313778446825467,1481220,5,4555,1.0,0.011600106260515363,0.6405516691755955,0.5906977773842204,1225492,454154,0.37058911849281756,183,dominant_connected_region;fork_join_parallel_potential;fine_grained_compute;repeated_logical_reads;mixed_m_v_work
case_051,1416,1,1.0,0,607080,0.0,51552,428.728813559322,0.016242937853107344,0.1864406779661017,884e8b12ac1f7a9b569958909680e8c2f6055966a59c9f929ffd5cee48aae43b,11.77607076350093,293518,2.0701558337137755,9046256,5,311,1.0,0.014281917974366138,0.5160978202358969,0.41365776545220395,656078,262282,0.3997725880154494,30,162296,3.7439493271553212,3507604,5,1416,1.0,0.0032286686055109184,0.7804875043131069,0.7481145561196826,2327242,360586,0.15494134258491382,31,159635,3.806358254768691,3507604,5,1416,1.0,0.0032824881761518462,0.7934976665518213,0.7605850847245278,2327242,360586,0.15494134258491382,31,dominant_connected_region
case_052,1008,52,0.03365617789274114,141528,62595,0.3066533413677048,3665,202.5029761904762,0.057539682539682536,0.24206349206349206,6196e8c72258ff26d0ab4dcee50c4f5b39f78142729a2223cfcbd4a9181ab7d0,55.695225102319235,44240,4.075519891500904,854016,5,52,0.0,0.13860759493670885,0.7220614828209765,0.6398282097649186,1138748,328704,0.2886538549354203,17,32948,5.472289668568654,328704,5,1008,1.0,0.03969891950953017,0.8653636032536117,0.8591113269394197,1138748,328704,0.2886538549354203,17,32948,5.472289668568654,328704,5,1008,1.0,0.03969891950953017,0.8653636032536117,0.8591113269394197,1138748,328704,0.2886538549354203,17,many_independent_components;fork_join_parallel_potential;repeated_logical_reads;mixed_m_v_work
case_053,11670,39,0.3958929908877301,1212726,344076,0.22101461842931858,56912,133.40205655526992,0.2640959725792631,0.4818337617823479,f3593af4c9aa960385c5fdfaf8ad98c396f05746d9e1fe6cc731adeae7019dbc,27.354547371380377,470274,3.1315488417390713,15299978,5,249,0.8032128514056225,0.4401540378587802,0.5766404266448921,0.5157546451643085,8098108,4306870,0.5318365721968638,281,432146,3.4078436454346446,17979556,4,11670,1.0,0.004766907480342292,0.7040606646827693,0.5612593891879133,14058280,5409488,0.38479017347783656,829,380122,3.8742456369270917,21711392,5,11670,1.0,0.005419312746960186,0.6516302660724714,0.6380740920020415,16592402,7093544,0.42751760715537146,989,fork_join_parallel_potential;p1_heavy_task;repeated_logical_reads;mixed_m_v_work
case_054,15751,24,0.6838853154239679,574216,440672,0.4342075184650917,20291,64.43324233382008,0.2700780902799822,0.5349501618944829,4c874b67351e0a6d336af3117c1289099c54993581f90de11e8f49fb33bb9828,50.01665763146222,447227,1.8224548160106613,2686120,5,97,0.44329896907216493,0.12554474573315116,0.400968635614576,0.25679129390667377,2275386,300818,0.1322052609974747,42,217984,3.739040480035232,6504128,5,15751,1.0,0.009450234879624193,0.5516184674104522,0.5268460070463887,5206322,1368280,0.2628112513978198,553,212882,3.8286515534427523,6504128,5,15751,1.0,0.009676722315649046,0.5648387369528659,0.539472571659417,5206322,1368280,0.2628112513978198,553,dominant_connected_region;fork_join_parallel_potential;fine_grained_compute;repeated_logical_reads;mixed_m_v_work
case_055,1236,24,0.10907562382972219,61796,69049,0.4722840001528526,6962,105.8616504854369,0.021035598705501618,0.20388349514563106,1121ee10f030be119d0930fe518d63aedd8cf65167627c7f66f1a7ffffd9d134,18.794168342430336,26781,4.437287629289422,198656,5,5,0.0,0.5677159180015683,0.5677159180015683,0.5156640902132109,824348,198656,0.24098560316759426,5,26309,4.516895359002623,157184,5,24,0.20833333333333334,0.478011326922346,0.5779010984834088,0.5249154281804705,782876,157184,0.20077764550196966,5,26309,4.516895359002623,157184,5,24,0.20833333333333334,0.478011326922346,0.5779010984834088,0.5249154281804705,782876,157184,0.20077764550196966,5,many_independent_components;p1_heavy_task;mixed_m_v_work
case_056,7678,19,0.9658088596144511,131016,245953,0.3475511248935589,13737,49.09729096118781,0.26947121646262046,0.5071633237822349,fda213426382a3810afd172eadc10b9221330b906888537cb13b16369be3369d,27.44187231564388,210746,1.3157307849259299,1429882,5,86,0.36046511627906974,0.16173972459738264,0.529908040959259,0.23341368282197528,806092,114934,0.14258174004952287,49,92627,2.9935655910263748,2734524,5,7678,1.0,0.002893324840489274,0.6033338011594891,0.531065456076522,1713794,549260,0.3204935949128075,307,91994,3.014163967215253,2734524,5,7678,1.0,0.0029132334717481573,0.607485270778529,0.534719655629715,1713794,549260,0.3204935949128075,307,dominant_connected_region;fork_join_parallel_potential;fine_grained_compute;repeated_logical_reads;mixed_m_v_work
case_057,865,21,0.21011894137309944,14062,47565,0.22817920716569037,8189,71.24508670520231,0.03468208092485549,0.1907514450867052,89778038db7db919a13c5885aa555c8ae054a3f43845c73fe346b6123d12a525,7.525583099279522,14268,4.186010653209981,70272,5,21,0.23809523809523808,0.9075553686571348,0.9075553686571348,0.6667367535744323,364812,28224,0.07736587612249597,4,16003,3.732175217146785,0,5,386,1.0,0.06698743985502718,0.8091607823533088,0.5944510404299194,336588,0,0.0,0,16003,3.732175217146785,0,5,386,1.0,0.06698743985502718,0.8091607823533088,0.5944510404299194,336588,0,0.0,0,many_independent_components;p1_heavy_task;fine_grained_compute;mixed_m_v_work
case_058,16575,255,0.00392156862745098,4358970,310080,0.06641179683233206,746,281.6923076923077,0.0,0.49230769230769234,95027788c05772259091802889106c7104efdecdaaabd002ed11a87f8f2f209d,6258.780160857908,943984,4.8091037559958645,36671488,5,10,0.0,0.4708173019881693,0.9235262462075629,0.9235262462075629,24059904,17436672,0.7247191011235955,1056,911208,4.982086417151737,36388864,5,237,0.0,0.037519424763610504,0.9567453314720679,0.9567453314720679,24059904,17436672,0.7247191011235955,1056,898391,5.053163934189011,36298752,5,16575,1.0,0.0005765863638438052,0.9703948503491242,0.9703948503491242,24059904,17436672,0.7247191011235955,1056,many_independent_components;p1_heavy_task;repeated_logical_reads
case_059,2752,64,0.015625,737792,102144,0.12160926546784517,2120,305.2093023255814,0.0,0.4883720930232558,50b062952359dc9aa22880856093e8ec7a69c66d358607de49fd5f559ac232e9,396.1962264150943,150782,5.501140719714555,4325376,5,5,0.0,0.993911740128132,0.993911740128132,0.9786247695348251,5406720,4325376,0.8,352,150736,5.502819498991615,1757184,5,64,0.0,0.07647808088313343,0.9942150514807345,0.9789234157732725,2838528,1757184,0.6190476190476191,330,150736,5.502819498991615,1757184,5,64,0.0,0.07647808088313343,0.9942150514807345,0.9789234157732725,2838528,1757184,0.6190476190476191,330,many_independent_components;p1_heavy_task;repeated_logical_reads
case_060,5281,89,0.02762507660215482,720232,273539,0.27525355439029714,4252,188.178564665783,0.024237833743609164,0.39386479833364896,29889cfaea8c831c2620d19191abf871694e61d4850ced26a9710847096c1e96,233.71848541862653,183430,4.845385160551709,3628416,5,5,0.0,0.8000436133674972,0.8000436133674972,0.7852968434825274,5539752,3441024,0.6211512717536813,513,181232,4.904150481151231,3641728,5,5281,1.0,0.0028913216209058004,0.809746623112916,0.7948210029133927,5543848,3435904,0.6197687959698751,513,180655,4.919814010129805,3641728,5,5281,1.0,0.0029005563089867428,0.8123328997259971,0.7973596080927735,5543848,3435904,0.6197687959698751,513,many_independent_components;p1_heavy_task;repeated_logical_reads;mixed_m_v_work
case_061,1115,40,0.22254311911782526,71456,27572,0.2784263036716888,11506,88.81434977578475,0.017937219730941704,0.21434977578475337,5da175170152a6beab3dcbda84a0910f72b079091c2ad1fdd489aaf5e31fcaf3,8.606640013905789,22283,3.46412063007674,83712,5,5,0.0,0.8935960148992506,0.8935960148992506,0.6413858098101692,627748,83712,0.13335287408323085,14,21715,3.554731752244992,96000,5,1115,1.0,0.02413078517154041,0.8928390513469951,0.6581625604420908,637988,91904,0.1440528661981103,15,21715,3.554731752244992,96000,5,1115,1.0,0.02413078517154041,0.8928390513469951,0.6581625604420908,637988,91904,0.1440528661981103,15,many_independent_components;p1_heavy_task;fine_grained_compute;mixed_m_v_work
case_062,19636,1,1.0,2618400,392688,0.13041398989335418,3120,153.3452841719291,0.0,0.1110205744550825,fa99943eab55b174047687337a4bcd81c3967e052e22eaabf3fb7740914df2b4,965.0923076923077,789139,3.6176250318384975,23235072,5,86,0.03488372093023256,0.09338278807662528,0.751958780392301,0.6636093261136504,24864768,6865920,0.2761304670126019,1490,690843,4.132355687182182,9735168,5,4343,0.9997697444163021,0.0034740165276336303,0.7590726112879482,0.7580304063296581,17604096,0,0.0,0,690843,4.132355687182182,9735168,5,4343,0.9997697444163021,0.0034740165276336303,0.7590726112879482,0.7580304063296581,17604096,0,0.0,0,dominant_connected_region
case_063,7360,1,1.0,981600,147168,0.13037931621023985,3048,153.36521739130436,0.0,0.1108695652173913,511c05c1ec9c19bb3cc108e173a46e7952b92fca9b1ac21728c43713056d429d,370.3307086614173,252654,4.2366121256738465,8812032,5,388,0.028350515463917526,0.08677479873661213,0.8193022869220357,0.7770310384953335,10066944,3045888,0.3025633201098566,660,206194,5.191213129383009,3164160,5,7360,1.0,0.001454940492933839,0.9544409633645984,0.9521130585759042,6518784,0,0.0,0,206181,5.191540442620804,3164160,5,7360,1.0,0.0014550322289638715,0.9545011422002997,0.9521730906339575,6518784,0,0.0,0,dominant_connected_region
case_064,906,1,1.0,7308,15744,0.3170223841749089,3528,25.443708609271525,0.2969094922737307,0.46799116997792495,871f65b73fc1da6a48501998fbfde6684fc78e5dd022ddc68085d1384d2e2280,6.534013605442177,16370,1.1677458766035431,134330,5,46,0.41304347826086957,0.15167990226023212,0.34489920586438605,0.1923640806353085,84020,21422,0.2549631040228517,26,8559,2.2334384858044163,130674,5,596,1.0,0.01565603458347938,0.47996261245472605,0.3679168127117654,113960,48434,0.425008775008775,54,8516,2.2447158290277125,130674,5,596,1.0,0.01573508689525599,0.4823860967590418,0.36977454203851573,113960,48434,0.425008775008775,54,dominant_connected_region;fine_grained_compute;repeated_logical_reads;mixed_m_v_work
case_065,704,42,0.06687666585897746,28260,29518,0.48911350340960225,1265,82.07102272727273,0.09943181818181818,0.19176136363636365,23342b7c3e75f58cec3d0bdaff89bf8d6f18de4930d35ec2ceade91670f0a400,45.67430830039525,11994,4.424545606136402,110736,5,10,0.0,0.32566283141570784,0.512923128230782,0.49224612306153076,355160,55440,0.15609865975898188,4,9869,5.377241868477049,55440,5,42,0.2857142857142857,0.29466004661059886,0.6233660958557098,0.5982369034349985,355160,55440,0.15609865975898188,4,9869,5.377241868477049,55440,5,42,0.2857142857142857,0.29466004661059886,0.6233660958557098,0.5982369034349985,355160,55440,0.15609865975898188,4,many_independent_components;fork_join_parallel_potential;fine_grained_compute;mixed_m_v_work
case_066,5962,28,0.6655501990340095,269694,170683,0.38758382022676025,32240,73.8639718215364,0.27490774907749077,0.50519959745052,30e61f8760d7d595b0fc4ad76262b179c72509a0cb5b2be72333ebd9b926b465,13.659336228287842,199028,1.8041180135458328,2217964,5,152,0.4473684210526316,0.32347207428100566,0.4716421809996583,0.27101211889784355,2049306,664876,0.3244395907687773,108,114172,3.144991766807974,3267848,5,5962,1.0,0.04046526293662194,0.492397435448271,0.4724363241425218,3136952,1465824,0.4672765155475761,290,106776,3.3628343447965836,3267848,5,5962,1.0,0.04326815014610025,0.5265040833146025,0.5051603356559526,3136952,1465824,0.4672765155475761,290,dominant_connected_region;fork_join_parallel_potential;fine_grained_compute;repeated_logical_reads;mixed_m_v_work
case_067,8804,71,0.014084507042253521,58915232,2360608,0.03852428624397479,863040,6960.0,0.1935483870967742,0.1935483870967742,f49b5087689e18c6bf231843f8f3bbaca238a547ea5309b2492c76d5f170b542,71.0,15233731,4.190361113767862,260625920,5,10,0.0,0.43576560463093383,0.817060508683001,0.7734839876061879,19771264,14886400,0.75293112266368,50,12057191,5.294337130431126,77944320,5,8804,1.0,0.0015326953019156784,0.9776406461505006,0.9772630291748716,51201920,18995712,0.37099608764671327,805,12007191,5.316383657093486,77944320,5,8804,1.0,0.0015390777076836706,0.981711709258227,0.9813325198208307,51201920,18995712,0.37099608764671327,805,many_independent_components;fork_join_parallel_potential;p1_heavy_task;repeated_logical_reads
case_068,5351,32,0.8442658068286788,249101,154696,0.3831033910603595,48319,75.46196972528499,0.24649598205942813,0.44103905811997757,dfd9a58ef9d26a8a4567026b50af8b4499d87eebb3d98f8208b909b11e963c6d,8.356898942445001,268666,1.347751483254301,1045280,5,83,0.5421686746987951,0.12037250712780925,0.28816448676051304,0.1854384254055221,3371644,443350,0.13149371641845936,11,134477,2.6926165812741214,4188824,5,2830,0.9862190812720848,0.01962417365051273,0.38263792321363505,0.37047971028503013,5749860,2237824,0.389196258691516,392,123937,2.9216053317411266,4188824,5,2830,0.9862190812720848,0.021293076321034075,0.4151786794903862,0.4019864931376425,5749860,2237824,0.389196258691516,392,dominant_connected_region;fine_grained_compute;repeated_logical_reads;mixed_m_v_work
case_069,1032,1,1.0,16674,15288,0.4783180026281209,2298,30.97093023255814,0.28488372093023256,0.5116279069767442,9632392d98cfc04291ba0546accf1f4c3ede8ff71befd3cd0ae67caf27659e52,13.908616187989557,16521,1.5219417710792325,622330,5,60,0.6333333333333333,0.15398583620846196,0.33520973306700563,0.20186429392893893,382628,148718,0.3886751622986295,43,10453,2.4054338467425618,433744,4,1032,1.0,0.04190184635989668,0.4534583373194298,0.31904716349373385,401446,205264,0.5113116085351455,63,9390,2.6777422790202343,433744,4,1032,1.0,0.04664536741214057,0.5047923322683706,0.35516506922257723,401446,205264,0.5113116085351455,63,dominant_connected_region;fork_join_parallel_potential;fine_grained_compute;repeated_logical_reads;mixed_m_v_work
case_070,1191,38,0.08020367360441868,91832,47214,0.3395566934683486,4054,116.7472712006717,0.030226700251889168,0.2174643157010915,b645c07133b0d98a63ab192cdfe8b35bdc089ad49eb5a8f1e476196344b97aa0,34.298470646275284,26669,4.3983651430499835,462848,5,5,0.0,0.691589485919982,0.691589485919982,0.6887022385541265,882706,462848,0.5243512562506656,16,26669,4.3983651430499835,462848,5,5,0.0,0.691589485919982,0.691589485919982,0.6887022385541265,882706,462848,0.5243512562506656,16,26655,4.400675295441756,462848,5,1191,1.0,0.05807540799099606,0.6919527293190771,0.6890639654848997,882706,462848,0.5243512562506656,16,many_independent_components;p1_heavy_task;repeated_logical_reads;mixed_m_v_work
case_071,741,1,1.0,12534,10954,0.4663658038147139,2298,31.69770580296896,0.291497975708502,0.4993252361673414,437cc74cae9e0fc0cb89b05403c62062ceff8d5bc2224c8834c519e69524e897,10.22106179286336,11491,1.6464189365590463,230346,5,8,0.25,0.46784439996519017,0.6098685928117658,0.21817074232007658,263406,106952,0.40603479039961127,24,8852,2.137257117035698,302060,4,101,0.8514851485148515,0.14143696339810213,0.48328061455038407,0.28321283325802077,312562,137580,0.4401686705357657,46,7494,2.5245529757139042,361586,5,741,1.0,0.05844675740592474,0.46277021617293834,0.33453429410194824,345064,163986,0.4752335798576496,56,dominant_connected_region;fork_join_parallel_potential;p1_heavy_task;fine_grained_compute;repeated_logical_reads;mixed_m_v_work
case_072,29666,476,0.011688040891541596,22928094,1708199,0.06933668957419852,31968,830.4555046180812,0.05925975864626171,0.46575203937167126,09ecc7be74ccdd06b00843fa6cd0696fb76ed623ca2ea3c9f36590450bc2749f,770.6548110610611,4714200,5.069328412031734,154667808,5,101,0.0,0.05025242883203937,0.9748971193415638,0.9727247465105426,39543822,28450816,0.7194756237775903,1081,4806756,4.971716475727081,130830384,5,476,0.0,0.029959914753318037,0.9561250872729966,0.9539945443455004,39543822,28450816,0.7194756237775903,1081,4795217,4.983680196328967,130830384,5,476,0.0,0.030032008978947148,0.9584258647731687,0.9562901950005599,39543822,28450816,0.7194756237775903,1081,many_independent_components;fork_join_parallel_potential;repeated_logical_reads
case_073,4836,39,0.02564102564102564,8160672,428064,0.04984016274338855,220224,1776.0,0.1935483870967742,0.1935483870967742,aabaff04d990bac77150639be7f410acc46db644d19fd046367dc70725aea7f9,39.0,3517515,2.8661216796516857,139772800,5,5,0.0,0.47589960526110053,0.47589960526110053,0.46400228570453855,18767744,14886400,0.7931906999583967,50,1792821,5.623331052012443,22805504,5,4513,1.0,0.002597024465911544,0.9117430016716672,0.9103725357969368,22727296,15441152,0.6794099922841679,441,1751868,5.7547863195172235,22805504,5,4513,1.0,0.002657734486844899,0.9330566001548062,0.9316540972265034,22727296,15441152,0.6794099922841679,441,many_independent_components;fork_join_parallel_potential;p1_heavy_task;repeated_logical_reads
case_074,3609,73,0.032547850092584055,1579424,198420,0.11160709263579932,3091,492.61402050429484,0.004156275976724855,0.4050983651981158,a8a94915cbac32e098d7c54cfc73af8ea2050eb51199b949a92cfe18ae62162e,575.1679068262698,330675,5.087288122779164,8142848,5,10,0.0,0.5261238376048991,0.9640886066379376,0.9552733046042187,10149912,6373376,0.6279242618064078,370,331744,5.070895027491077,5619712,5,3609,1.0,0.006209607408121925,0.9609819619947911,0.9521950660750458,7700504,3923968,0.5095728799050037,370,329495,5.105506912092748,5619712,5,3609,1.0,0.00625199168424407,0.967541237348063,0.9586943656201157,7700504,3923968,0.5095728799050037,370,many_independent_components;p1_heavy_task;repeated_logical_reads
case_075,7410,1,1.0,1107520,644660,0.3679188211256834,182300,236.46153846153845,0.2935222672064777,0.5114709851551957,5c24beddea6d09e1df3c8f8843d3593b90affb117ba38450fa9bea8a8db3351c,9.611519473395502,720755,2.000414842769041,20569380,5,4323,1.0,0.005716228121899952,0.3193318117807022,0.3073221829886716,9913758,4010264,0.40451501842187393,898,392249,3.6757493326942834,12764184,5,7410,1.0,0.010503532195110759,0.5818752884009902,0.5647025231421877,9115550,3335640,0.3659285506634268,570,379091,3.8033321814551124,12764184,5,7410,1.0,0.01086810290932784,0.602071798064317,0.5843029773853772,9115550,3335640,0.3659285506634268,570,dominant_connected_region;repeated_logical_reads;mixed_m_v_work
