case,ops,wcc,max_wcc_ops,singlecore,selected_cycles,cold_cycles,selected_speedup,cold_speedup,mean_gap_contribution,cold_calls,cold_failed,cold_seconds,selected_tasks,selected_max_task_ops,selected_partition_path_lb,selected_fixed_plan_lb,selected_busiest_core_compute_lb,selected_boundary_ddr_lb,selected_boundary_bytes,selected_fixed_lb_fraction,cold_tasks,cold_max_task_ops,cold_partition_path_lb,cold_fixed_plan_lb,cold_busiest_core_compute_lb,cold_boundary_ddr_lb,cold_boundary_bytes,cold_fixed_lb_fraction
case_041,16594,494,182,6003957,1196379,1196790,5.018440644645217,5.016717218559647,1.723426085570523e-05,6,3,240.5701198759998,5,3434,1183260,1183260,1183260,386799,22970332,0.989034411336207,73,256,93600,1184560,1183260,965335,57367516,0.9897809975016503
case_026,636,31,198,99203,41655,41665,2.3815388308726444,2.3809672386895477,5.715921830966586e-06,24,0,17.34237591299825,3,283,40824,40824,40824,10508,624518,0.9800504141159525,3,268,40824,40824,40824,10508,624518,0.9798151926077043
case_001,600,200,3,233110,47502,47502,4.9073723211654245,4.9073723211654245,0.0,8,0,8.655754677000004,5,120,46560,46560,46560,27700,1644160,0.980169256031325,5,120,46560,46560,46560,27700,1644160,0.980169256031325
case_004,777,111,7,392357,88341,88341,4.441391879195391,4.441391879195391,0.0,12,0,13.009813050000957,5,161,79902,79902,79902,20769,1234944,0.9044724420144666,5,161,79902,79902,79902,20769,1234944,0.9044724420144666
case_006,678,27,136,82837,25366,25366,3.265670582669715,3.265670582669715,0.0,24,0,20.182118302000163,59,63,6915,18291,15116,17513,1034984,0.7210833399038082,59,63,6915,18291,15116,17513,1034984,0.7210833399038082
case_007,3885,555,7,1012562,203834,203834,4.967581463347626,4.967581463347626,0.0,8,0,46.85060347500075,5,777,195804,195804,195804,31170,1843200,0.9606051983476751,5,777,195804,195804,195804,31170,1843200,0.9606051983476751
case_008,864,108,8,487605,100603,100603,4.846823653370178,4.846823653370178,0.0,23,0,24.79361073399923,5,176,50952,50952,50952,44604,2654424,0.5064660099599415,5,176,50952,50952,50952,44604,2654424,0.5064660099599415
case_010,667,36,133,86969,25730,25730,3.380062184220754,3.380062184220754,0.0,24,0,20.09760329600067,71,20,4639,19837,11322,18124,1074196,0.7709677419354839,71,20,4639,19837,11322,18124,1074196,0.7709677419354839
case_011,688,16,43,184697,46208,46208,3.9970784279778395,3.9970784279778395,0.0,24,0,24.833074493999447,13,129,34584,43592,43492,40472,2392064,0.9433864265927978,13,129,34584,43592,43492,40472,2392064,0.9433864265927978
case_012,972,50,98,59088,12786,12786,4.62130455185359,4.62130455185359,0.0,24,0,29.554044094000346,7,233,10480,10480,10480,9997,582546,0.8196464883466291,7,233,10480,10480,10480,9997,582546,0.8196464883466291
case_013,1968,246,8,263949,54363,54363,4.855305998565201,4.855305998565201,0.0,5,0,23.286168156999338,5,400,53600,53600,53600,43750,2560000,0.9859647186505528,5,400,53600,53600,53600,43750,2560000,0.9859647186505528
case_015,1013,46,145,177362,43411,43411,4.085646495127963,4.085646495127963,0.0,24,0,27.661878969998725,5,313,29170,29170,29170,20177,1197958,0.671949505885605,5,313,29170,29170,29170,20177,1197958,0.671949505885605
case_018,2727,126,59,1004367,205917,205917,4.8775331808447095,4.8775331808447095,0.0,17,0,95.88155405799989,5,560,194408,194408,194408,105490,6274576,0.9441085485899658,5,560,194408,194408,194408,105490,6274576,0.9441085485899658
case_019,647,31,170,81144,18885,18885,4.296743447180302,4.296743447180302,0.0,24,0,17.88052450900068,36,71,12234,16387,14352,8011,474316,0.8677257082340482,36,71,12234,16387,14352,8011,474316,0.8677257082340482
case_020,7008,288,28,532746,107187,107187,4.97024825771782,4.97024825771782,0.0,12,0,109.51503511700139,5,1404,106704,106704,106704,39744,2359296,0.9954938565311092,5,1404,106704,106704,106704,39744,2359296,0.9954938565311092
case_021,3920,80,49,6567937,1243902,1243902,5.280108079253832,5.280108079253832,0.0,22,0,192.04317278999952,10,392,619200,1238500,1238400,180150,10711040,0.9956572141535266,10,490,774000,1238500,1238400,271050,16138240,0.9956572141535266
case_022,1356,32,183,56780,11724,11724,4.8430569771409075,4.8430569771409075,0.0,18,0,34.73813556400091,5,363,10908,10908,10908,3985,227510,0.9303991811668373,5,363,10908,10908,10908,3985,227510,0.9303991811668373
case_023,1011,43,127,122614,23846,23846,5.141910592971567,5.141910592971567,0.0,24,0,23.78712346300017,10,154,8286,15487,15387,13474,798452,0.6494590287679275,10,154,8286,15487,15387,13474,798452,0.6494590287679275
case_024,5959,1,5959,2555343,1093563,1093563,2.33671311117878,2.33671311117878,0.0,19,1,240.2356505730022,810,11,437835,769731,642381,667283,39786802,0.7038743995544838,810,11,437835,769731,642381,667283,39786802,0.7038743995544838
case_025,18662,2666,7,4863026,975282,975282,4.986276789687495,4.986276789687495,0.0,8,1,240.137409619987,5,3738,941976,941976,941976,140942,8328192,0.9658498772662676,5,3738,941976,941976,941976,140942,8328192,0.9658498772662676
case_027,1424,16,89,2363952,473151,473151,4.996189377175574,4.996189377175574,0.0,24,0,60.392605944000024,28,267,417960,461320,448920,169760,10125312,0.9749952974843126,28,267,417960,461320,448920,169760,10125312,0.9749952974843126
case_029,861,21,41,37555,9383,9383,4.002451241607162,4.002451241607162,0.0,10,0,10.656042505001096,5,205,8925,8925,8925,7392,430164,0.9511883193008632,5,205,8925,8925,8925,7392,430164,0.9511883193008632
case_030,10070,486,57,2808034,558846,558846,5.024700901500593,5.024700901500593,0.0,6,2,240.3604036100005,10,1081,282448,556860,556760,214078,12636108,0.9964462481613897,10,1081,282448,556860,556760,214078,12636108,0.9964462481613897
case_031,6135,107,2147,1414369,296108,296108,4.77653086036176,4.77653086036176,0.0,11,1,240.1768058969992,17,907,268048,279427,270938,152898,9081704,0.9436658246315534,17,907,268048,279427,270938,152898,9081704,0.9436658246315534
case_032,827,25,189,41443,9965,9965,4.158855995985951,4.158855995985951,0.0,24,0,24.083005275000687,16,189,9510,9510,9510,5697,330024,0.9543401906673357,16,189,9510,9510,9510,5697,330024,0.9543401906673357
case_033,3465,95,64,1774196,358547,358547,4.948294086967678,4.948294086967678,0.0,20,0,168.48262703300134,10,490,200928,352648,352548,159686,9533742,0.9835474847091177,10,490,200928,352648,352548,159686,9533742,0.9835474847091177
case_034,3745,155,94,842996,165049,165049,5.107549879126805,5.107549879126805,0.0,24,0,194.78372441300053,11,502,79236,150076,149976,87657,5183426,0.9092814861041266,11,502,79236,150076,149976,87657,5183426,0.9092814861041266
case_035,3857,16,2430,169571,90079,90079,1.8824698320363236,1.8824698320363236,0.0,24,0,57.488012034998974,158,307,66279,69853,49565,30772,1790820,0.7754637595888054,158,307,66279,69853,49565,30772,1790820,0.7754637595888054
case_036,2400,800,3,931510,187182,187182,4.976493466252097,4.976493466252097,0.0,8,0,34.87957504299993,5,480,186240,186240,186240,110500,6559360,0.9949674648203353,5,480,186240,186240,186240,110500,6559360,0.9949674648203353
case_037,780,20,39,210001,43013,43013,4.882268151489085,4.882268151489085,0.0,24,0,28.63599546399928,5,156,41920,41920,41920,23620,1392640,0.9745890777206891,5,156,41920,41920,41920,23620,1392640,0.9745890777206891
case_039,5250,70,75,1435262,311228,311228,4.611609495289627,4.611609495289627,0.0,15,1,240.1740626030005,5,1050,275576,275576,275576,203190,12115968,0.8854473247908285,5,1050,275576,275576,275576,203190,12115968,0.8854473247908285
case_040,3083,28,2194,253454,85037,85037,2.9805143643355247,2.9805143643355247,0.0,24,0,105.63148778199866,115,290,80043,80643,80043,47101,2766514,0.9483283747074803,115,290,80043,80643,80043,47101,2766514,0.9483283747074803
case_042,4733,104,258,1686740,335169,335169,5.0325059895157365,5.0325059895157365,0.0,23,1,240.22019599799933,12,507,175800,331900,331800,236901,14076004,0.9902467113605375,12,507,175800,331900,331800,236901,14076004,0.9902467113605375
case_043,9309,38,4910,677656,198411,198411,3.415415475956474,3.415415475956474,0.0,24,0,140.65431865100982,123,1224,137885,159651,143840,107022,6290900,0.8046479277862618,123,1224,137885,159651,143840,107022,6290900,0.8046479277862618
case_045,1651,68,28,125614,25770,25770,4.874427629025999,4.874427629025999,0.0,8,0,14.821512933000122,5,331,25156,25156,25156,9384,557056,0.976173845556849,5,331,25156,25156,25156,9384,557056,0.976173845556849
case_046,992,8,124,276455,123055,123055,2.246597050099549,2.246597050099549,0.0,24,0,22.469747646000542,18,248,52312,52312,52312,98708,5910080,0.8021453821461948,18,248,52312,52312,52312,98708,5910080,0.8021453821461948
case_049,4303,11,3952,196276,70626,70626,2.7790898535949933,2.7790898535949933,0.0,24,0,180.32574894100253,199,223,28820,59465,40790,39418,2250644,0.8419703791804718,199,223,28820,59465,40790,39418,2250644,0.8419703791804718
case_050,4555,23,4011,149690,63801,63801,2.346201470196392,2.346201470196392,0.0,24,0,71.61576142700505,125,310,37282,56287,36093,23509,1348680,0.8822275512922995,125,310,37282,56287,36093,23509,1348680,0.8822275512922995
case_051,1416,1,1416,607628,259576,259576,2.3408481523715596,2.3408481523715596,0.0,24,0,18.51263873599237,194,11,104040,182144,152628,159391,9504242,0.7016981539125343,194,11,104040,182144,152628,159391,9504242,0.7016981539125343
case_052,1008,52,120,180301,37486,37486,4.809822333671237,4.809822333671237,0.0,24,0,29.901453616999788,6,239,31944,31944,31944,19228,1138908,0.8521581390385744,6,239,31944,31944,31944,19228,1138908,0.8521581390385744
case_053,11670,39,9853,1472686,466117,466117,3.15947712698743,3.15947712698743,0.0,15,1,240.10899548599264,984,6298,225334,322612,269461,324514,19297338,0.696207175451657,984,6298,225334,322612,269461,324514,19297338,0.696207175451657
case_055,1236,24,183,118835,26781,26781,4.437287629289422,4.437287629289422,0.0,24,0,31.45558196300044,5,373,15204,15204,15204,13930,824466,0.5677159180015683,5,373,15204,15204,15204,13930,824466,0.5677159180015683
case_056,7678,19,7464,277285,136494,136494,2.0314812372705027,2.0314812372705027,0.0,24,0,172.63503362200572,388,342,67106,110518,57253,82072,4683566,0.8096912684806659,388,342,67106,110518,57253,82072,4683566,0.8096912684806659
case_057,865,21,193,59726,14028,14028,4.257627601938979,4.257627601938979,0.0,22,0,23.33527427899935,5,193,12949,12949,12949,6106,356860,0.9230824066153408,5,193,12949,12949,12949,6106,356860,0.9230824066153408
case_059,2752,64,43,829473,150782,150782,5.501140719714555,5.501140719714555,0.0,14,0,80.31542784799967,5,559,149864,149864,149864,54136,3190784,0.993911740128132,5,559,149864,149864,149864,54136,3190784,0.993911740128132
case_060,5281,89,183,888789,183430,183430,4.845385160551709,4.845385160551709,0.0,13,1,240.1495138299997,5,1134,146752,146752,146752,94154,5540030,0.8000436133674972,5,1134,146752,146752,146752,94154,5540030,0.8000436133674972
case_061,1115,40,167,77191,19857,19857,3.8873445132698796,3.8873445132698796,0.0,24,0,35.877307363,17,416,12928,17594,15400,12715,742588,0.8860351513320239,17,416,12928,17594,15400,12715,742588,0.8860351513320239
case_064,906,1,906,19116,15155,15155,1.2613658858462553,1.2613658858462553,0.0,24,0,5.564849841000978,42,117,7588,13088,6582,3414,186382,0.8636093698449356,42,117,7588,13088,6582,3414,186382,0.8636093698449356
case_065,704,42,61,53068,10443,10443,5.0816815091448815,5.0816815091448815,0.0,24,0,19.595390820999455,5,165,6656,6656,6656,6346,371642,0.6373647419323949,5,165,6656,6656,6656,6346,371642,0.6373647419323949
case_069,1032,1,1032,25144,15046,15046,1.6711418317160707,1.6711418317160707,0.0,24,0,11.561973719013622,52,121,5943,11383,5556,11644,680822,0.7738933935929815,52,121,5943,11383,5556,11644,680822,0.7738933935929815
case_070,1191,38,285,117300,25386,25386,4.6206570550697235,4.6206570550697235,0.0,24,0,34.882054632998916,6,376,20960,20960,20960,14724,868988,0.8256519341369258,6,376,20960,20960,20960,14724,868988,0.8256519341369258
case_072,29666,476,6140,23897828,4714200,4714200,5.069328412031734,5.069328412031734,0.0,6,2,250.99440728197806,101,6140,236900,4597760,4595860,2744990,164117800,0.975300156972551,101,6140,236900,4597760,4595860,2744990,164117800,0.975300156972551
case_073,4836,39,124,10081626,3218828,3218828,3.132079750766428,3.132079750766428,0.0,24,0,191.55806450399905,45,992,1673984,1943220,1929376,980948,58806016,0.6037042053815861,45,992,1673984,1943220,1929376,980948,58806016,0.6037042053815861
case_074,3609,73,269,1682239,329995,329995,5.097771178351187,5.097771178351187,0.0,16,0,151.60122368500015,5,864,318800,318800,318800,170228,10150104,0.9660752435642964,5,864,318800,318800,318800,170228,10150104,0.9660752435642964
case_077,4486,41,2096,495320,115157,115157,4.301258282171297,4.301258282171297,0.0,24,0,208.92997373300022,7,1638,86520,87908,87808,40212,2398534,0.7633752181803972,7,1638,86520,87908,87808,40212,2398534,0.7633752181803972
case_078,1024,8,128,2296143,509682,509682,4.5050502077766135,4.5050502077766135,0.0,24,0,27.13921561799907,39,128,264048,427400,418848,300662,18023424,0.8385620838091202,39,128,264048,427400,418848,300662,18023424,0.8385620838091202
case_079,18720,288,65,31052251,5972750,5972750,5.198987233686325,5.198987233686325,0.0,6,3,240.69669429799978,98,195,306504,5927644,5925744,1558659,92817408,0.9924480348248295,98,195,306504,5927644,5925744,1558659,92817408,0.9924480348248295
case_080,1098,18,61,292138,82527,82527,3.539908151271705,3.539908151271705,0.0,13,0,24.720019057000172,8,244,64232,64332,64232,75797,4517888,0.9184509312103918,8,244,64232,64332,64232,75797,4517888,0.9184509312103918
case_081,3485,85,41,151795,30943,30943,4.905632937982743,4.905632937982743,0.0,8,0,42.976057505000426,5,697,30345,30345,30345,29920,1741140,0.9806741427786575,5,697,30345,30345,30345,29920,1741140,0.9806741427786575
case_082,4113,1,4113,721041,196608,196608,3.6674041748046875,3.6674041748046875,0.0,24,0,126.6727706290003,175,172,99856,162376,131032,89001,5226634,0.8258870442708334,175,172,99856,162376,131032,89001,5226634,0.8258870442708334
case_083,3844,31,124,1057993,412888,412888,2.562421286159927,2.562421286159927,0.0,24,0,87.31107420300032,10,496,104624,183192,183092,163794,9811904,0.4436844858654163,10,496,104624,183192,183092,163794,9811904,0.4436844858654163
