case,problem,cores,makespan,added_copy,original_singlecore,source,plan,speedup
case_018,1,3,339838,4075904,1004367,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_018_multicore_res.json,2.9554287631165437
case_018,1,4,254635,6577920,1004367,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_018_multicore_res.json,3.9443399375576806
case_018,1,5,205917,5320704,1004367,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_018_multicore_res.json,4.8775331808447095
case_018,2,1,1004367,1970176,1004367,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_018_multicore_res.json,1.0
case_018,2,2,502396,3253248,1004367,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_018_multicore_res.json,1.9991540537743135
case_018,2,3,337775,4075904,1004367,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_018_multicore_res.json,2.973479387166013
case_018,2,4,254221,4880128,1004367,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_018_multicore_res.json,3.950763312236204
case_018,2,5,204654,5324800,1004367,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_018_multicore_res.json,4.907634348705621
case_018,3,1,1003110,1970176,1004367,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_018_multicore_res.json,1.0012531028501361
case_018,3,2,500499,3253248,1004367,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_018_multicore_res.json,2.0067312821803838
case_018,3,3,336999,4075904,1004367,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_018_multicore_res.json,2.980326351116769
case_018,3,4,253930,4880128,1004367,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_018_multicore_res.json,3.9552908281809946
case_018,3,5,201238,5324800,1004367,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_018_multicore_res.json,4.990941074747314
case_019,1,1,81144,0,81144,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_019_multicore_res.json,1.0
case_019,1,2,41238,27168,81144,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_019_multicore_res.json,1.9676996944565692
case_019,1,3,28986,27168,81144,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_019_multicore_res.json,2.7994204098530324
case_019,1,4,24099,51744,81144,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_019_multicore_res.json,3.3671106684924688
case_019,1,5,19414,289924,81144,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_019_multicore_res.json,4.179664159884619
case_019,2,1,77857,0,81144,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_019_multicore_res.json,1.0422184260888552
case_019,2,2,31100,1043448,81144,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_019_multicore_res.json,2.6091318327974276
case_019,2,3,24938,974368,81144,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_019_multicore_res.json,3.2538294971529393
case_019,2,4,22443,51744,81144,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_019_multicore_res.json,3.615559417190215
case_019,2,5,17473,801900,81144,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_019_multicore_res.json,4.643964974532135
case_019,3,1,77857,0,81144,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_019_multicore_res.json,1.0422184260888552
case_019,3,2,30570,1043448,81144,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_019_multicore_res.json,2.654367026496565
case_019,3,3,23552,974368,81144,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_019_multicore_res.json,3.4453125
case_019,3,4,22443,51744,81144,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_019_multicore_res.json,3.615559417190215
case_019,3,5,15833,801900,81144,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_019_multicore_res.json,5.12499210509695
case_020,1,1,534174,0,532746,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_020_multicore_res.json,0.9973267137674241
case_020,1,2,266580,0,532746,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_020_multicore_res.json,1.9984469952734638
case_020,1,3,177950,0,532746,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_020_multicore_res.json,2.993796010115201
case_020,1,4,133704,0,532746,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_020_multicore_res.json,3.984518039849219
case_020,1,5,107494,0,532746,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_020_multicore_res.json,4.95605336111783
case_020,2,1,532746,0,532746,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_020_multicore_res.json,1.0
case_020,2,2,266580,0,532746,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_020_multicore_res.json,1.9984469952734638
case_020,2,3,177950,0,532746,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_020_multicore_res.json,2.993796010115201
case_020,2,4,133704,0,532746,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_020_multicore_res.json,3.984518039849219
case_020,2,5,107187,0,532746,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_020_multicore_res.json,4.97024825771782
case_020,3,1,532746,0,532746,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_020_multicore_res.json,1.0
case_020,3,2,266580,0,532746,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_020_multicore_res.json,1.9984469952734638
case_020,3,3,177950,0,532746,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_020_multicore_res.json,2.993796010115201
case_020,3,4,133704,0,532746,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_020_multicore_res.json,3.984518039849219
case_020,3,5,107187,0,532746,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_020_multicore_res.json,4.97024825771782
case_021,1,1,6484242,5222400,6567937,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_021_multicore_res.json,1.0129074454654838
case_021,1,2,3102580,6656000,6567937,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_021_multicore_res.json,2.1169275248341703
case_021,1,3,2118096,5883904,6567937,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_021_multicore_res.json,3.1008684214502082
case_021,1,4,1550324,4608000,6567937,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_021_multicore_res.json,4.236493145948847
case_021,1,5,1243902,7372800,6567937,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_021_multicore_res.json,5.280108079253832
case_021,2,1,6567937,4501504,6567937,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_021_multicore_res.json,1.0
case_021,2,2,3193754,3174400,6567937,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_021_multicore_res.json,2.0564943323750047
case_021,2,3,2101778,6299648,6567937,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_021_multicore_res.json,3.1249432623236135
case_021,2,4,1550324,4608000,6567937,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_021_multicore_res.json,4.236493145948847
case_021,2,5,1250168,11431936,6567937,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_021_multicore_res.json,5.253643510312214
case_021,3,1,6558837,4501504,6567937,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_021_multicore_res.json,1.0013874410966457
case_021,3,2,3192818,3174400,6567937,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_021_multicore_res.json,2.0570972100508076
case_021,3,3,2101648,6299648,6567937,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_021_multicore_res.json,3.1251365594999734
case_021,3,4,1550324,4608000,6567937,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_021_multicore_res.json,4.236493145948847
case_021,3,5,1249311,11431936,6567937,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_021_multicore_res.json,5.2572473947639935
case_022,1,1,56916,6912,56780,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_022_multicore_res.json,0.997610513739546
case_022,1,2,28357,13824,56780,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_022_multicore_res.json,2.0023274676446734
case_022,1,3,19153,20736,56780,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_022_multicore_res.json,2.9645486346786405
case_022,1,4,14654,13824,56780,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_022_multicore_res.json,3.874709976798144
case_022,1,5,11828,20736,56780,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_022_multicore_res.json,4.800473452823808
case_022,2,1,56780,0,56780,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_022_multicore_res.json,1.0
case_022,2,2,28088,6912,56780,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_022_multicore_res.json,2.0215038450583878
case_022,2,3,18709,17920,56780,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_022_multicore_res.json,3.034902987866802
case_022,2,4,14529,13824,56780,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_022_multicore_res.json,3.9080459770114944
case_022,2,5,11576,13824,56780,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_022_multicore_res.json,4.904975812024879
