id,kind,case,problem,cores,method,status,makespan,added_copy,calls,failed_calls,generation_errors,seconds
case_016_p1_n1_joint_tonight,cold,case_016,1,1,joint_tonight,no_valid_plan,,,4,4,0,240.3136119289993
case_017_p1_n3_joint_tonight,cold,case_017,1,3,joint_tonight,success,49818,330624,24,0,0,58.216584462992614
case_017_p1_n4_joint_tonight,cold,case_017,1,4,joint_tonight,success,42384,259200,24,0,0,42.399693797997315
case_016_p1_n1_integrated,cold,case_016,1,1,integrated,no_valid_plan,,,4,4,0,240.30516757100122
case_017_p1_n4_integrated,cold,case_017,1,4,integrated,success,42384,259200,24,0,0,40.96948522400635
case_017_p1_n5_integrated,cold,case_017,1,5,integrated,success,35496,340992,24,0,0,41.016280476003885
case_017_p1_n5_joint_tonight,cold,case_017,1,5,joint_tonight,success,35496,340992,24,0,0,42.331483831003425
case_016_p1_n2_integrated,cold,case_016,1,2,integrated,no_valid_plan,,,4,4,0,240.33306477800943
case_016_p1_n2_joint_tonight,cold,case_016,1,2,joint_tonight,no_valid_plan,,,4,4,0,240.32555388800392
case_016_p1_n3_joint_tonight,cold,case_016,1,3,joint_tonight,no_valid_plan,,,4,4,0,240.30934998000157
case_016_p1_n3_integrated,cold,case_016,1,3,integrated,success,7716823,786488,4,3,0,240.97150655300356
case_016_p1_n4_integrated,cold,case_016,1,4,integrated,success,7717473,1179732,5,3,0,241.01715877499373
case_016_p1_n4_joint_tonight,cold,case_016,1,4,joint_tonight,success,7717473,1179732,5,3,0,241.01021924999077
case_016_p1_n5_joint_tonight,cold,case_016,1,5,joint_tonight,success,7718119,1572880,5,3,0,241.02253254099924
case_016_p1_n5_integrated,cold,case_016,1,5,integrated,success,7718119,1572880,5,3,0,241.02702949898958
case_019_p1_n1_integrated,cold,case_019,1,1,integrated,success,78329,0,20,0,0,11.859460012012278
case_019_p1_n1_joint_tonight,cold,case_019,1,1,joint_tonight,success,78329,0,23,0,0,14.36445282099885
case_018_p1_n1_joint_tonight,cold,case_018,1,1,joint_tonight,success,995710,3612672,23,0,0,87.48932792400592
case_019_p1_n2_joint_tonight,cold,case_019,1,2,joint_tonight,success,41170,2592,24,0,0,17.426853584998753
case_019_p1_n2_integrated,cold,case_019,1,2,integrated,success,41238,2592,24,0,0,14.760349212010624
case_018_p1_n1_integrated,cold,case_018,1,1,integrated,success,995710,3612672,21,0,0,80.30931674600288
case_019_p1_n3_integrated,cold,case_019,1,3,integrated,success,28986,27168,24,0,0,15.548770756009617
case_019_p1_n4_joint_tonight,cold,case_019,1,4,joint_tonight,success,24099,51744,24,0,0,16.181572750996565
case_019_p1_n3_joint_tonight,cold,case_019,1,3,joint_tonight,success,28986,27168,24,0,0,16.805133435991593
case_019_p1_n4_integrated,cold,case_019,1,4,integrated,success,24099,51744,24,0,0,15.012768946005963
case_019_p1_n5_integrated,cold,case_019,1,5,integrated,success,18885,287332,24,0,0,17.887453321003704
case_018_p1_n2_joint_tonight,cold,case_018,1,2,joint_tonight,success,502024,5085824,24,0,0,113.36897886700172
case_018_p1_n2_integrated,cold,case_018,1,2,integrated,success,502024,5085824,24,0,0,118.71596006800246
case_018_p1_n5_integrated,cold,case_018,1,5,integrated,success,205917,5320704,17,0,0,95.95764284700272
case_018_p1_n5_joint_tonight,cold,case_018,1,5,joint_tonight,success,205917,5320704,18,0,0,102.47762515700015
case_018_p1_n4_joint_tonight,cold,case_018,1,4,joint_tonight,success,254347,5963520,19,0,0,107.18501770999865
case_018_p1_n4_integrated,cold,case_018,1,4,integrated,success,251851,6790912,21,0,0,112.38742545500281
case_018_p1_n3_integrated,cold,case_018,1,3,integrated,success,337171,3821952,22,0,0,121.60318020101113
case_019_p1_n5_joint_tonight,cold,case_019,1,5,joint_tonight,success,18885,287332,24,0,0,73.07173750500078
case_018_p1_n3_joint_tonight,cold,case_018,1,3,joint_tonight,success,337110,3821952,22,0,0,137.01121207499818
