case,problem,cores,variant,group,makespan,added_copy,logical_calls,elapsed_seconds,failures,generation_failures,summary,B8,B16,B24
case_044,3,5,wait_integrated,development,77497,3544960,24,19.712533935002284,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_044_p3_n5/wait_integrated/summary.json,87972,84147,77497
case_028,2,3,wait_integrated,lowcore,14322553,143694000,7,86.2722027200216,0,1,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_028_p2_n3/wait_integrated/summary.json,14322553,14322553,14322553
case_028,3,2,wait_integrated,lowcore,20945271,141796560,7,109.06294522099779,0,1,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_028_p3_n2/wait_integrated/summary.json,20945271,20945271,20945271
case_071,2,2,strong,lowcore,10089,149190,24,4.445093613991048,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_071_p2_n2/strong/summary.json,12339,10089,10089
case_071,3,3,strong,lowcore,10257,257388,24,5.47021338599734,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_071_p3_n3/strong/summary.json,11040,10969,10257
case_090,3,5,wait_integrated,development,194679,8593920,24,35.53835395400529,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_090_p3_n5/wait_integrated/summary.json,257208,194679,194679
case_071,2,5,wait_integrated,decision,9204,370546,24,14.378298060997622,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_071_p2_n5/wait_integrated/summary.json,9544,9240,9204
case_013,2,5,wait_integrated,decision,54117,32768,24,56.38338065901189,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_013_p2_n5/wait_integrated/summary.json,54363,54130,54117
case_092,2,5,strong,decision,1139576,46292704,24,144.7190270150022,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_092_p2_n5/strong/summary.json,1259475,1139576,1139576
case_062,2,5,strong,development,691726,9784320,21,180.0292560890084,1,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_062_p2_n5/strong/summary.json,691729,691726,691726
case_013,2,5,strong,decision,54130,36864,24,13.833309328998439,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_013_p2_n5/strong/summary.json,54130,54130,54130
case_071,3,3,wait_integrated,lowcore,8718,277132,24,14.758636426995508,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_071_p3_n3/wait_integrated/summary.json,11040,8818,8718
case_009,2,5,wait_integrated,development,50350,1322678,24,93.90413969400106,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_009_p2_n5/wait_integrated/summary.json,53741,51648,50350
case_092,3,5,strong,decision,859001,46292704,24,149.66594480301137,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_092_p3_n5/strong/summary.json,1062672,859001,859001
case_023,3,5,wait_integrated,development,19174,308128,24,27.34728824297781,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_023_p3_n5/wait_integrated/summary.json,19711,19174,19174
case_046,3,5,strong,development,77846,2791200,20,6.02107441300177,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_046_p3_n5/strong/summary.json,92391,77846,77846
case_071,2,5,strong,decision,9399,377650,24,6.122577074012952,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_071_p2_n5/strong/summary.json,10046,9399,9399
case_009,2,5,strong,development,52200,1332918,24,39.748901384999044,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_009_p2_n5/strong/summary.json,77091,52200,52200
case_017,3,5,strong,development,27483,330624,24,9.217786327993963,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_017_p3_n5/strong/summary.json,30702,28049,27483
case_037,2,5,strong,decision,43013,778240,24,7.332886036019772,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_037_p2_n5/strong/summary.json,43732,43013,43013
case_062,2,5,wait_integrated,development,691729,9784320,7,95.5347840450122,0,1,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_062_p2_n5/wait_integrated/summary.json,691729,691729,691729
case_028,2,2,wait_integrated,lowcore,20786944,141796560,7,107.10043691901956,0,1,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_028_p2_n2/wait_integrated/summary.json,20786944,20786944,20786944
case_028,3,5,wait_integrated,decision,9447245,144037296,7,80.95883121000952,0,1,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_028_p3_n5/wait_integrated/summary.json,9447245,9447245,9447245
case_053,2,5,wait_integrated,development,418489,5518068,7,50.77802392101148,0,1,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_053_p2_n5/wait_integrated/summary.json,418489,418489,418489
case_028,2,5,wait_integrated,decision,9521682,144037296,7,78.67715099701309,0,1,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_028_p2_n5/wait_integrated/summary.json,9521682,9521682,9521682
case_037,2,5,wait_integrated,decision,43647,1927168,24,18.870011749007972,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_037_p2_n5/wait_integrated/summary.json,43732,43647,43647
case_090,3,5,strong,development,194679,8593920,24,10.057973682996817,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_090_p3_n5/strong/summary.json,194679,194679,194679
case_028,2,3,strong,lowcore,13730603,145554288,21,180.03236583797843,1,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_028_p2_n3/strong/summary.json,14322553,13774479,13730603
case_023,3,5,strong,development,18572,280992,24,6.5429846180195455,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_023_p3_n5/strong/summary.json,19711,18572,18572
case_018,2,5,wait_integrated,development,197035,4812800,24,66.78037117997883,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_018_p2_n5/wait_integrated/summary.json,197607,197063,197035
case_028,2,2,strong,lowcore,20786944,141796560,18,180.02095743099926,1,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_028_p2_n2/strong/summary.json,20786944,20786944,20786944
case_037,3,5,wait_integrated,decision,43013,1925120,24,13.052582442003768,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_037_p3_n5/wait_integrated/summary.json,43013,43013,43013
case_055,2,5,strong,decision,19824,198656,24,7.879058681020979,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_055_p2_n5/strong/summary.json,20296,19824,19824
case_013,3,5,wait_integrated,decision,54044,36864,24,45.14795107598184,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_013_p3_n5/wait_integrated/summary.json,54363,54044,54044
case_090,2,5,wait_integrated,development,259094,8593920,24,33.56659523397684,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_090_p2_n5/wait_integrated/summary.json,364675,259094,259094
case_055,2,5,wait_integrated,decision,18793,157184,24,28.733605974004604,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_055_p2_n5/wait_integrated/summary.json,20296,19219,18793
case_071,3,5,wait_integrated,decision,7572,381586,24,14.766273492976325,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_071_p3_n5/wait_integrated/summary.json,8212,7572,7572
case_055,3,5,wait_integrated,decision,19590,157376,24,29.206788886978757,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_055_p3_n5/wait_integrated/summary.json,20296,19720,19590
case_092,2,5,wait_integrated,decision,1259475,36131392,7,67.45306533999974,0,1,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_092_p2_n5/wait_integrated/summary.json,1259475,1259475,1259475
case_028,3,2,strong,lowcore,20870921,74690688,19,180.14786555297906,1,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_028_p3_n2/strong/summary.json,20945271,20870921,20870921
