config_id,case,problem,cores,group,variant,allowed_time_regression,makespan,added_copy,actual_time_regression,bytes_saved,archived_plan
case_060_p2_n1,case_060,2,1,core_regression,legacy,0.03,751836,1922176,0.02752509238809564,142336,plans/ca617d647b6bd3109ec542f876de0977fc1149e2294eb5d2a45b31075685a160.json
case_060_p2_n1,case_060,2,1,core_regression,persistent,0.0,731696,2064512,0.0,0,plans/192309ebec0fda4c48e78d863331208d1b792e4d1696f895c348aacc112df8d1.json
case_060_p2_n1,case_060,2,1,core_regression,persistent,0.01,731696,2064512,0.0,0,plans/192309ebec0fda4c48e78d863331208d1b792e4d1696f895c348aacc112df8d1.json
case_060_p2_n1,case_060,2,1,core_regression,persistent,0.03,731696,2064512,0.0,0,plans/192309ebec0fda4c48e78d863331208d1b792e4d1696f895c348aacc112df8d1.json
case_060_p2_n1,case_060,2,1,core_regression,mature,0.0,727354,2259072,0.0,0,plans/e104042897f5fd3b906bca7c55fc11210f9ab17ae54820603d0efeeddf0a8638.json
case_060_p2_n1,case_060,2,1,core_regression,mature,0.01,729412,1792128,0.00282943381077172,466944,plans/5dd50786da1659f36626975dea87f29ab1c07ff82e511bbf48a6b82b41270c03.json
case_060_p2_n1,case_060,2,1,core_regression,mature,0.03,729412,1792128,0.00282943381077172,466944,plans/5dd50786da1659f36626975dea87f29ab1c07ff82e511bbf48a6b82b41270c03.json
case_060_p1_n2,case_060,1,2,core_regression,legacy,0.0,434183,4645000,0.0,0,plans/389424e8956bf58ea802f36d87b3235a33fac3eb4cd47be665ebfe89447bea69.json
case_060_p1_n2,case_060,1,2,core_regression,legacy,0.01,436923,3106956,0.006310703090632197,1538044,plans/c4647c655b8a255dfbe8cb58a6f2315a6fb5c11087e1c9b80cded87c877bec01.json
case_060_p1_n2,case_060,1,2,core_regression,legacy,0.03,441905,2754828,0.01778512746929284,1890172,plans/a26e33dc542602d65a342c890eff664d7e991b7b4fc619ef8de63997928bc936.json
case_060_p1_n2,case_060,1,2,core_regression,persistent,0.0,439467,5009664,0.0,0,plans/1888883fab825e64f398ca08eff87d0aad2ca37307b0d55473b907433debf41d.json
