case,p,method,call,name,cycles,accepted,m,v,overlap,overlap_room,outside_mv,copy,cache_hits
case_046,3,component_wcc,4,wcc_protected_interleave_v2_w2_base_earliest_start,92391,True,52312,4600,4170,0.0047,0.4291,3721600,0.008506135406279888
case_046,3,component_wcc,10,wcc_protected_interleave_v2_w2_base_earliest_start,77846,True,52312,4600,4260,0.0044,0.3236,2791200,0.0
case_070,2,component_wcc,1,wcc_start0_simple_a5_per_core_lpt_mv,26669,True,18444,13627,5938,0.2883,0.0201,462848,0
case_070,2,component_wcc,2,whole_graph_single_active,117300,False,91832,47214,21782,0.2168,0.0003,0,0
case_070,2,component_wcc,3,wcc_protected_interleave_v2_reencode_control,23625,True,18168,5491,2825,0.1128,0.1181,462848,0
case_070,2,component_wcc,4,wcc_protected_interleave_v2_w2_base_earliest_start,23147,True,18444,15036,12640,0.1035,0.0997,462848,0
case_070,2,component_wcc,12,wcc_protected_interleave_v2_w8_base_earliest_start,22710,True,18444,15036,13080,0.0861,0.1017,462848,0
case_070,3,component_wcc,1,wcc_start0_simple_a5_per_core_lpt_mv,26657,True,18444,13627,5938,0.2884,0.0197,462848,0.27029611218231214
case_070,3,component_wcc,2,whole_graph_single_active,117300,False,91832,47214,21782,0.2168,0.0003,0,0.0
case_070,3,component_wcc,3,wcc_protected_interleave_v2_reencode_control,23094,True,18444,15036,10562,0.1937,0.0076,462848,0.3062582558632206
case_070,3,component_wcc,4,wcc_protected_interleave_v2_w2_base_earliest_start,21943,True,18444,15036,13299,0.0792,0.0803,462848,0.4535870380398457
case_070,3,component_wcc,8,wcc_protected_interleave_v2_w4_base_earliest_start,21315,True,18168,5491,4213,0.06,0.0877,462848,0.2697160776068136
case_070,3,component_wcc,12,wcc_protected_interleave_v2_w8_base_earliest_start,21056,True,18444,15036,14361,0.0321,0.092,462848,0.3016179792592324
case_078,2,staged,1,wcc_start0_simple_a5_per_core_lpt_mv,663941,True,509472,25824,0,0.0389,0.1938,13620024,0
case_078,2,staged,2,wcc_start0_simple_a1_per_core_lpt_mv,2296143,False,2037888,103296,4080,0.0432,0.0693,12644568,0
case_078,2,staged,3,wcc_protected_interleave_v2_reencode_control,663941,False,509472,25824,0,0.0389,0.1938,13620024,0
case_078,2,staged,4,wcc_protected_interleave_v2_w2_base_earliest_start,511983,True,509472,25824,25008,0.0016,0.0033,8593920,0
case_078,2,staged,5,op_critical_path_w100,492358,True,407904,21624,13616,0.0163,0.1553,13933056,0
case_078,2,staged,8,trace_r00_01_hot_pipe_single_move,491076,True,407904,21216,13793,0.0151,0.1543,13883904,0
case_078,2,component_wcc,1,wcc_start0_simple_a5_per_core_lpt_mv,663941,True,509472,25824,0,0.0389,0.1938,13620024,0
case_078,2,component_wcc,2,wcc_start0_simple_a1_per_core_lpt_mv,2296143,False,2037888,103296,4080,0.0432,0.0693,12644568,0
case_078,2,component_wcc,3,wcc_protected_interleave_v2_reencode_control,663941,False,509472,25824,0,0.0389,0.1938,13620024,0
case_078,2,component_wcc,4,wcc_protected_interleave_v2_w2_base_earliest_start,511983,True,509472,25824,25008,0.0016,0.0033,8593920,0
case_078,3,staged,1,wcc_start0_simple_a5_per_core_lpt_mv,578013,True,509472,25824,0,0.0447,0.0739,13620024,0.34361391402732044
case_078,3,staged,2,wcc_start0_simple_a1_per_core_lpt_mv,2296143,False,2037888,103296,4080,0.0432,0.0693,12644568,0.0
case_078,3,staged,3,wcc_protected_interleave_v2_reencode_control,578013,False,509472,25824,0,0.0447,0.0739,13620024,0.34361391402732044
case_078,3,staged,4,wcc_protected_interleave_v2_w2_base_earliest_start,511983,True,509472,25824,25008,0.0016,0.0033,8593920,0.08715153554603096
case_078,3,staged,5,op_critical_path_w100,477793,True,407904,21624,14181,0.0156,0.1307,13933056,0.21736527584344711
case_078,3,staged,8,trace_r00_01_hot_pipe_single_move,477485,True,407904,21216,14268,0.0146,0.1312,13883904,0.21776139696460606
case_078,3,staged,9,cache_reencode_control,476833,True,408408,20280,13389,0.0145,0.129,13883904,0.21141867649990034
case_078,3,staged,10,cache_r00_t000_advance_leader,468009,True,408408,20280,13509,0.0145,0.1129,13883904,0.24217126057120078
case_078,3,component_wcc,1,wcc_start0_simple_a5_per_core_lpt_mv,578013,True,509472,25824,0,0.0447,0.0739,13620024,0.34361391402732044
case_078,3,component_wcc,2,wcc_start0_simple_a1_per_core_lpt_mv,2296143,False,2037888,103296,4080,0.0432,0.0693,12644568,0.0
case_078,3,component_wcc,3,wcc_protected_interleave_v2_reencode_control,578013,False,509472,25824,0,0.0447,0.0739,13620024,0.34361391402732044
case_078,3,component_wcc,4,wcc_protected_interleave_v2_w2_base_earliest_start,511983,True,509472,25824,25008,0.0016,0.0033,8593920,0.08715153554603096
case_079,2,staged,1,wcc_start0_simple_a5_per_core_lpt_mv,6075976,True,5925744,757248,612433,0.0238,0.0009,47677440,0
case_079,2,staged,2,wcc_start0_simple_a1_per_core_lpt_mv,31052251,False,29424384,3760128,2166585,0.0513,0.0011,32448512,0
case_079,2,staged,3,wcc_protected_interleave_v2_reencode_control,6212296,False,5925744,757248,471761,0.046,0.0002,70828032,0
case_079,2,staged,4,wcc_protected_interleave_v2_w2_base_earliest_start,6023990,True,5925744,757248,670545,0.0144,0.0019,49864704,0
case_079,2,component_wcc,1,wcc_start0_simple_a5_per_core_lpt_mv,6075976,True,5925744,757248,612433,0.0238,0.0009,47677440,0
case_079,2,component_wcc,2,wcc_start0_simple_a1_per_core_lpt_mv,31052251,False,29424384,3760128,2166585,0.0513,0.0011,32448512,0
case_079,2,component_wcc,3,wcc_protected_interleave_v2_reencode_control,6212296,False,5925744,757248,471761,0.046,0.0002,70828032,0
case_079,2,component_wcc,4,wcc_protected_interleave_v2_w2_base_earliest_start,6023990,True,5925744,757248,670545,0.0144,0.0019,49864704,0
case_079,3,staged,1,wcc_start0_simple_a5_per_core_lpt_mv,6075472,True,5925744,757248,612594,0.0238,0.0008,47677440,0.2441611149398882
case_079,3,staged,2,wcc_start0_simple_a1_per_core_lpt_mv,31052251,False,29424384,3760128,2166585,0.0513,0.0011,32448512,0.0
case_079,3,staged,3,wcc_protected_interleave_v2_reencode_control,6212296,False,5925744,757248,471761,0.046,0.0002,70828032,0.24971941638608305
case_079,3,staged,4,wcc_protected_interleave_v2_w2_base_earliest_start,6024541,True,5925744,757248,670545,0.0144,0.002,49864704,0.21246229677039652
case_079,3,staged,9,cache_reencode_control,6023112,True,5925744,757248,671007,0.0143,0.0018,49864704,0.21202089310674613
case_079,3,component_wcc,1,wcc_start0_simple_a5_per_core_lpt_mv,6075472,True,5925744,757248,612594,0.0238,0.0008,47677440,0.2441611149398882
case_079,3,component_wcc,2,wcc_start0_simple_a1_per_core_lpt_mv,31052251,False,29424384,3760128,2166585,0.0513,0.0011,32448512,0.0
case_079,3,component_wcc,3,wcc_protected_interleave_v2_reencode_control,6212296,False,5925744,757248,471761,0.046,0.0002,70828032,0.24971941638608305
case_079,3,component_wcc,4,wcc_protected_interleave_v2_w2_base_earliest_start,6024541,True,5925744,757248,670545,0.0144,0.002,49864704,0.21246229677039652
case_094,2,staged,1,wcc_start0_simple_a5_per_core_lpt_mv,24943,True,14532,13591,3679,0.3974,0.02,259200,0
case_094,2,staged,2,whole_graph_single_active,94892,False,70944,36616,12891,0.25,0.0024,0,0
case_094,2,staged,3,wcc_protected_interleave_v2_reencode_control,25370,False,14532,13591,3252,0.4075,0.0197,259200,0
case_094,2,staged,4,wcc_protected_interleave_v2_w2_base_earliest_start,22294,True,14532,13591,6545,0.316,0.0321,259200,0
case_094,2,staged,8,trace_r00_01_compute_dependency_tail,21758,True,13968,12813,5451,0.3384,0.0197,283776,0
case_094,2,component_wcc,1,wcc_start0_simple_a5_per_core_lpt_mv,24943,True,14532,13591,3679,0.3974,0.02,259200,0
case_094,2,component_wcc,2,whole_graph_single_active,94892,False,70944,36616,12891,0.25,0.0024,0,0
case_094,2,component_wcc,3,wcc_protected_interleave_v2_reencode_control,25370,False,14532,13591,3252,0.4075,0.0197,259200,0
case_094,2,component_wcc,4,wcc_protected_interleave_v2_w2_base_earliest_start,22294,True,14532,13591,6545,0.316,0.0321,259200,0
case_094,2,component_wcc,6,wcc_unrestricted_interleave_w2_complement_earliest_start,17755,True,13968,12813,9727,0.1738,0.0395,259200,0
case_094,3,staged,1,wcc_start0_simple_a5_per_core_lpt_mv,24943,True,14532,13591,3679,0.3974,0.02,259200,0.1403478032327303
case_094,3,staged,2,whole_graph_single_active,94892,False,70944,36616,12891,0.25,0.0024,0,0.0
case_094,3,staged,3,wcc_protected_interleave_v2_reencode_control,25370,False,14532,13591,3252,0.4075,0.0197,259200,0.19080993473213895
case_094,3,staged,4,wcc_protected_interleave_v2_w2_base_earliest_start,21651,True,14532,13591,7188,0.2957,0.0331,259200,0.19080993473213895
case_094,3,staged,8,trace_r00_01_compute_dependency_tail,21514,True,13968,12813,5695,0.3309,0.0199,283776,0.1917890837030974
case_094,3,staged,9,cache_reencode_control,21130,True,13968,12813,6079,0.3187,0.0203,283776,0.1917890837030974
case_094,3,component_wcc,1,wcc_start0_simple_a5_per_core_lpt_mv,24943,True,14532,13591,3679,0.3974,0.02,259200,0.1403478032327303
case_094,3,component_wcc,2,whole_graph_single_active,94892,False,70944,36616,12891,0.25,0.0024,0,0.0
case_094,3,component_wcc,3,wcc_protected_interleave_v2_reencode_control,25370,False,14532,13591,3252,0.4075,0.0197,259200,0.19080993473213895
case_094,3,component_wcc,4,wcc_protected_interleave_v2_w2_base_earliest_start,21651,True,14532,13591,7188,0.2957,0.0331,259200,0.19080993473213895
case_094,3,component_wcc,6,wcc_unrestricted_interleave_w2_complement_earliest_start,16819,True,14532,13591,11650,0.1154,0.0206,259200,0.16557886898243462
case_095,2,component_wcc,1,wcc_start0_simple_a5_per_core_lpt_mv,420852,True,215388,204228,0,0.4853,0.0029,0,0
case_095,2,component_wcc,2,wcc_start0_simple_a1_per_core_lpt_mv,2084853,False,1069992,1014552,0,0.4866,0.0001,0,0
case_095,2,component_wcc,3,wcc_protected_interleave_v2_reencode_control,420852,False,215388,204228,0,0.4853,0.0029,0,0
case_095,2,component_wcc,4,wcc_protected_interleave_v2_w2_base_earliest_start,220314,True,215388,204228,200538,0.0167,0.0056,0,0
case_095,2,component_wcc,8,wcc_protected_interleave_v2_w4_base_earliest_start,220188,True,215388,204228,200664,0.0162,0.0056,0,0
case_095,3,component_wcc,1,wcc_start0_simple_a5_per_core_lpt_mv,420852,True,215388,204228,0,0.4853,0.0029,0,0.0
case_095,3,component_wcc,2,wcc_start0_simple_a1_per_core_lpt_mv,2084853,False,1069992,1014552,0,0.4866,0.0001,0,0.0
case_095,3,component_wcc,3,wcc_protected_interleave_v2_reencode_control,420852,False,215388,204228,0,0.4853,0.0029,0,0.0
case_095,3,component_wcc,4,wcc_protected_interleave_v2_w2_base_earliest_start,220314,True,215388,204228,200538,0.0167,0.0056,0,0.0
case_095,3,component_wcc,8,wcc_protected_interleave_v2_w4_base_earliest_start,220188,True,215388,204228,200664,0.0162,0.0056,0,0.0
