case,problem,cores,before,after,reduction,before_added_copy,after_added_copy,source_summary,plan,plan_sha256,replay_record,replay_reused,cache_byte_hit_rate
case_025,2,1,4863026,4703066,0.03289309989294731,0,0,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_C批_最终1500_20260925_v2/slots/case_025/p2_n1/v2/summary.json,新增精选方案/p2/n1/case_025_multicore_res.json,4cd61163e80e83cf89d3d90eba23d0427f2c8575af184ab204e4a348d1509b1a,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_累计精选_20260925/复评运行/case_025_2_1_4cd61163e80e83cf/attempts/20260925T225914-66a5bda9f86c4575ba38d842002fe2ae/record.json,True,
case_025,2,5,974747,973802,0.000969482337468075,118272,20585472,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_冒进第二轮_20260925/slots/case_025/p2_n5/attack/summary.json,新增精选方案/p2/n5/case_025_multicore_res.json,f71a399618ed121d6c3d85aa0642ae92f734d5bd4ea81a23b894bbcea855215d,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_累计精选_20260925/复评运行/case_025_2_5_f71a399618ed121d/attempts/20260925T230129-b3e753262d1241a9af7b0710e777f96a/record.json,False,
case_025,3,1,4863026,4703066,0.03289309989294731,0,0,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_C批_最终1500_20260925_v2/slots/case_025/p3_n1/v2/summary.json,新增精选方案/p3/n1/case_025_multicore_res.json,4cd61163e80e83cf89d3d90eba23d0427f2c8575af184ab204e4a348d1509b1a,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_累计精选_20260925/复评运行/case_025_3_1_4cd61163e80e83cf/attempts/20260925T225901-44cc94690c154a469b02da69166f8c17/record.json,True,0.0
case_025,3,5,974747,973802,0.000969482337468075,118272,20577792,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_冒进第二轮_20260925/slots/case_025/p3_n5/attack/summary.json,新增精选方案/p3/n5/case_025_multicore_res.json,71b0a36f42486cba036bbb2ba178974ac98754c6a5f3ee077cca49ee40b8f3cd,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_累计精选_20260925/复评运行/case_025_3_5_71b0a36f42486cba/attempts/20260925T230129-742b4924705d4fc8b797a62a93f0c357/record.json,False,0.004464700958050414
case_027,1,5,558753,497285,0.11000925274674145,5529600,11280384,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_C批_100图宽筛_20260925_v1/slots/case_027/p1_n5/v2/summary.json,新增精选方案/p1/n5/case_027_multicore_res.json,85b15df457f9ffe6ee1d65bdacc70bcafb099b702607ead2bad63c4b454e4203,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_累计精选_20260925/复评运行/case_027_1_5_85b15df457f9ffe6/attempts/20260925T215110-73adfa17602a4fcdbc27b8bbb9251c01/record.json,True,
case_028,2,5,8387714,8166412,0.026384066028002362,117674496,90393600,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_C批_100图宽筛_20260925_v1/slots/case_028/p2_n5/v2/summary.json,新增精选方案/p2/n5/case_028_multicore_res.json,2ec50f4ac177ac75d72d5ec8eb96e4308cdb215b9d1e09f1963508f4f84e85a8,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_累计精选_20260925/复评运行/case_028_2_5_2ec50f4ac177ac75/attempts/20260925T225532-5324ed28c074405789791bc820ac4381/record.json,True,
case_028,3,5,8300936,8129461,0.020657309007080626,117674496,81607680,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_C批_100图宽筛_20260925_v1/slots/case_028/p3_n5/v2/summary.json,新增精选方案/p3/n5/case_028_multicore_res.json,fea704144d7c2802d0322117495004b179331570bb215e2830fb56661707e93c,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_累计精选_20260925/复评运行/case_028_3_5_fea704144d7c2802/attempts/20260925T225514-3ff18d122c9e4cd38be64d8c412c52b0/record.json,True,0.17619205336834948
case_029,3,5,9383,9238,0.015453479697324912,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_C批_100图宽筛_20260925_v1/slots/case_029/p3_n5/v2/summary.json,新增精选方案/p3/n5/case_029_multicore_res.json,8764f19bc2c3e00a850ebb1085cffaa3a7672beadb43cb1b780d42d271c465e5,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_累计精选_20260925/复评运行/case_029_3_5_8764f19bc2c3e00a/attempts/20260925T215110-66dd713f2ada4d59b27d0c85b33e7789/record.json,True,0.0
case_030,3,3,932019,927318,0.005043888590254064,8046592,3652608,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_C批_最终1500_20260925_v1/slots/case_030/p3_n3/v2/summary.json,新增精选方案/p3/n3/case_030_multicore_res.json,ec51e291796246b28a8ec07008917a0798e2c6a2a9f7a62b38866db92046fde6,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_累计精选_20260925/复评运行/case_030_3_3_ec51e291796246b2/attempts/20260925T225956-67cb836a1a024045b610f7d30736361a/record.json,True,0.5672425474254743
case_030,3,5,560198,557851,0.004189590109211383,7257600,6481920,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_C批_100图宽筛_20260925_v1/slots/case_030/p3_n5/v2/summary.json,新增精选方案/p3/n5/case_030_multicore_res.json,e9d94dfe5fce4b48e3f6c83be41487a1cf6d0eb39c5bd4bfe20644b20d57c9db,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_累计精选_20260925/复评运行/case_030_3_5_e9d94dfe5fce4b48/attempts/20260925T215051-d94a07f06d4e43f68efdd1dd66837ec2/record.json,True,0.6648205838236991
case_031,2,5,304955,286536,0.06039907527340105,8075520,7724544,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_C批_100图宽筛_20260925_v1/slots/case_031/p2_n5/v2/summary.json,新增精选方案/p2/n5/case_031_multicore_res.json,c6b482d9c415e932e6981def3efb80aa80ef33c8935d0e6efb8a714edcee5e83,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_累计精选_20260925/复评运行/case_031_2_5_c6b482d9c415e932/attempts/20260925T215047-6119e857c7194b52bc9f4ae5f1e0ce9d/record.json,True,
