size,elements,mode,repeats,sample,device_envelope_us,host_us,correct
1024,1048576,serial,16,0,418.11999678611755,492.982,True
1024,1048576,vector_only,16,0,198.7600028514862,266.862,True
1024,1048576,matrix_only,16,0,324.9399960041046,412.982,True
1024,1048576,parallel,16,0,357.1999967098236,446.742,True
1024,1048576,vector_only,16,1,181.9400042295456,258.861,True
1024,1048576,serial,16,1,400.46000480651855,474.903,True
1024,1048576,parallel,16,1,357.7600121498108,435.802,True
1024,1048576,matrix_only,16,1,328.8800120353699,409.642,True
1024,1048576,vector_only,16,2,179.19999361038208,251.072,True
1024,1048576,serial,16,2,403.65999937057495,476.162,True
1024,1048576,parallel,16,2,379.18001413345337,473.913,True
1024,1048576,matrix_only,16,2,342.5999879837036,414.202,True
1024,1048576,vector_only,16,3,184.56000089645386,267.441,True
1024,1048576,serial,16,3,400.4000127315521,476.622,True
1024,1048576,matrix_only,16,3,328.02000641822815,399.132,True
1024,1048576,parallel,16,3,380.840003490448,470.893,True
1024,1048576,vector_only,16,4,186.39999628067017,503.452,True
1024,1048576,serial,16,4,402.48000621795654,486.182,True
1024,1048576,matrix_only,16,4,326.42000913619995,400.402,True
1024,1048576,parallel,16,4,360.17999053001404,442.502,True
1024,1048576,vector_only,16,5,181.1400055885315,259.951,True
1024,1048576,matrix_only,16,5,344.74000334739685,414.252,True
1024,1048576,serial,16,5,403.93999218940735,484.332,True
1024,1048576,parallel,16,5,375.88000297546387,463.042,True
1024,1048576,serial,16,6,397.85999059677124,469.072,True
1024,1048576,vector_only,16,6,181.99999630451202,254.651,True
1024,1048576,matrix_only,16,6,325.5999982357025,397.971,True
1024,1048576,parallel,16,6,347.97999262809753,455.272,True
1024,1048576,serial,16,7,399.7200131416321,475.433,True
1024,1048576,matrix_only,16,7,345.5600142478943,419.862,True
1024,1048576,parallel,16,7,353.2800078392029,449.702,True
1024,1048576,vector_only,16,7,179.24000322818756,249.671,True
