case,problem,cores,call,name,action,success,local_time_improved,global_accepted,global_time_improved,moved_ops,cross_old_task_blocks,partition_changed,parent_time,candidate_time,copy_delta
case_060,3,4,24,persistent_p23_r2_1_related_chain_move,related_chain_move,True,False,False,False,1,,,420064,420502,-8192
case_060,3,5,10,persistent_p23_r0_1_related_chain_move,related_chain_move,True,True,True,True,32,,,160258,158892,-24560
case_060,3,5,11,persistent_p23_r1_1_related_chain_exchange,related_chain_exchange,True,True,False,False,2,,,474028,473577,-32768
case_060,3,5,12,persistent_p23_r1_1_related_chain_exchange,related_chain_exchange,True,False,False,False,29,,,324074,325991,-98312
case_060,3,5,13,persistent_p23_r0_2_first_reader_and_independent_follower_work,first_reader_and_independent_follower_work,True,True,False,False,0,,,160258,160038,0
case_060,3,5,14,persistent_p23_r0_1_related_chain_move,related_chain_move,True,True,False,False,1,,,509359,508495,-32768
case_060,3,5,15,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,True,False,False,16,,,356981,327995,-73754
case_060,3,5,19,persistent_p23_r0_3_related_chain_move,related_chain_move,True,True,False,False,32,,,160258,158892,-24560
case_060,3,5,20,persistent_p23_r0_2_first_reader_and_late_consumer,first_reader_and_late_consumer,True,True,False,False,0,,,509359,508276,0
case_060,3,5,21,persistent_p23_r0_2_first_reader_and_independent_follower_work,first_reader_and_independent_follower_work,True,True,False,False,0,,,356981,328635,0
case_060,3,5,22,persistent_p23_r1_1_related_chain_exchange,related_chain_exchange,True,False,False,False,80,,,158892,159995,-65536
case_060,3,5,23,persistent_p23_r2_1_related_chain_exchange,related_chain_exchange,True,True,False,False,2,,,473577,473368,-49156
case_062,1,5,4,p1_region_r0_cap4096_affinity_raw,p1_region,True,True,True,True,3356,830,True,1710478,1563377,-9474048
case_062,1,5,5,p1_region_r0_cap4096_affinity_raw,p1_region,True,True,False,False,3334,874,True,1724028,1634435,-6025728
case_066,2,5,7,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,False,False,False,48,,,89276,91959,4608
case_066,2,5,12,persistent_p23_r1_1_related_chain_move,related_chain_move,True,True,False,False,96,,,212583,209819,481666
case_066,2,5,13,persistent_p23_r1_1_related_chain_exchange,related_chain_exchange,True,True,False,False,4,,,143083,139289,-24576
case_066,2,5,14,persistent_p23_r1_1_related_chain_exchange,related_chain_exchange,True,False,False,False,78,,,103534,117409,-172480
case_066,2,5,15,persistent_p23_r0_1_related_chain_move,related_chain_move,True,True,False,False,32,,,219507,214969,247168
case_066,2,5,16,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,True,False,False,35,,,162505,161218,-49280
case_066,2,5,17,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,True,False,False,39,,,208796,188659,-12032
case_066,2,5,21,persistent_p23_r0_2_related_chain_move,related_chain_move,True,True,False,False,32,,,219507,214752,247168
case_066,2,5,22,persistent_p23_r0_2_related_chain_move,related_chain_move,True,True,False,False,32,,,162505,161635,-49280
case_066,2,5,23,persistent_p23_r0_2_related_chain_move,related_chain_move,True,True,False,False,23,,,208796,192715,-92544
case_066,2,5,24,persistent_p23_r3_1_related_chain_move,related_chain_move,True,True,False,False,96,,,163898,161357,375554
case_066,3,5,7,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,False,False,False,48,,,81153,86782,-3584
case_066,3,5,12,persistent_p23_r1_1_related_chain_move,related_chain_move,True,True,False,False,96,,,212367,209772,481666
case_066,3,5,13,persistent_p23_r1_1_related_chain_exchange,related_chain_exchange,True,False,False,False,61,,,124922,128282,-99328
case_066,3,5,14,persistent_p23_r1_1_related_chain_exchange,related_chain_exchange,True,False,False,False,144,,,94924,107781,-49536
case_066,3,5,15,persistent_p23_r0_1_related_chain_move,related_chain_move,True,True,False,False,32,,,219117,214579,247168
case_066,3,5,16,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,True,False,False,35,,,149090,147652,-49280
case_066,3,5,17,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,True,False,False,39,,,204628,184140,-12032
case_066,3,5,21,persistent_p23_r0_2_first_reader_and_independent_follower_work,first_reader_and_independent_follower_work,True,True,False,False,0,,,219117,219012,0
case_066,3,5,22,persistent_p23_r0_2_related_chain_move,related_chain_move,True,True,False,False,32,,,149090,146651,-49280
case_066,3,5,23,persistent_p23_r0_2_first_reader_and_independent_follower_work,first_reader_and_independent_follower_work,True,True,False,False,0,,,204628,186717,0
case_066,3,5,24,persistent_p23_r3_1_related_chain_move,related_chain_move,True,True,False,False,96,,,163898,160254,375554
case_071,2,5,6,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,False,False,False,48,,,9378,11056,-4384
case_071,2,5,10,persistent_p23_r1_1_related_chain_move,related_chain_move,True,True,False,False,96,,,14377,13633,107236
case_071,2,5,11,persistent_p23_r1_1_related_chain_exchange,related_chain_exchange,True,False,False,False,75,,,11313,12095,10752
case_071,2,5,13,persistent_p23_r0_1_related_chain_move,related_chain_move,True,False,False,False,32,,,18919,19330,59424
case_071,2,5,14,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,False,False,False,48,,,14158,14377,-6816
case_071,2,5,16,persistent_p23_r1_1_related_chain_exchange,related_chain_exchange,True,False,False,False,29,,,9526,11969,32832
case_071,2,5,17,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,False,False,False,30,,,10051,12476,14592
case_071,2,5,18,persistent_p23_r0_1_related_chain_move,related_chain_move,True,False,False,False,32,,,10916,10981,-15616
case_071,2,5,20,persistent_p23_r0_2_related_chain_move,related_chain_move,True,False,False,False,32,,,10916,11447,16448
case_071,2,5,24,persistent_p23_r1_1_related_chain_exchange,related_chain_exchange,True,False,False,False,33,,,9296,11764,2976
case_071,3,5,6,persistent_p23_r0_1_related_chain_move,related_chain_move,True,False,False,False,32,,,7982,10096,-6912
case_071,3,5,11,persistent_p23_r1_1_related_chain_move,related_chain_move,True,True,False,False,96,,,14377,13613,107236
case_071,3,5,12,persistent_p23_r1_1_related_chain_exchange,related_chain_exchange,True,True,False,False,57,,,10306,10258,-1536
case_071,3,5,13,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,False,False,False,35,,,8212,11053,672
case_071,3,5,14,persistent_p23_r0_1_related_chain_move,related_chain_move,True,False,False,False,32,,,10024,10589,16448
case_071,3,5,16,persistent_p23_r0_1_related_chain_move,related_chain_move,True,False,False,False,32,,,18919,19330,59424
case_071,3,5,17,persistent_p23_r0_1_related_chain_move,related_chain_move,True,False,False,False,1,,,12953,13003,-4608
case_071,3,5,21,persistent_p23_r0_2_first_reader_and_independent_follower_work,first_reader_and_independent_follower_work,True,False,False,False,0,,,10024,10845,0
case_071,3,5,22,persistent_p23_r1_2_related_chain_move,related_chain_move,True,True,False,False,96,,,14377,13660,107236
case_071,3,5,23,persistent_p23_r1_2_first_reader_and_independent_follower_work,first_reader_and_independent_follower_work,True,False,False,False,0,,,10306,10979,0
case_075,1,5,6,p1_region_r0_cap4096_affinity_raw,p1_region,True,True,True,True,3203,118,True,1410559,970568,6783058
case_075,1,5,7,p1_region_r0_cap4096_affinity_raw,p1_region,True,True,False,False,3243,111,True,1450841,1002845,6366994
case_075,1,5,8,p1_region_r0_cap4096_affinity_raw,p1_region,True,True,False,False,3195,121,True,1452338,971667,7086878
case_075,1,5,9,p1_region_r1_cap4096_branch_raw,p1_region,True,True,True,True,3265,112,True,970568,724319,8874256
case_075,1,5,10,p1_region_r1_cap4096_branch_raw,p1_region,True,True,False,False,3255,108,True,1002845,767729,8346816
case_075,1,5,11,p1_region_r1_cap4096_branch_raw,p1_region,True,True,False,False,3193,110,True,971667,736741,9025160
case_075,1,5,12,p1_region_r0_cap4096_affinity_merge,p1_region,True,True,False,False,3203,94,True,1410559,1200199,5633262
case_075,1,5,13,p1_region_r0_cap4096_affinity_merge,p1_region,True,True,False,False,3243,74,True,1450841,1116930,5180958
case_075,1,5,14,p1_region_r0_cap4096_affinity_merge,p1_region,True,True,False,False,3195,114,True,1452338,1148105,5788454
case_075,1,5,16,p1_region_r2_cap4096_affinity_raw,p1_region,True,True,False,False,3249,218,True,767729,719861,-2026122
case_075,1,5,18,p1_region_r0_cap8192_affinity_raw,p1_region,True,True,False,False,6221,137,True,1410559,1057851,7568876
