case,problem,cores,mode,makespan,added_copy,byte_hit_rate,time_ratio,copy_saved_vs_fastest,plan,plan_sha256
case_018,2,5,time_first,196754,4681728,,1.0,0,p2/case_018/time_first.json,e3b240dea79ce2c369fbb3412eb1a5a2d6c1b61dc8f29a3fa2188cbe1bd113e4
case_019,2,5,min_copy_within_1pct_time,22206,81504,,1.0,0,p2/case_019/min_copy_within_1pct_time.json,a2793544b545f430005d3dbe1e8ca84ad18612e45e12320d135be40020b25b8c
case_019,2,5,min_copy_within_3pct_time,22206,81504,,1.0,0,p2/case_019/min_copy_within_3pct_time.json,a2793544b545f430005d3dbe1e8ca84ad18612e45e12320d135be40020b25b8c
case_019,2,5,time_first,22206,81504,,1.0,0,p2/case_019/time_first.json,a2793544b545f430005d3dbe1e8ca84ad18612e45e12320d135be40020b25b8c
case_020,2,5,min_copy_within_1pct_time,107187,0,,1.0,0,p2/case_020/min_copy_within_1pct_time.json,0b84c2b8325700c09af637a0efa8252ea91118b73f6b976111afd4317536a447
case_020,2,5,min_copy_within_3pct_time,107187,0,,1.0,0,p2/case_020/min_copy_within_3pct_time.json,0b84c2b8325700c09af637a0efa8252ea91118b73f6b976111afd4317536a447
case_020,2,5,time_first,107187,0,,1.0,0,p2/case_020/time_first.json,0b84c2b8325700c09af637a0efa8252ea91118b73f6b976111afd4317536a447
case_021,2,5,min_copy_within_1pct_time,1250168,11431936,,1.0,0,p2/case_021/min_copy_within_1pct_time.json,eaf84907925df6a12e976bb635bff67f52638d57354a7d0ac0192965e8450e10
case_021,2,5,min_copy_within_3pct_time,1268458,5773312,,1.0146300337234675,5658624,p2/case_021/min_copy_within_3pct_time.json,b05d1b2405857e67b7fab9000be5e26c286022bb3a6b6d0fe6b8a47f89ee47cd
case_021,2,5,time_first,1250168,11431936,,1.0,0,p2/case_021/time_first.json,eaf84907925df6a12e976bb635bff67f52638d57354a7d0ac0192965e8450e10
