config_id,case,problem,cores,group,variant,completed,valid,attempt_count,recovered,first_attempt_valid,calls,failures,cache_hits,seconds,deadline_overrun_seconds,logged_generation_seconds,generation_errors,generation_timeouts,total_recorded_calls_including_recovery,total_recorded_failures_including_recovery,recorded_evaluation_seconds_including_recovery,unresolved_evaluation_attempts,summary,original_singlecore,makespan,added_copy,raw_speedup,statement_speedup,hit_bytes,miss_bytes,byte_hit_rate,plan_sha256,max_reported_depth,evaluated_branch_count
case_054_p1_n5,case_054,1,5,development,persistent,True,True,1,False,True,9,1,0,240.05864260499948,0.058642604999477044,47.31333387893392,0,3,9,1,192.08724726299988,0,configurations/case_054_p1_n5/persistent/attempt_001/summary.json,815051.0,461210,6842858,1.76720149172828,1.76720149172828,0,0,,d2e090983ae8bf3050edb99542b55d3924c47de8b53481ee8f81e7b3cdbf27f0,1,3
case_054_p1_n5,case_054,1,5,development,mature,True,True,1,False,True,5,1,0,240.17292675899807,0.17292675899807364,0.0,0,0,5,1,227.6597159160301,0,configurations/case_054_p1_n5/mature/attempt_001/summary.json,815051.0,517986,1130496,1.573500055986069,1.573500055986069,0,0,,0c08de0e2afb73fc95a0f619c529fae1cdfd1f5e9408e3bba11acd3bb599e253,0,0
case_085_p1_n5,case_085,1,5,development,persistent,True,True,1,False,True,9,2,0,240.04074943700107,0.040749437001068145,48.35873448694474,0,1,9,2,190.87336846106336,0,configurations/case_085_p1_n5/persistent/attempt_001/summary.json,3187899.0,2627370,14570338,1.213342239577981,1.213342239577981,0,0,,5764988e1fe9e4f322c5570f2019e500bb1c8edefd1751cd744cc511fb656876,1,3
case_085_p1_n5,case_085,1,5,development,mature,True,True,1,False,True,6,3,0,246.34888332997798,6.34888332997798,0.0,0,0,6,3,217.0115617629781,0,configurations/case_085_p1_n5/mature/attempt_001/summary.json,3187899.0,2760933,4246258,1.1546455491676184,1.1546455491676184,0,0,,fbf894f47eb0c027e5c0d88c46ff00df2ebb804f78ee043e4cb23ecb9d2d6b49,0,0
case_060_p2_n4,case_060,2,4,core_regression,legacy,True,True,1,False,True,24,0,0,113.21648469302454,0.0,66.57875624092412,0,0,24,0,45.74371067507309,0,configurations/case_060_p2_n4/legacy/attempt_001/summary.json,888789.0,194109,3814784,4.578813965349365,4.578813965349365,0,0,,4743c111fdedcbfe2164e59cf9755acb4599eacdd41be3358847012cfb873b55,0,0
case_060_p2_n4,case_060,2,4,core_regression,persistent,True,True,1,False,True,24,0,0,105.62868494397844,0.0,35.16674949708977,0,0,24,0,69.25357876098133,0,configurations/case_060_p2_n4/persistent/attempt_001/summary.json,888789.0,194770,3841408,4.563274631616779,4.563274631616779,0,0,,7d33d97673ea1e92f47c06f6f8a761c985d9e7586e06e57363abbf2fe7c57674,2,5
case_060_p2_n4,case_060,2,4,core_regression,mature,True,True,1,False,True,24,0,0,45.01116213100613,0.0,5.157757427019533,0,0,24,0,39.13851670199074,0,configurations/case_060_p2_n4/mature/attempt_001/summary.json,888789.0,194395,3667328,4.572077471128373,4.572077471128373,0,0,,bb336d27f5f85359ce4116fcc486ce90db32d5092c4cd9b1702d7c5fd6bcc0fb,0,0
case_025_p2_n5,case_025,2,5,existing_regression,persistent,True,True,1,False,True,13,0,0,240.03468218099442,0.034682180994423106,82.83667864903691,0,4,13,0,155.5580781569879,0,configurations/case_025_p2_n5/persistent/attempt_001/summary.json,4863026.0,942938,110592,5.157312569861433,5.157312569861433,0,0,,c7b7c79a1105825d864864a1f45a3ee16960f02f7e4cc0821f4a283ede83cff8,1,3
case_060_p2_n1,case_060,2,1,core_regression,legacy,True,True,1,False,True,24,0,0,94.96500131802168,0.0,43.84043145197211,0,0,24,0,50.40007162792608,0,configurations/case_060_p2_n1/legacy/attempt_001/summary.json,888789.0,731696,2064512,1.2146970873149505,1.0,0,0,,192309ebec0fda4c48e78d863331208d1b792e4d1696f895c348aacc112df8d1,0,0
case_060_p2_n1,case_060,2,1,core_regression,persistent,True,True,1,False,True,7,0,0,25.754351942014182,0.0,12.455109066038858,0,0,7,0,13.05135495995637,0,configurations/case_060_p2_n1/persistent/attempt_001/summary.json,888789.0,731696,2064512,1.2146970873149505,1.0,0,0,,192309ebec0fda4c48e78d863331208d1b792e4d1696f895c348aacc112df8d1,0,1
case_060_p2_n1,case_060,2,1,core_regression,mature,True,True,1,False,True,24,0,0,61.67478783399565,0.0,12.895336006971775,0,0,24,0,47.92561734103947,0,configurations/case_060_p2_n1/mature/attempt_001/summary.json,888789.0,727354,2259072,1.2219483222749858,1.0,0,0,,e104042897f5fd3b906bca7c55fc11210f9ab17ae54820603d0efeeddf0a8638,0,0
