case,p2_makespan,p3_makespan,time_reduction_percent,p2_copy,p3_copy,cache_byte_hit_rate
case_038,269823,267123,1.0006559855905484,8643072,8640000,0.6048890962145632
case_039,308167,288160,6.492259067323891,10448896,20160512,0.6485984464707869
case_040,62862,56079,10.790302567528876,2162492,2162492,0.2439830154396261
case_041,1194924,1189899,0.4205288369804272,18518016,36806656,0.4226160824309798
case_042,346660,343838,0.8140541164253112,14267176,14425492,0.04162900757418816
case_043,157061,140740,10.391503937960412,6691004,6691004,0.31648070725906324
case_044,43839,43210,1.434795501722208,930400,1021280,0.15612038358164382
case_045,25770,25770,0.0,0,0,0.0
case_046,74332,56262,24.30985309153527,2443040,2582304,0.5752320206399828
case_047,86880,83320,4.097605893186007,2648760,2648760,0.4415777198652474
case_048,94648,96737,-2.2071253486602993,880530,1236440,0.2373620961565273
case_049,53502,52472,1.9251616761990165,1789276,1778976,0.23404223648711509
case_050,38837,34788,10.425625048278707,1481220,1481220,0.35690155464091156
case_051,162296,159635,1.6395967861191907,3507604,3507604,0.15494134258491382
case_052,30009,31139,-3.7655370055649895,328704,328704,0.1895133954132082
case_053,344470,316525,8.112462623740823,10036070,15784344,0.5253706073271627
case_054,197734,192011,2.8942923321229497,6504128,6504128,0.2476051231560399
case_055,18793,19462,-3.559836109189596,157184,198656,0.19750881909096643
case_056,82790,79581,3.8760719893706996,2734524,2734524,0.29249839829057633
case_057,14028,14028,0.0,14112,14112,0.0008212147134302823
case_058,911208,880410,3.3799088682276768,36388864,18444288,0.0
case_059,148571,150528,-1.3172153381211693,4087808,4362240,0.7575642965204236
case_060,161681,153683,4.946777914535416,3521920,3508608,0.4167797328356995
case_061,19442,18480,4.9480506120769485,305762,305762,0.16458557335363413
case_062,644927,644927,0.0,7099392,7099392,0.0
case_063,206194,206181,0.006304742136042929,3164160,3164160,0.018612132352941176
case_064,8539,8510,0.33961822227427385,127474,127410,0.2420233601595328
case_065,8456,8163,3.4649952696310327,55584,55584,0.10456397901515323
case_066,89276,79059,11.444285138223043,3267848,3261704,0.4015519316419276
case_067,11912490,11868839,0.3664305279584723,77927936,77927936,0.22809604830814378
case_068,130506,114148,12.534289611205619,4092568,4188824,0.2503727047267238
case_069,10453,9107,12.87668611881756,433744,426832,0.36484409255162054
case_070,22310,20916,6.2483191393993724,462848,462848,0.2215732078404361
case_071,8107,7473,7.820402121623293,304174,361106,0.314134394505418
case_072,4633832,4625733,0.17477975032327286,182240480,182240480,0.12966674767508915
case_073,1783283,1713089,3.936223246674808,22805504,14886400,0.7909809511468188
case_074,327231,324586,0.8082975023759986,4554752,4554752,0.4606727787259638
case_075,384301,367706,4.318229720973921,12764184,12764184,0.32901909374640037
case_076,1231756,1223447,0.6745654171767757,35959808,18843648,0.6022329537902619
case_077,102246,101185,1.0376934060990162,1165830,1165830,0.033018342199395624
case_078,469283,454208,3.2123473469100716,11867136,11867136,0.4466950374619894
case_079,5958084,5941538,0.2777067258534771,136581120,143093760,0.17983231361885338
case_080,73895,71695,2.9771973746532288,1921024,1904640,0.3387096774193548
case_081,30943,30943,0.0,0,0,0.0
case_082,204047,191965,5.9211848250648185,8262966,8262966,0.29902528725437166
case_083,169639,169444,0.1149499820206401,3768704,3754368,0.5547024827236499
case_084,256584,256584,0.0,0,0,0.0
case_085,869620,815053,6.274809686989724,38726264,38726264,0.25080711537789807
case_086,42744,37482,12.31049971925884,1797234,2115702,0.4087658082158697
case_087,735998,735938,0.00815219606574713,7311380,7311380,0.3777418410672101
case_088,82028,71111,13.308870141902762,2475026,2468858,0.27118645907739874
case_089,118946,118946,0.0,954880,954880,0.0
case_090,235842,194575,17.497731532127435,7279104,7130112,0.5883316480250939
case_091,1860293,1818751,2.2330890886543164,75841024,74685440,0.5271122394896742
case_092,777353,750838,3.4109342859678926,3950976,4540800,0.45188585646208496
case_093,15630,15630,0.0,32768,32768,0.0
case_094,17170,16243,5.398951659871864,304256,259200,0.22195453151693023
case_095,217302,217302,0.0,0,0,0.0
case_096,24231,21779,10.119268705377404,764004,235312,0.22790087821075172
case_097,2094984,2094984,0.0,17039360,17039360,0.7840384615384616
case_098,45492,42646,6.256045018904421,909044,926452,0.31506833412178537
case_099,321604,321604,0.0,7065600,7065600,0.7104568365469237
case_100,57811,57811,0.0,0,0,0.0
