group,case,before,cores,seed,feedback_after,feedback_status,feedback_logical_calls,feedback_new_calls,feedback_elapsed_seconds,feedback_stop_reason,feedback_eval_failed_calls,feedback_eval_timeout_calls,feedback_error_type,interleave_after,interleave_status,interleave_logical_calls,interleave_new_calls,interleave_elapsed_seconds,interleave_stop_reason,interleave_eval_failed_calls,interleave_eval_timeout_calls,interleave_error_type,joint_after,joint_status,joint_logical_calls,joint_new_calls,joint_elapsed_seconds,joint_stop_reason,joint_eval_failed_calls,joint_eval_timeout_calls,joint_error_type,legacy_after,legacy_status,legacy_logical_calls,legacy_new_calls,legacy_elapsed_seconds,legacy_stop_reason,legacy_eval_failed_calls,legacy_eval_timeout_calls,legacy_error_type,read_order_after,read_order_status,read_order_logical_calls,read_order_new_calls,read_order_elapsed_seconds,read_order_stop_reason,read_order_eval_failed_calls,read_order_eval_timeout_calls,read_order_error_type
regression,case_046,76087,5,17,73405,success,12,0,0.1625862920191139,budget_or_candidates,0,0,,74966,success,12,0,0.12387758295517415,budget_or_candidates,0,0,,76087,success,12,0,0.09860641707200557,budget_or_candidates,0,0,,73405,success,12,0,0.06728333397768438,budget_or_candidates,0,0,,75770,success,12,0,0.09309308300726116,budget_or_candidates,0,0,
regression,case_052,34883,5,17,32948,success,12,3,0.5757427919888869,budget_or_candidates,0,0,,32948,success,12,0,0.13271183299366385,budget_or_candidates,0,0,,32948,success,12,0,0.109991249977611,budget_or_candidates,0,0,,34613,success,12,0,0.0791272500064224,budget_or_candidates,0,0,,32948,success,12,0,0.07614904106594622,budget_or_candidates,0,0,
regression,case_070,26656,5,17,26655,success,12,0,0.1553839580155909,budget_or_candidates,0,0,,26655,success,12,0,0.15485425002407283,budget_or_candidates,0,0,,26655,success,12,0,0.13080904202070087,budget_or_candidates,0,0,,26656,success,12,0,0.08605920802801847,budget_or_candidates,0,0,,26655,success,12,0,0.09358695801347494,budget_or_candidates,0,0,
regression,case_071,7502,5,17,7494,success,12,0,0.09527316608000547,budget_or_candidates,0,0,,7494,success,12,2,0.3551622499944642,budget_or_candidates,0,0,,7494,success,12,0,0.07507895899470896,budget_or_candidates,0,0,,7502,success,12,0,0.056501958053559065,budget_or_candidates,0,0,,7494,success,12,0,0.053198167006485164,budget_or_candidates,0,0,
regression,case_078,464016,5,17,463959,success,12,0,0.14832483301870525,budget_or_candidates,0,0,,463959,success,12,0,0.1459787500789389,budget_or_candidates,0,0,,464016,success,12,0,0.12032125005498528,budget_or_candidates,0,0,,459213,success,12,0,0.08682604203931987,budget_or_candidates,0,0,,461284,success,12,0,0.08553745900280774,budget_or_candidates,0,0,
regression,case_090,243470,5,17,237205,success,12,1,0.6433378339279443,budget_or_candidates,0,0,,239504,success,12,0,0.24120974994730204,budget_or_candidates,0,0,,232265,success,12,0,0.19610775006003678,budget_or_candidates,0,0,,234641,success,12,0,0.12934049998875707,budget_or_candidates,0,0,,236399,success,12,0,0.14477991696912795,budget_or_candidates,0,0,
regression,case_094,21130,5,17,20568,success,12,0,0.11305516690481454,budget_or_candidates,0,0,,20398,success,12,0,0.08671491604764014,budget_or_candidates,0,0,,20156,success,12,0,0.07610658300109208,budget_or_candidates,0,0,,20568,success,12,0,0.05114991695154458,budget_or_candidates,0,0,,20308,success,12,0,0.05314208404161036,budget_or_candidates,0,0,
regression,case_098,45079,5,17,44288,success,12,0,0.14831008308101445,budget_or_candidates,0,0,,44288,success,12,0,0.14128062489908189,budget_or_candidates,0,0,,44288,success,12,0,0.12354895798489451,budget_or_candidates,0,0,,44288,success,12,0,0.09071033401414752,budget_or_candidates,0,0,,45079,success,12,0,0.07119670906104147,budget_or_candidates,0,0,
validation,case_009,47234,5,17,47006,success,12,3,3.037582582910545,budget_or_candidates,0,0,,47026,success,12,6,5.523103791987523,budget_or_candidates,0,0,,46976,success,12,4,3.7843525840435177,budget_or_candidates,0,0,,47026,success,12,12,9.308012333000079,budget_or_candidates,0,0,,47110,success,12,5,4.357168917078525,budget_or_candidates,0,0,
validation,case_037,43013,5,17,43013,success,12,0,0.11553775006905198,budget_or_candidates,0,0,,43013,success,12,0,0.10675170796457678,budget_or_candidates,0,0,,43013,success,12,0,0.09681295906193554,budget_or_candidates,0,0,,43013,success,12,8,1.2250154169742018,budget_or_candidates,0,0,,43013,success,12,11,1.6401173330377787,budget_or_candidates,0,0,
validation,case_047,93047,5,17,93036,success,12,12,28.272049625054933,budget_or_candidates,0,0,,93036,success,12,2,7.847546624951065,budget_or_candidates,0,0,,93036,success,12,0,3.1908737920457497,budget_or_candidates,0,0,,93047,success,12,7,15.535117459017783,budget_or_candidates,0,0,,93036,success,12,4,11.807731291977689,budget_or_candidates,0,0,
validation,case_051,159635,5,17,159635,success,12,0,0.16418762493412942,budget_or_candidates,0,0,,159635,success,12,0,0.17598787497263402,budget_or_candidates,0,0,,159635,success,9,0,0.10650724999140948,budget_or_candidates,0,0,,159635,success,12,11,2.6215565419988707,budget_or_candidates,0,0,,159635,success,5,5,1.2321679160231724,budget_or_candidates,0,0,
validation,case_056,91994,5,17,91938,success,12,0,0.9717163749737665,budget_or_candidates,0,0,,91938,success,12,0,1.0054235419956967,budget_or_candidates,0,0,,91897,success,12,11,12.897581957979128,budget_or_candidates,0,0,,91938,success,12,7,8.501164000015706,budget_or_candidates,0,0,,91957,success,12,12,13.749057209002785,budget_or_candidates,0,0,
validation,case_057,16003,5,17,16003,success,1,0,0.04143537499476224,budget_or_candidates,0,0,,16003,success,1,0,0.034943917067721486,budget_or_candidates,0,0,,16003,success,2,0,0.03873716702219099,budget_or_candidates,0,0,,16003,success,1,0,0.019686499959789217,budget_or_candidates,0,0,,16003,success,1,0,0.022015625028871,budget_or_candidates,0,0,
validation,case_067,12007191,5,17,11993835,success,12,0,1.3984725000336766,budget_or_candidates,0,0,,12004782,success,12,0,1.4956666670041159,budget_or_candidates,0,0,,11993835,success,12,0,1.1405293330317363,budget_or_candidates,0,0,,12007191,success,12,12,28.14071991702076,budget_or_candidates,0,0,,11993835,success,12,11,26.44760541699361,budget_or_candidates,0,0,
validation,case_069,9390,5,17,9183,success,12,6,1.1869766659801826,budget_or_candidates,0,0,,9268,success,12,12,1.839418041985482,budget_or_candidates,0,0,,9241,success,12,6,1.15955587499775,budget_or_candidates,0,0,,9261,success,12,6,1.0337251670425758,budget_or_candidates,0,0,,9390,success,12,5,0.7528184170369059,budget_or_candidates,0,0,
validation,case_072,4795217,5,17,4795217,success,12,3,27.404168249922805,budget_or_candidates,0,0,,4795217,success,12,11,87.88412387506105,budget_or_candidates,0,0,,4795217,success,12,0,3.392439791932702,budget_or_candidates,0,0,,4795217,success,12,4,34.446077374974266,budget_or_candidates,0,0,,4795217,success,9,2,16.58241666702088,budget_or_candidates,0,0,
validation,case_079,6007100,5,17,6001928,success,12,3,15.506715500028804,budget_or_candidates,0,0,,6002122,success,12,5,20.731527500087395,budget_or_candidates,0,0,,6001928,success,12,8,32.07235887495335,budget_or_candidates,0,0,,6001928,success,12,7,30.248968417057768,budget_or_candidates,0,0,,6004137,success,12,12,44.79766045906581,budget_or_candidates,0,0,
validation,case_085,816858,5,17,815053,success,12,0,3.7047904579667374,budget_or_candidates,0,0,,815053,success,12,7,44.60544995800592,budget_or_candidates,0,0,,815053,success,12,7,45.742346583982,budget_or_candidates,0,0,,815053,success,12,12,73.40467316703871,budget_or_candidates,0,0,,815053,success,12,5,30.397583459038287,budget_or_candidates,0,0,
validation,case_100,57811,5,17,57811,success,1,0,0.045662583084777,budget_or_candidates,0,0,,57811,success,1,0,0.04498183308169246,budget_or_candidates,0,0,,57811,success,2,0,0.05760950001422316,budget_or_candidates,0,0,,57811,success,1,0,0.027089625014923513,budget_or_candidates,0,0,,57811,success,1,0,0.025919708074070513,budget_or_candidates,0,0,
