case,problem,cores,method,call,phase,status,best_makespan
case_058,2,5,budget_beam,11,region,success,933205
case_058,2,5,budget_beam,12,region,success,932997
case_009,3,5,local_legacy,1,component,success,92225
case_009,3,5,local_legacy,2,component,success,92225
case_009,3,5,local_legacy,3,wcc,success,87425
case_009,3,5,local_legacy,4,wcc,success,87425
case_009,3,5,local_legacy,5,operation,success,87425
case_009,3,5,local_legacy,6,operation,success,74767
case_009,3,5,local_legacy,7,legacy,success,74732
case_009,3,5,local_legacy,8,legacy,success,74732
case_009,3,5,local_legacy,9,structure,success,74732
case_009,3,5,local_legacy,10,structure_pair,success,74732
case_009,3,5,local_legacy,11,legacy,success,74732
case_009,3,5,local_legacy,12,legacy,success,72906
case_058,3,5,wide_legacy,1,component,success,1004819
case_058,3,5,wide_legacy,2,component,success,1004819
case_058,3,5,wide_legacy,3,wcc,success,1004819
case_058,3,5,wide_legacy,4,wcc,success,1004819
case_058,3,5,wide_legacy,5,component,success,912018
case_058,3,5,wide_legacy,6,wcc,success,912018
case_058,3,5,wide_legacy,7,legacy,success,912018
case_058,3,5,wide_legacy,8,legacy,success,910750
case_058,3,5,wide_legacy,9,structure,success,910750
case_058,3,5,wide_legacy,10,legacy,success,910750
case_058,3,5,wide_legacy,11,legacy,success,905270
case_058,3,5,wide_legacy,12,legacy,success,898391
case_094,3,5,local_legacy,1,component,success,24943
case_094,3,5,local_legacy,2,component,success,24943
case_094,3,5,local_legacy,3,wcc,success,24943
case_094,3,5,local_legacy,4,wcc,success,21651
case_094,3,5,local_legacy,5,component,success,21651
case_094,3,5,local_legacy,6,wcc,success,16819
case_094,3,5,local_legacy,7,structure_pair,success,16243
case_094,3,5,local_legacy,8,legacy,success,16243
case_094,3,5,local_legacy,9,legacy,success,16243
case_094,3,5,local_legacy,10,structure,success,16243
case_094,3,5,local_legacy,11,legacy,success,16243
case_094,3,5,local_legacy,12,legacy,success,16243
case_074,2,5,baseline,1,component,success,345470
case_074,2,5,baseline,2,component,success,345470
case_074,2,5,baseline,3,wcc,success,340460
case_074,2,5,baseline,4,wcc,success,340460
case_074,2,5,baseline,5,wcc_probe,success,333090
case_074,2,5,baseline,6,operation,success,333090
case_074,2,5,baseline,7,operation,success,333090
case_074,2,5,baseline,8,trace,success,333090
case_074,2,5,baseline,9,trace,success,333090
case_074,2,5,baseline,10,trace,success,333090
case_074,2,5,baseline,11,trace,success,333090
case_074,2,5,baseline,12,trace,success,333090
case_060,3,5,baseline,1,component,success,182869
case_060,3,5,baseline,2,component,success,182869
case_060,3,5,baseline,3,wcc,success,182869
case_060,3,5,baseline,4,wcc,success,178118
case_060,3,5,baseline,5,component,success,178118
case_060,3,5,baseline,6,wcc,success,160258
case_060,3,5,baseline,7,component,success,160258
case_060,3,5,baseline,8,wcc,success,160258
case_060,3,5,baseline,9,component,success,160258
case_060,3,5,baseline,10,wcc,success,160258
case_060,3,5,baseline,11,component,success,160258
case_060,3,5,baseline,12,wcc,success,160258
case_094,3,5,wide_legacy,1,component,success,24943
case_094,3,5,wide_legacy,2,component,success,24943
case_094,3,5,wide_legacy,3,wcc,success,24943
case_094,3,5,wide_legacy,4,wcc,success,21651
case_094,3,5,wide_legacy,5,component,success,21651
case_094,3,5,wide_legacy,6,wcc,success,16819
case_094,3,5,wide_legacy,7,structure_pair,success,16243
case_094,3,5,wide_legacy,8,legacy,success,16243
case_094,3,5,wide_legacy,9,legacy,success,16243
case_094,3,5,wide_legacy,10,structure,success,16243
case_094,3,5,wide_legacy,11,legacy,success,16243
case_094,3,5,wide_legacy,12,legacy,success,16243
case_009,2,5,baseline,1,component,success,92225
case_009,2,5,baseline,2,component,success,92225
case_009,2,5,baseline,3,wcc,success,87425
case_009,2,5,baseline,4,wcc,success,87425
case_009,2,5,baseline,5,operation,success,87425
case_009,2,5,baseline,6,operation,success,77300
case_009,2,5,baseline,7,trace,success,77150
case_009,2,5,baseline,8,trace,success,77091
case_009,2,5,baseline,9,trace,success,77091
case_009,2,5,baseline,10,trace,success,77091
case_009,2,5,baseline,11,trace,success,77091
case_009,2,5,baseline,12,trace,success,52200
case_029,3,5,baseline,1,component,success,9383
case_029,3,5,baseline,2,component,success,9383
case_029,3,5,baseline,3,operation,success,9383
case_029,3,5,baseline,4,operation,success,9383
case_029,3,5,baseline,5,trace,success,9383
case_029,3,5,baseline,6,trace,success,9383
case_029,3,5,baseline,7,p3_cache,success,9383
case_029,3,5,baseline,8,component,success,9383
case_029,3,5,baseline,9,operation,success,9383
case_029,3,5,baseline,10,component,success,9383
case_029,3,5,baseline,11,operation,success,9383
case_029,3,5,baseline,12,component,success,9383
case_029,3,5,budget_beam,1,component,success,9383
case_029,3,5,budget_beam,2,component,success,9383
case_029,3,5,budget_beam,3,operation,success,9383
case_029,3,5,budget_beam,4,operation,success,9383
case_029,3,5,budget_beam,5,trace,success,9383
case_029,3,5,budget_beam,6,trace,success,9383
case_029,3,5,budget_beam,7,structure,success,9383
case_029,3,5,budget_beam,8,legacy,success,9383
case_029,3,5,budget_beam,9,region,success,9383
case_029,3,5,budget_beam,10,structure,success,9383
case_029,3,5,budget_beam,11,data,success,9383
