case,problem,cores,group,variant,observed_prefix,calls,makespan,note
case_044,2,5,development,joint,16,16,82112,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,3,3,lowcore,joint,8,8,361155,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,3,3,lowcore,joint,12,12,361155,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,3,3,lowcore,joint,16,16,361155,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,3,5,development,joint,8,8,181583,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,3,5,development,joint,12,12,181583,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,3,5,development,joint,16,16,179995,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,1,4,lowcore,joint,8,8,288239,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,1,4,lowcore,joint,12,12,288232,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,1,4,lowcore,joint,16,16,288232,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_099,3,5,validation,joint,8,8,322542,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_099,3,5,validation,joint,12,12,322542,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_099,3,5,validation,joint,16,16,322542,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,3,2,lowcore,joint,8,8,105322,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,3,2,lowcore,joint,12,12,105322,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,3,2,lowcore,joint,16,16,105322,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,1,2,lowcore,joint,8,8,140273,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,1,2,lowcore,joint,12,12,140273,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,1,2,lowcore,joint,16,16,140273,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_012,2,5,validation,joint,8,8,12389,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_012,2,5,validation,joint,12,12,12279,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_012,2,5,validation,joint,16,16,12090,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_075,2,5,development,strong,8,8,422030,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_075,2,5,development,strong,12,12,396278,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_075,2,5,development,strong,16,16,396278,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_075,3,5,development,joint,8,8,409540,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_075,3,5,development,joint,12,12,409283,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_075,3,5,development,joint,16,16,409283,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_094,3,5,development,strong,8,8,16819,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_094,3,5,development,strong,12,12,16819,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_094,3,5,development,strong,16,16,16819,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,2,4,lowcore,joint,8,8,179465,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,2,4,lowcore,joint,12,12,179465,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,2,4,lowcore,joint,16,16,179465,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_077,2,5,validation,strong,8,8,110038,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_077,2,5,validation,strong,12,12,110038,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_077,2,5,validation,strong,16,16,110038,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_094,2,5,development,joint,8,8,17755,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_094,2,5,development,joint,12,12,17755,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_094,2,5,development,joint,16,16,17755,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_099,2,5,validation,joint,8,8,327678,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_099,2,5,validation,joint,12,12,327678,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_099,2,5,validation,joint,16,16,327678,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_034,1,5,validation,strong,8,8,165049,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_034,1,5,validation,strong,12,12,165049,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_034,1,5,validation,strong,16,16,165049,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,2,2,lowcore,joint,8,8,105322,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,2,2,lowcore,joint,12,12,105322,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,2,2,lowcore,joint,16,16,105322,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_034,3,5,validation,joint,8,8,159257,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_034,3,5,validation,joint,12,12,159257,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_034,3,5,validation,joint,16,16,158621,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,3,5,development,joint,8,8,220188,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,3,5,development,joint,12,12,220188,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,3,5,development,joint,16,16,220188,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,1,2,lowcore,strong,8,8,381670,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,1,2,lowcore,strong,12,12,381670,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,1,2,lowcore,strong,16,16,381670,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,2,3,lowcore,joint,8,8,361155,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,2,3,lowcore,joint,12,12,361155,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,2,3,lowcore,joint,16,16,361155,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_069,2,5,development,strong,8,8,12224,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_069,2,5,development,strong,12,12,11517,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_069,2,5,development,strong,16,16,11517,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,3,4,lowcore,strong,8,8,178974,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,3,4,lowcore,strong,12,12,178974,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,3,4,lowcore,strong,16,16,178974,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_002,2,5,validation,strong,8,8,59668,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_002,2,5,validation,strong,12,12,51909,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_002,2,5,validation,strong,16,16,51909,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_022,2,5,validation,joint,8,8,11820,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_022,2,5,validation,joint,12,12,11654,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_022,2,5,validation,joint,16,16,11654,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,1,5,development,strong,8,8,86449,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,1,5,development,strong,12,12,83830,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,1,5,development,strong,16,16,81267,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_002,3,5,validation,joint,8,8,59289,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_002,3,5,validation,joint,12,12,59289,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_002,3,5,validation,joint,16,16,59282,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_034,3,5,validation,strong,8,8,159257,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_034,3,5,validation,strong,12,12,159257,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_034,3,5,validation,strong,16,16,159117,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_047,3,5,development,strong,8,8,116004,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_047,3,5,development,strong,12,12,115843,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_047,3,5,development,strong,16,16,115843,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,2,3,lowcore,strong,8,8,361155,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,2,3,lowcore,strong,12,12,361155,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,2,3,lowcore,strong,16,16,361155,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_089,1,5,validation,joint,8,8,147432,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_089,1,5,validation,joint,12,12,147432,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_089,1,5,validation,joint,16,16,147432,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_028,2,5,validation,strong,8,8,9521682,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_028,2,5,validation,strong,12,12,9044770,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_028,2,5,validation,strong,16,16,8732165,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_099,1,5,validation,strong,8,8,334416,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_099,1,5,validation,strong,12,12,331480,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_099,1,5,validation,strong,16,16,331480,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
