case,problem,cores,group,variant,observed_prefix,calls,makespan,note
case_042,1,5,validation,strong,12,12,343752,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_042,1,5,validation,strong,16,16,337038,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_022,3,5,validation,strong,8,8,11820,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_022,3,5,validation,strong,12,12,11820,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_022,3,5,validation,strong,16,16,11820,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_085,1,5,development,joint,8,6,2760933,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_085,1,5,development,joint,12,6,2760933,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_085,1,5,development,joint,16,6,2760933,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_012,3,5,validation,strong,8,8,12279,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_012,3,5,validation,strong,12,12,12272,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_012,3,5,validation,strong,16,16,12272,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_089,1,5,validation,strong,8,8,147432,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_089,1,5,validation,strong,12,12,147432,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_089,1,5,validation,strong,16,16,147432,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_085,2,5,development,joint,8,8,881711,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_085,2,5,development,joint,12,12,881711,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_085,2,5,development,joint,16,12,881711,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,3,4,lowcore,joint,8,8,178974,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,3,4,lowcore,joint,12,12,178974,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,3,4,lowcore,joint,16,16,178974,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_012,3,5,validation,joint,8,8,12279,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_012,3,5,validation,joint,12,12,12272,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_012,3,5,validation,joint,16,16,12045,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,3,3,lowcore,joint,8,8,79308,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,3,3,lowcore,joint,12,12,79308,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,3,3,lowcore,joint,16,16,79308,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_085,2,5,development,strong,8,8,881711,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_085,2,5,development,strong,12,12,881711,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_085,2,5,development,strong,16,12,881711,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,2,5,development,joint,8,8,93013,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,2,5,development,joint,12,12,77846,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,2,5,development,joint,16,16,77846,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_006,2,5,development,joint,8,8,31729,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_006,2,5,development,joint,12,12,31729,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_006,2,5,development,joint,16,16,31729,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_085,3,5,development,strong,8,8,928690,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_085,3,5,development,strong,12,12,918123,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_085,3,5,development,strong,16,12,918123,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_057,3,5,validation,joint,8,8,14372,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_057,3,5,validation,joint,12,12,14372,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_057,3,5,validation,joint,16,16,14372,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_069,3,5,development,strong,8,8,10796,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_069,3,5,development,strong,12,12,10673,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_069,3,5,development,strong,16,16,10673,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,1,4,lowcore,strong,8,8,120451,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,1,4,lowcore,strong,12,12,120451,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,1,4,lowcore,strong,16,16,120451,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,1,3,lowcore,joint,8,8,91779,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,1,3,lowcore,joint,12,12,86763,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,1,3,lowcore,joint,16,16,86763,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,1,4,lowcore,joint,8,8,524422,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,1,4,lowcore,joint,12,12,524422,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,1,4,lowcore,joint,16,16,524422,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,1,4,lowcore,strong,8,8,288239,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,1,4,lowcore,strong,12,12,288232,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,1,4,lowcore,strong,16,16,288232,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,3,4,lowcore,joint,8,8,82513,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,3,4,lowcore,joint,12,12,80997,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,3,4,lowcore,joint,16,16,78916,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,2,3,lowcore,strong,8,8,85607,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,2,3,lowcore,strong,12,12,85607,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,2,3,lowcore,strong,16,16,85607,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,3,2,lowcore,strong,8,8,80734,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,3,2,lowcore,strong,12,12,80734,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,3,2,lowcore,strong,16,16,80734,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,3,2,lowcore,strong,8,8,539178,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,3,2,lowcore,strong,12,12,539178,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,3,2,lowcore,strong,16,16,539178,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_002,1,5,validation,joint,8,8,66289,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
