case,problem,cores,variant,group,status,makespan,added_copy,logical_calls,new_calls,failures,timeouts,elapsed_seconds,tail_generation_seconds,prefix_reported_generation_seconds,prefix_elapsed_seconds,stop_reason,summary,time_b8,time_b12,time_b16
case_009,2,3,strong,lowcore,success,85607,24576,16,16,0,0,26.912812065012986,0.0,2.446159744024044,26.843383603001712,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p2_n3/strong/summary.json,85607,85607,85607
case_009,3,2,strong,lowcore,success,80734,0,16,16,0,0,27.621552453987533,0.0,2.1579033829912078,27.560504746972583,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p3_n2/strong/summary.json,80734,80734,80734
case_095,3,2,strong,lowcore,success,539178,0,16,16,0,0,29.72173071600264,0.0,2.237843014940154,29.67584423199878,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_095/p3_n2/strong/summary.json,539178,539178,539178
case_002,1,5,joint,validation,success,65443,2193408,16,16,0,0,17.74980254197726,1.388155392021872,2.715387238044059,13.47465961900889,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_002/p1_n5/joint/summary.json,66289,65443,65443
case_099,1,5,joint,validation,success,331480,8609792,16,16,0,0,125.34896780000417,3.4593155019683763,4.859283625992248,91.99822330501047,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_099/p1_n5/joint/summary.json,334416,331480,331480
case_009,3,3,strong,lowcore,success,85598,38400,16,16,0,0,29.430828006996308,0.0,2.3684622689906973,29.358255722996546,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p3_n3/strong/summary.json,85607,85598,85598
case_046,1,2,strong,lowcore,success,140273,6545568,16,16,0,0,5.942567182995845,0.0,0.4690024409792386,5.929423816007329,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_046/p1_n2/strong/summary.json,140273,140273,140273
case_009,1,2,strong,lowcore,success,89561,400018,16,16,0,0,67.81129749698448,0.0,12.73292208899511,67.77165314299054,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p1_n2/strong/summary.json,92198,91658,89561
case_009,3,3,joint,lowcore,success,82017,268072,16,16,0,0,36.242503866000334,8.076786949008238,2.5212059979967307,22.069845819001785,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p3_n3/joint/summary.json,85607,85598,82017
case_028,2,5,joint,validation,success,8250713,26780160,16,16,0,0,171.32550238398835,41.76896386803128,9.00807340501342,101.24292660999345,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_028/p2_n5/joint/summary.json,9521682,9044770,8250713
case_009,1,4,joint,lowcore,success,85399,235116,16,16,0,0,79.02183910299209,5.285646437987452,10.426521282002795,58.641788528999314,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p1_n4/joint/summary.json,91784,85399,85399
case_051,2,2,strong,lowcore,success,319230,394080,16,16,0,0,6.716348289017333,0.0,0.2484705540118739,6.69582637399435,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_051/p2_n2/strong/summary.json,319230,319230,319230
case_099,2,5,strong,validation,success,327678,9375744,16,16,0,0,41.028229645016836,0.0,5.462970387045061,40.92740876600146,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_099/p2_n5/strong/summary.json,327678,327678,327678
case_095,3,4,strong,lowcore,success,273250,0,16,16,0,0,30.79482903101598,0.0,2.6043343429919332,30.74382376598078,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_095/p3_n4/strong/summary.json,273250,273250,273250
case_028,1,5,joint,validation,success,9764657,327158784,11,11,2,2,180.2214748269762,0.0,17.455420329992194,180.0455900139932,time_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_028/p1_n5/joint/summary.json,10074287,9764657,9764657
case_095,1,5,strong,development,success,420852,0,16,16,0,0,44.20650324597955,0.0,3.250134492001962,44.170461162982974,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_095/p1_n5/strong/summary.json,420852,420852,420852
