case,problem,cores,policy,makespan,added_copy,spill,hit_rate,hit_bytes,miss_bytes,calls,new_calls,failures,generation_failures,generation_seconds,elapsed_seconds,summary
case_090,2,5,wait_joint,237104,6952704,0,,,,12,12,0,0,20.302012302010553,25.201220287999604,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/集中对照/slots/case_090_p2/wait_joint/summary.json
case_069,1,5,mature,15434,554768,0,,,,12,12,0,0,2.260629692027578,6.889697556995088,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/集中对照/slots/case_069_p1/mature/summary.json
case_023,3,5,proxy,19152,204192,0,0.1520399047525187,95648,533450,12,12,0,0,14.308534497977234,17.612390216003405,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/集中对照/slots/case_023_p3/proxy/summary.json
case_069,1,5,proxy,15434,554768,0,,,,12,12,0,0,1.406881547998637,5.476960094994865,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/集中对照/slots/case_069_p1/proxy/summary.json
case_046,3,5,proxy,57496,2512672,0,0.5659487329505979,1981056,1519360,12,12,0,0,4.593662795989076,7.704120075999526,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/集中对照/slots/case_046_p3/proxy/summary.json
case_044,1,5,wait_joint,96349,222208,58880,,,,11,11,0,0,4.685511577001307,10.35866447997978,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/集中对照/slots/case_044_p1/wait_joint/summary.json
case_018,2,5,mature,197737,4825088,143360,,,,12,12,0,0,15.514394169003936,24.839029545983067,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/集中对照/slots/case_018_p2/mature/summary.json
case_017,3,5,wait_joint,26934,339840,0,0.27605439346802935,241536,633422,12,12,0,0,20.057731537002837,24.138277062011184,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/集中对照/slots/case_017_p3/wait_joint/summary.json
case_062,2,5,mature,644927,7099392,239616,,,,1,1,0,1,20.02699508200749,28.353304461983498,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/集中对照/slots/case_062_p2/mature/summary.json
case_080,3,5,proxy,74411,4255744,0,0.3421256788207913,1806336,3473408,12,12,0,0,16.03601290998631,21.243974015989807,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/集中对照/slots/case_080_p3/proxy/summary.json
