case,makespan,plan_sha256,hit_rate,peak_cache_bytes,evicted_entries,hit_count,hit_bytes,first_miss_count,first_miss_bytes,pre_first_insert_repeat_miss_count,pre_first_insert_repeat_miss_bytes,post_eviction_miss_count,post_eviction_miss_bytes,oversize_miss_count,oversize_miss_bytes,ddr_busy_cycles,cache_busy_cycles,simultaneous_pools_cycles,max_ddr_concurrency,max_cache_concurrency
case_048,97672,e554328d3e270c580743e958551cb366aed5239e2b7dcdfcf5818768c50cbef2,0.207031478523052,616710,0,114,184022,443,616710,34,88128,0,0,0,0,17953,830,597,9,2
case_049,95813,4eb2daf396db9947d662e9aafba9f51a5ed27458f8d5c05ddfbb1c1c18aaa9cb,0.1523863246603417,1048576,1016,427,430072,1908,2345968,46,45056,1,1152,0,0,86990,2091,1976,10,3
case_050,96617,f9059cec3aa7024df7bba8fe0818e1e28ee8f7875a04872580aba24166cb7db3,0.034581717318476,321604,0,10,11520,190,321604,0,0,0,0,0,0,5557,50,45,6,1
case_051,161479,be893a506dfffb76e5f8768d3b36bde5fcbf6ef7671d3a8071ed381052bdcb8c,0.15494134258491382,1016192,129,80,360586,348,1966656,0,0,0,0,0,0,59722,1521,307,5,4
case_052,31139,7f5110d6ed1291d7437d4595f91d52f24c8a8980a0c744c348e18cf599f6dbed,0.1895133954132082,810044,0,37,215808,259,810044,14,112896,0,0,0,0,15617,883,617,6,2
case_053,374457,f97ef2fe0e4f32ddbe897621aaa8b9306df0e35ded4fcfbd87dcf4ce7a479805,0.020520021907168538,1048530,209,20,124616,405,2968630,164,2979648,2,4,0,0,102319,510,133,6,2
case_054,356049,ac6570c52c896c353c4db88f801e156dc3d0bbb2f6d8469d10636e97e9afbb53,0.17325732653087675,1048576,7336,1744,1684336,7499,7852970,251,181012,6,3268,0,0,264673,8166,6541,10,4
case_055,19462,146fe28744743e5c37f2d14408a34e3c1f1b61993ab9408762c7e50370759d74,0.19750881909096643,625692,0,13,162816,173,625692,3,35840,0,0,0,0,11209,659,507,6,1
case_056,122274,4cb9c2b51e89ed263de9c7172fa5ac87758fa2a384ecdd4a7850eb6c6e433a30,0.17091779973584553,1048576,2054,708,623744,3321,2952962,72,72674,0,0,0,0,110212,3120,2661,10,3
case_057,14372,afc33452dd684bae402e33d66febb09a42f32b94990844b7a9c60be945049a1a,0.07663692925568687,336588,0,7,27936,127,336588,0,0,0,0,0,0,5865,116,0,6,1
case_058,896066,02609869003f37d62581ef4f97591bd6a1e12e5f02c484630cff8931a2a4168e,0.3073102900278109,1048576,5398,2399,12673024,1279,7536640,108,872448,4368,20156416,0,0,512969,51903,22857,10,3
case_059,150736,d2c49cbd893d8ef50523efe08eaa45282f905df615791c8640e801357da6e5a9,0.7378787878787879,1048576,9,1244,3989504,352,1081344,164,335872,0,0,0,0,28460,16828,3751,10,5
case_060,158821,76f298c5aa192d3974f66f85f95a096dc32ee6f1fd2959ad52f4b36a7c755262,0.41577630988263964,1048324,661,949,2333952,675,2172456,17,52224,423,1054848,0,0,56926,10063,3883,6,4
case_061,21711,e2c2aec889dd9ff4031d048d1d53536923cdffa5c268b3a2431df1cb3b9765ac,0.09257217864493396,544036,0,25,58112,259,544036,8,25600,0,0,0,0,9786,244,244,6,1
case_062,690990,c1844dbfd84546e68e863e7d32c243af6351b44b25f7155c0cacfcd3de78683c,0.0,1047552,6849,0,0,7531,18267648,0,0,0,0,0,0,389457,0,0,10,0
case_063,250837,67b31a96e7d6b228429261e6f1bd01e7f0cf71dcf369417c1fca08dc66c910fe,0.0,1047552,1928,0,0,2610,6518784,0,0,0,0,0,0,134929,0,0,10,0
case_064,8628,dccb1d44a7da3efe93d3298ed8d782f7fd3c7ef1263352759e928fde87bc4942,0.4025447525447525,65526,0,100,45874,191,65526,5,2560,0,0,0,0,2242,278,98,5,3
case_065,8163,eccdadeaca8b9b69a3828cd6f488ecbb509c382ba1c9057677544ea5c5247f67,0.10456397901515323,299720,0,10,37152,153,299720,4,18432,0,0,0,0,5727,154,154,7,2
case_066,124922,83c3bc55b9f5dfab4e0c202480b98971f326edca50c810313ff2494621a04abc,0.29008532297500744,1048570,1241,720,1315266,2520,2876216,51,331684,15,10900,0,0,99527,5832,4956,10,3
case_067,12474515,f4421a283a197303927b4cb774b3b7139f5290994efaa632da66ffd1d5e45797,0.1772327880048049,1048576,132,49,3720448,199,6105472,151,11165952,0,0,0,0,327978,14900,29,5,1
case_068,114148,9e43ab6b5ddeecc9d32006e7004bdc6ed86a854ec1a7a701e167cbe0b2c5884e,0.2503727047267238,1048574,885,627,1439608,1281,3512036,79,798216,0,0,0,0,94075,6258,5604,9,4
case_069,10246,8a68ff1a7c4e3a785728c5823ee4edc77031973622944435ad6f810b180a238a,0.39069952914832595,205718,0,89,152844,157,205718,25,32644,0,0,0,0,7224,664,401,10,2
case_070,20916,94fa50702b6833464dc89d67268e2694a0b0421e4f9fa4bbb19fe441cbef7ec3,0.2215732078404361,419858,0,32,195584,193,419858,26,267264,0,0,0,0,11677,804,707,5,2
case_071,7982,7d07ed19b7455b14d7a72cce497f599a098701cbcb62a492183c61b9f7a65dff,0.42693496293886657,182710,0,89,146992,129,182710,9,14594,0,0,0,0,5757,644,407,9,3
case_072,4697439,5d2c8700d09050e00a6ca4dc87c3cdb518c6e8a6b3ed0112bb1a0afbe7cfd6be,0.3256131676912537,1048576,10994,5491,45856232,1237,11093006,25,1003560,9910,82877600,0,0,1588779,184708,53587,6,3
