library,case,cores,no_l2_makespan,l2_makespan,no_l2_added_copy,l2_added_copy,same_core_p2_over_p3,same_plan_hash,interpretation
cold,case_007,2,490226,490226,35328,35328,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_008,2,129246,129246,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_009,2,79930,79930,493568,493568,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_010,2,45452,45452,48384,48384,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_011,2,92646,92646,180224,180224,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_012,2,18675,18542,28800,28800,1.0071729047567684,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_013,2,132198,132198,8192,8192,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_014,2,8801137,8787064,68858136,68858136,1.001601558836945,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_015,2,67929,67929,1191168,1191168,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_016,2,4027025,4026193,404196,404196,1.0002066468249287,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_017,2,57263,57263,87552,87552,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_018,2,486844,486465,1463296,1463296,1.0007790899653624,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_019,2,26149,26149,2592,2592,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_020,2,266580,266580,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_021,2,3102874,3102874,25079808,25079808,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_022,2,27246,27181,6912,6912,1.0023913763290533,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_023,2,37454,37454,74016,74016,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_024,2,1335245,1334413,396852,396852,1.0006234951248227,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_025,2,2351860,2351860,27648,27648,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_026,2,49867,49867,1296,1296,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_027,2,1115722,1115722,1105920,1105920,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_028,2,20786944,20870921,141796560,74690688,0.9959763634772035,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_029,2,19740,19740,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_030,2,1393832,1393511,12249088,12249088,1.0002303534023054,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_031,2,680485,679536,4885124,4885124,1.0013965411692685,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_032,2,17325,17325,6144,6144,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_033,2,869585,868519,6563360,6563360,1.0012273767182986,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_034,2,374992,374992,1101312,1101312,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_035,2,80127,80127,588832,588832,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_036,2,466068,466068,1152,1152,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_037,2,105374,105374,204800,204800,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_038,2,666218,664974,5591552,5591552,1.0018707498338282,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_039,2,692686,691136,13369344,13369344,1.0022426845078247,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_040,2,130824,130824,12288,12288,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_041,2,2968333,2973456,30394368,29000704,0.9982770890169553,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_042,2,822365,821855,3658016,3658016,1.0006205474201653,True,separately optimized P2/P3 plans; includes scheduling differences
