batch,case,problem,num_cores,seed,stage,round,before_time,after_time,evaluations,generation_seconds
full_p2_seed17,case_004,2,3,17,operation,0,134043,132570,8,0.03970562492031604
full_p2_seed17,case_004,2,3,17,trace,0,132570,132570,1,0.011915833922103047
full_p2_seed17,case_004,2,4,17,component,0,,104188,4,0.04631416592746973
full_p2_seed17,case_004,2,4,17,operation,0,104188,104188,8,0.04882037499919534
full_p2_seed17,case_004,2,4,17,trace,0,104188,100636,2,0.007900124997831881
full_p2_seed17,case_004,2,4,17,trace,1,100636,100636,0,0.009111457969993353
full_p2_seed17,case_004,2,5,17,component,0,,88341,4,0.06843204097822309
full_p2_seed17,case_004,2,5,17,operation,0,88341,85933,8,0.04984841600526124
full_p2_seed17,case_004,2,5,17,trace,0,85933,84227,11,0.02131974999792874
full_p2_seed17,case_004,2,5,17,trace,1,84227,84227,1,0.011774291982874274
full_p2_seed17,case_005,2,2,17,component,0,,95618,1,0.005108125042170286
full_p2_seed17,case_005,2,2,17,operation,0,95618,56747,8,0.1737495840061456
full_p2_seed17,case_005,2,2,17,trace,0,56747,54868,12,0.08281824993900955
full_p2_seed17,case_005,2,3,17,component,0,,95618,1,0.005199542036280036
full_p2_seed17,case_005,2,3,17,operation,0,95618,42480,8,0.24168908305000514
full_p2_seed17,case_005,2,3,17,trace,0,42480,39495,12,0.09571658307686448
full_p2_seed17,case_005,2,4,17,component,0,,95618,1,0.009376041940413415
full_p2_seed17,case_005,2,4,17,operation,0,95618,47588,8,0.30850541696418077
full_p2_seed17,case_005,2,4,17,trace,0,47588,38159,12,0.11186520801857114
full_p2_seed17,case_005,2,5,17,component,0,,95618,1,0.008798666996881366
full_p2_seed17,case_005,2,5,17,operation,0,95618,41728,8,0.3921080830041319
full_p2_seed17,case_005,2,5,17,trace,0,41728,39694,12,0.1134459589375183
full_p2_seed17,case_006,2,2,17,component,0,,40612,4,0.030981832998804748
full_p2_seed17,case_006,2,2,17,operation,0,40612,40612,8,0.028532832977361977
full_p2_seed17,case_006,2,2,17,trace,0,40612,39407,12,0.012307459022849798
full_p2_seed17,case_006,2,3,17,component,0,,31151,4,0.037831083056516945
full_p2_seed17,case_006,2,3,17,operation,0,31151,31151,8,0.0380994169972837
full_p2_seed17,case_006,2,3,17,trace,0,31151,31151,12,0.013046916923485696
full_p2_seed17,case_006,2,4,17,component,0,,31425,4,0.06432174996007234
full_p2_seed17,case_006,2,4,17,operation,0,31425,31425,8,0.04667408298701048
full_p2_seed17,case_006,2,4,17,trace,0,31425,31170,12,0.014855082961730659
full_p2_seed17,case_006,2,5,17,component,0,,31729,4,0.0738262920640409
full_p2_seed17,case_006,2,5,17,operation,0,31729,31729,8,0.05719041696283966
full_p2_seed17,case_006,2,5,17,trace,0,31729,31444,12,0.015460000024177134
full_p2_seed17,case_007,2,2,17,component,0,,507494,4,0.08392812497913837
full_p2_seed17,case_007,2,2,17,operation,0,507494,507494,8,0.18538779206573963
full_p2_seed17,case_007,2,2,17,trace,0,507494,506906,12,0.08822304208297282
full_p2_seed17,case_007,2,3,17,component,0,,338094,4,0.13981712504755706
full_p2_seed17,case_007,2,3,17,operation,0,338094,338094,8,0.2827490420313552
full_p2_seed17,case_007,2,3,17,trace,0,338094,338094,1,0.05243245791643858
full_p2_seed17,case_007,2,4,17,component,0,,254398,4,0.21331612498033792
