case,problem,cores,policy,allowed_time_regression,makespan,added_copy,actual_time_regression,bytes_saved,plan_member
case_023,2,5,paired_w200,0.03,17694,280992,0.0,0,plans/aa419f2cabd50dc4e40fb3797195d3e2b652aea3b9de413323c89155bd90f98d.json
case_023,3,5,legacy,0,16725,280992,0.0,0,plans/aa419f2cabd50dc4e40fb3797195d3e2b652aea3b9de413323c89155bd90f98d.json
case_023,3,5,legacy,0.01,16725,280992,0.0,0,plans/aa419f2cabd50dc4e40fb3797195d3e2b652aea3b9de413323c89155bd90f98d.json
case_023,3,5,legacy,0.03,16725,280992,0.0,0,plans/aa419f2cabd50dc4e40fb3797195d3e2b652aea3b9de413323c89155bd90f98d.json
case_023,3,5,paired_w200,0,16725,280992,0.0,0,plans/aa419f2cabd50dc4e40fb3797195d3e2b652aea3b9de413323c89155bd90f98d.json
case_023,3,5,paired_w200,0.01,16725,280992,0.0,0,plans/aa419f2cabd50dc4e40fb3797195d3e2b652aea3b9de413323c89155bd90f98d.json
case_023,3,5,paired_w200,0.03,16725,280992,0.0,0,plans/aa419f2cabd50dc4e40fb3797195d3e2b652aea3b9de413323c89155bd90f98d.json
case_025,2,5,legacy,0,942350,118272,0.0,0,plans/9c60bb2359e412cc005ccb9ca6d0e61767371262575c1dc8c0ee8a15224c23d4.json
case_025,2,5,legacy,0.01,942938,110592,0.0006239719849312486,7680,plans/c7b7c79a1105825d864864a1f45a3ee16960f02f7e4cc0821f4a283ede83cff8.json
case_025,2,5,legacy,0.03,942938,110592,0.0006239719849312486,7680,plans/c7b7c79a1105825d864864a1f45a3ee16960f02f7e4cc0821f4a283ede83cff8.json
case_025,2,5,paired_w200,0,942350,118272,0.0,0,plans/9c60bb2359e412cc005ccb9ca6d0e61767371262575c1dc8c0ee8a15224c23d4.json
case_025,2,5,paired_w200,0.01,942938,110592,0.0006239719849312486,7680,plans/c7b7c79a1105825d864864a1f45a3ee16960f02f7e4cc0821f4a283ede83cff8.json
case_025,2,5,paired_w200,0.03,942938,110592,0.0006239719849312486,7680,plans/c7b7c79a1105825d864864a1f45a3ee16960f02f7e4cc0821f4a283ede83cff8.json
case_025,3,5,legacy,0,942350,118272,0.0,0,plans/9c60bb2359e412cc005ccb9ca6d0e61767371262575c1dc8c0ee8a15224c23d4.json
case_025,3,5,legacy,0.01,942938,110592,0.0006239719849312486,7680,plans/c7b7c79a1105825d864864a1f45a3ee16960f02f7e4cc0821f4a283ede83cff8.json
case_025,3,5,legacy,0.03,942938,110592,0.0006239719849312486,7680,plans/c7b7c79a1105825d864864a1f45a3ee16960f02f7e4cc0821f4a283ede83cff8.json
case_025,3,5,paired_w200,0,942350,118272,0.0,0,plans/9c60bb2359e412cc005ccb9ca6d0e61767371262575c1dc8c0ee8a15224c23d4.json
case_025,3,5,paired_w200,0.01,942938,110592,0.0006239719849312486,7680,plans/c7b7c79a1105825d864864a1f45a3ee16960f02f7e4cc0821f4a283ede83cff8.json
case_025,3,5,paired_w200,0.03,942938,110592,0.0006239719849312486,7680,plans/c7b7c79a1105825d864864a1f45a3ee16960f02f7e4cc0821f4a283ede83cff8.json
case_028,2,5,legacy,0,8032082,22602240,0.0,0,plans/05b026fb2cdecf1f8aa3377653f92b653abaca5b14ccf3b217feb9bb6108df48.json
case_028,2,5,legacy,0.01,8032082,22602240,0.0,0,plans/05b026fb2cdecf1f8aa3377653f92b653abaca5b14ccf3b217feb9bb6108df48.json
case_028,2,5,legacy,0.03,8032082,22602240,0.0,0,plans/05b026fb2cdecf1f8aa3377653f92b653abaca5b14ccf3b217feb9bb6108df48.json
case_028,2,5,paired_w200,0,8032082,22602240,0.0,0,plans/05b026fb2cdecf1f8aa3377653f92b653abaca5b14ccf3b217feb9bb6108df48.json
case_028,2,5,paired_w200,0.01,8032082,22602240,0.0,0,plans/05b026fb2cdecf1f8aa3377653f92b653abaca5b14ccf3b217feb9bb6108df48.json
case_028,2,5,paired_w200,0.03,8032082,22602240,0.0,0,plans/05b026fb2cdecf1f8aa3377653f92b653abaca5b14ccf3b217feb9bb6108df48.json
case_028,3,5,legacy,0,7970583,22602240,0.0,0,plans/05b026fb2cdecf1f8aa3377653f92b653abaca5b14ccf3b217feb9bb6108df48.json
case_028,3,5,legacy,0.01,7970583,22602240,0.0,0,plans/05b026fb2cdecf1f8aa3377653f92b653abaca5b14ccf3b217feb9bb6108df48.json
case_028,3,5,legacy,0.03,7970583,22602240,0.0,0,plans/05b026fb2cdecf1f8aa3377653f92b653abaca5b14ccf3b217feb9bb6108df48.json
case_028,3,5,paired_w200,0,7970583,22602240,0.0,0,plans/05b026fb2cdecf1f8aa3377653f92b653abaca5b14ccf3b217feb9bb6108df48.json
case_028,3,5,paired_w200,0.01,7970583,22602240,0.0,0,plans/05b026fb2cdecf1f8aa3377653f92b653abaca5b14ccf3b217feb9bb6108df48.json
