batch,profile,case,problem,num_cores,compute_ops,size_band,stage,round,generation_seconds,evaluations,strict_time_improvement,before_time,after_time
full_p1_seed17,full,case_007,1,2,3885,02_1001..5000,component,0,0.07727170898579061,4,True,,507494
full_p1_seed17,full,case_007,1,2,3885,02_1001..5000,operation,0,0.08589174994267523,8,False,507494,507494
full_p1_seed17,full,case_008,1,2,864,01_<=1000,component,0,0.015305083012208343,4,True,,244266
full_p1_seed17,full,case_008,1,2,864,01_<=1000,operation,0,0.02009204193018377,8,False,244266,244266
full_p1_seed17,full,case_008,1,3,864,01_<=1000,component,0,0.02376500004902482,4,True,,163359
full_p1_seed17,full,case_008,1,3,864,01_<=1000,operation,0,0.020901957992464304,8,False,163359,163359
full_p1_seed17,full,case_008,1,4,864,01_<=1000,component,0,0.04080470802728087,4,True,,123060
full_p1_seed17,full,case_008,1,4,864,01_<=1000,operation,0,0.029321082984097302,8,False,123060,123060
full_p1_seed17,full,case_008,1,5,864,01_<=1000,component,0,0.053623749990947545,4,True,,100603
full_p1_seed17,full,case_008,1,5,864,01_<=1000,operation,0,0.025456917006522417,8,False,100603,100603
full_p1_seed17,full,case_007,1,3,3885,02_1001..5000,component,0,0.14584395894780755,4,True,,338094
full_p1_seed17,full,case_007,1,3,3885,02_1001..5000,operation,0,0.08768774999771267,8,False,338094,338094
full_p1_seed17,full,case_009,1,2,5671,03_5001..10000,component,0,0.10417000006418675,4,True,,92198
full_p1_seed17,full,case_009,1,2,5671,03_5001..10000,operation,0,0.12645091698504984,8,False,92198,92198
full_p1_seed17,full,case_003,1,2,13455,04_>10000,component,0,0.18609845906030387,4,True,,538381
full_p1_seed17,full,case_003,1,2,13455,04_>10000,operation,0,0.2384768748888746,8,False,538381,538381
full_p1_seed17,full,case_007,1,4,3885,02_1001..5000,component,0,0.2162296660244465,4,True,,254398
full_p1_seed17,full,case_007,1,4,3885,02_1001..5000,operation,0,0.09665295900776982,8,False,254398,254398
full_p1_seed17,full,case_009,1,3,5671,03_5001..10000,component,0,0.17195562494453043,4,True,,92207
full_p1_seed17,full,case_009,1,3,5671,03_5001..10000,operation,0,0.12762966693844646,8,False,92207,92207
full_p1_seed17,full,case_007,1,5,3885,02_1001..5000,component,0,0.29493454203475267,4,True,,203834
full_p1_seed17,full,case_007,1,5,3885,02_1001..5000,operation,0,0.10773783293552697,8,False,203834,203834
full_p1_seed17,full,case_010,1,2,667,01_<=1000,component,0,0.026530042057856917,4,True,,45626
full_p1_seed17,full,case_010,1,2,667,01_<=1000,operation,0,0.021513208048418164,8,False,45626,45626
full_p1_seed17,full,case_010,1,3,667,01_<=1000,component,0,0.04518870799802244,4,True,,30689
full_p1_seed17,full,case_010,1,3,667,01_<=1000,operation,0,0.018149625044316053,8,False,30689,30689
full_p1_seed17,full,case_010,1,4,667,01_<=1000,component,0,0.06646454194560647,4,True,,29856
full_p1_seed17,full,case_010,1,4,667,01_<=1000,operation,0,0.016259208088740706,8,False,29856,29856
full_p1_seed17,full,case_009,1,4,5671,03_5001..10000,component,0,0.4024815830634907,4,True,,92216
full_p1_seed17,full,case_009,1,4,5671,03_5001..10000,operation,0,0.1453478749608621,8,False,92216,92216
full_p1_seed17,full,case_010,1,5,667,01_<=1000,component,0,0.08621754194609821,4,True,,30054
full_p1_seed17,full,case_010,1,5,667,01_<=1000,operation,0,0.015931167057715356,8,False,30054,30054
full_p1_seed17,full,case_011,1,2,688,01_<=1000,component,0,0.035215833922848105,4,True,,92646
full_p1_seed17,full,case_011,1,2,688,01_<=1000,operation,0,0.017040375038050115,8,False,92646,92646
full_p1_seed17,full,case_011,1,3,688,01_<=1000,component,0,0.09199745894875377,4,True,,69625
full_p1_seed17,full,case_011,1,3,688,01_<=1000,operation,0,0.019867041963152587,8,False,69625,69625
full_p1_seed17,full,case_011,1,4,688,01_<=1000,component,0,0.13741770794149488,4,True,,46880
full_p1_seed17,full,case_011,1,4,688,01_<=1000,operation,0,0.01766345906071365,8,False,46880,46880
full_p1_seed17,full,case_011,1,5,688,01_<=1000,component,0,0.19544808403588831,4,True,,47287
full_p1_seed17,full,case_011,1,5,688,01_<=1000,operation,0,0.01811045897193253,8,False,47287,47287
full_p1_seed17,full,case_012,1,2,972,01_<=1000,component,0,0.04395433305762708,4,True,,29964
full_p1_seed17,full,case_012,1,2,972,01_<=1000,operation,0,0.030454040970653296,8,False,29964,29964
full_p1_seed17,full,case_012,1,3,972,01_<=1000,component,0,0.125761125003919,4,True,,19924
full_p1_seed17,full,case_012,1,3,972,01_<=1000,operation,0,0.03146195795852691,8,False,19924,19924
full_p1_seed17,full,case_009,1,5,5671,03_5001..10000,component,0,0.3595721669262275,4,True,,92225
full_p1_seed17,full,case_009,1,5,5671,03_5001..10000,operation,0,0.1278677920345217,8,False,92225,92225
full_p1_seed17,full,case_012,1,4,972,01_<=1000,component,0,0.14962883293628693,4,True,,17253
full_p1_seed17,full,case_012,1,4,972,01_<=1000,operation,0,0.03021916700527072,8,False,17253,17253
full_p1_seed17,full,case_012,1,5,972,01_<=1000,component,0,0.1962657090043649,4,True,,14139
full_p1_seed17,full,case_012,1,5,972,01_<=1000,operation,0,0.03537016606424004,8,False,14139,14139
full_p1_seed17,full,case_013,1,2,1968,02_1001..5000,component,0,0.05669637501705438,4,True,,132198
full_p1_seed17,full,case_013,1,2,1968,02_1001..5000,operation,0,0.06588083400856704,8,False,132198,132198
