case,cores,makespan,added_copy_bytes,spill_bytes,hit_bytes,miss_bytes,hit_rate,source,plan_sha256
case_058,5,880410,18444288,0,0,25047040,0.0,exact_historical_hash,38075010f0195653bb099beabf7d385d97e912803cfae1d246b674450f867013
case_059,5,150528,4362240,0,4102144,1312768,0.7575642965204236,exact_historical_hash,8bbd79ec1c3026291363d72abd40144241b5f5e2ea03f7f2894e65b4dbe9f6a9
case_060,5,153683,3508608,67584,2337024,3270312,0.4167797328356995,fixed_plan_replay,70ed10d1b1308ae57818a4bc5a2a5ac1fb8398b9003ec1b475077d9b68a0f109
case_061,5,20986,305762,0,135170,629332,0.17680790893941414,exact_historical_hash,2d17bb243c4f1eadbb3ba06f291da3488586ffcfb5ebe7f155edbe64ebe354b1
case_062,5,644927,7099392,239616,0,16949760,0.0,exact_historical_hash,f1b5c7d39fc0200c24231ca1a0a012da5fbb76dbc046b91d1953b9405ce79895
case_063,5,206181,3164160,165888,124416,6560256,0.018612132352941176,fixed_plan_replay,6cda928522a0e8aa99768b8cb9190bdde9236a4484645c00e0e46123715c735a
case_064,5,8510,127410,0,27186,85142,0.2420233601595328,exact_historical_hash,c4448c0f313436e62ee76537a2dda10024dd66e856616d2dbf4c9f97a07cb16b
case_065,5,8334,55584,0,37152,318152,0.10456397901515323,exact_historical_hash,85624f63340c6de2a21462c4a4cc3e569a760965a03e70d091d68e3f5f8c4561
case_066,5,106776,3267848,0,1063390,2073562,0.3389882918195752,fixed_plan_replay,f5492142dc5ede1590c1bd35401453da2ea9647cc6e3e15b9060b8fa404a04b3
case_067,5,11993835,78601728,854016,11763328,40259840,0.22611710228796525,fixed_plan_replay,feb10471845755b4794674947390b0cadc42f1461a5cc3390780fa519b8203ea
case_068,5,121619,4175156,0,1897664,3845362,0.33042928936766086,exact_historical_hash,0e8993b80f8e2f3297c4fc39d35bfbdfd0b95bcb35210245c642bcba24964367
case_069,5,9107,426832,0,144784,252054,0.36484409255162054,fixed_plan_replay,f8dec54fab8513f430aca3c31f2fc7096cddee2bb6effa7f5a015344b82b5937
case_070,5,21056,462848,0,266240,616466,0.3016179792592324,fixed_plan_replay,6f2085d09b57699f9d4da5b49b815ba7af465478caa512aa0f9746d5a2de0ef9
case_071,5,7473,361106,0,108306,236470,0.314134394505418,exact_historical_hash,97644ccb61745a5ccd2e97936c70ef06329fae17d6c78e47d91a0d21905abddd
case_072,5,4795217,130830384,102379568,14639104,127284286,0.10314793072516094,fixed_plan_replay,e8612344991b38fb95c0a2a723bbba888bad1ea4af375bb0cad83764c5accc58
case_073,5,1751868,22805504,0,6045952,16681344,0.2660216155938656,fixed_plan_replay,3ad1e4b6b008c9bd7c7e69a6c0719fdc600e4fa08f8ee74701df4067545ef73d
case_074,5,324857,5636096,1695744,2797568,6606872,0.2974731084466486,fixed_plan_replay,ff58cc11989cb311a803fff135f96045b3cb7cffffb3be0eeb00ffeb35e2f457
case_075,5,379091,12764184,0,2791502,6324048,0.3062351695728727,fixed_plan_replay,d6eb9edd3a82d3ecd7a7ea152ab7d9879d5f9bc3c554ab7af8233faeefba20e2
case_076,5,1223447,18843648,3581952,13919232,9193472,0.6022329537902619,exact_historical_hash,81f11c7603a3e638307574ad60017fdb0169812a3f75ca6d7c77cc1459f1f432
case_077,5,108214,172032,0,8192,2305100,0.003541273648117056,exact_historical_hash,a43749a20b0330779dab26c9a7d2c60049b297712cb8c564b45dfa6711ad385c
case_078,5,454208,11867136,0,5471664,6777552,0.4466950374619894,exact_historical_hash,9f21822b6b58a46c636f313c156b9857c4ca4da42dd2f282ccc76969b48bee40
case_079,5,5992556,39710720,17678336,14479360,31043584,0.3180673025013496,exact_historical_hash,cd86c093925aff5c7f9b4c4d1b47ff78287baccf5ed3aec1c8592e00fd2f5add
case_080,5,74411,4255744,0,1806336,3473408,0.3421256788207913,exact_historical_hash,096bf994353e7cf818477cc501613f980e095fcfb0ee4ffeaf19757c8caf9d46
case_081,5,30943,0,0,0,1044820,0.0,fixed_plan_replay,eb6a279de1dc36e4d189241e1acc4e92b9c4ea1e18d7da5caf86ae8609ae4a93
case_082,5,195762,8262966,0,1584978,3465946,0.3137996136944448,fixed_plan_replay,57a29c843ef4dae7762455306abdee79e99f53e0e5f6489f570bf78a1777f369
case_083,5,171099,3754368,0,2654112,2268224,0.5391976492462116,fixed_plan_replay,7ade04b75f9102312d51d31360dff534a1e0bec6fec06bbab1b2900ba05c62bc
case_084,5,503472,0,0,0,9927786,0.0,fixed_plan_replay,c8e6182d15dafe67344927e4c22144262af784769c8dea8aa2a2a97e34670c16
case_085,5,815053,38726264,0,5557520,16601022,0.25080711537789807,fixed_plan_replay,0853ad1e3a014939a5f6a4de08aa901eabb5ce157d79e95ba829ffd0ad23dad2
case_086,5,40127,2115702,0,668562,921434,0.42048030309510215,fixed_plan_replay,e7a2ff619bfd452e5ea806afdead634a97c7ac95e49297bb4550564b2645eccd
case_087,5,790623,13385876,6404756,5022722,14116142,0.2624357433126647,fixed_plan_replay,9ccf241ec81f72ff60dbb29f1f0322f5cfb481d7716d122ae89f05dfe8ca509f
case_088,5,79900,2468858,0,1180368,2504344,0.32034199687791065,fixed_plan_replay,d4ebcbaa0f4b2eee50ea1123894751abdad16a5aacbe12eb3afaf90d83f39165
case_089,5,118946,954880,0,0,1357440,0.0,exact_historical_hash,5e6d237c04531687ff4b73f71fd5849d4e1bb5051bf39b16f56cabf45fbaa42e
case_090,5,194679,7936512,0,6097176,4024680,0.6023772715201638,fixed_plan_replay,a070c4fea0069ea3709eb0c1f757d76e1c18e44f6c2d5804dac396f9a7beb4d5
case_091,5,1818751,74685440,48772096,42772704,38372640,0.5271122394896742,fixed_plan_replay,19338df329a5f5b9f3ea1119a3e5af0186be942e2ce9a78195a5c31162351411
case_092,5,774426,4327808,507904,3498400,2619968,0.5717864633183228,fixed_plan_replay,812f5a2739c29fb6ddc567ce735cea19035d7eb21380d398060d95f6aeccd51e
case_093,5,15630,32768,0,0,606208,0.0,fixed_plan_replay,0c4cfb67aa1d454f8b52227073e9a4415f09b4f4745686100b7c04f43fd2dec5
case_094,5,16243,259200,0,162144,568384,0.22195453151693023,fixed_plan_replay,79985c6dd1c1792cbc5d10e9823e97f7129cb8748881bdcc5ea862edc41ff6f5
case_095,5,220188,0,0,0,8516508,0.0,exact_historical_hash,51f798d4c5e9bdad79964b2049ab3a8fb50a166ef79fc04747291d0797b1d982
case_096,5,21779,235312,0,96640,327404,0.22790087821075172,exact_historical_hash,cd9d96f69dca9e556c5bdc86fd2660991a2b1414578498214ed1b9988234b0d2
case_097,5,2101714,21319680,4280320,6541312,19038208,0.25572457966373097,fixed_plan_replay,a9b0b727c038c2eb7f405024ad2a35729426c32096cc531d9fa11a60eaf1019c
case_098,5,44288,875252,0,413750,938878,0.3058860233560151,fixed_plan_replay,36708cd785ebfbf4fdb4d7aa13c7bdec660d79d190fa2dcebf419391e6fb9d35
case_099,5,322542,10719232,3653632,7151616,6101248,0.5396279626803686,exact_historical_hash,04dbaa76d29fbfb34172d91656867b8c46a21d5a638fa4e1f9a2eeac58ff67f4
case_100,5,57811,0,0,0,436006,0.0,fixed_plan_replay,c649ec9f2a9e1fdcc550ac4ec2c5e82d5cfaaee4d164270061bbbe456de954a4
