case,makespan,copy,spill,hit_bytes,miss_bytes,hit_rate,plan_sha256
case_057,14028,14112,0,288,350412,0.0008212147134302823,7609a693c051df78a2606146066ef251e8021ebc6af5daec6597e6e76bc10fa5
case_058,880410,18444288,0,0,25047040,0.0,38075010f0195653bb099beabf7d385d97e912803cfae1d246b674450f867013
case_059,150528,4362240,0,4102144,1312768,0.7575642965204236,8bbd79ec1c3026291363d72abd40144241b5f5e2ea03f7f2894e65b4dbe9f6a9
case_060,153683,3508608,67584,2337024,3270312,0.4167797328356995,70ed10d1b1308ae57818a4bc5a2a5ac1fb8398b9003ec1b475077d9b68a0f109
case_061,20986,305762,0,135170,629332,0.17680790893941414,2d17bb243c4f1eadbb3ba06f291da3488586ffcfb5ebe7f155edbe64ebe354b1
case_062,644927,7099392,239616,0,16949760,0.0,f1b5c7d39fc0200c24231ca1a0a012da5fbb76dbc046b91d1953b9405ce79895
case_063,206181,3164160,165888,124416,6560256,0.018612132352941176,6cda928522a0e8aa99768b8cb9190bdde9236a4484645c00e0e46123715c735a
case_064,8510,127410,0,27186,85142,0.2420233601595328,c4448c0f313436e62ee76537a2dda10024dd66e856616d2dbf4c9f97a07cb16b
case_065,8334,55584,0,37152,318152,0.10456397901515323,85624f63340c6de2a21462c4a4cc3e569a760965a03e70d091d68e3f5f8c4561
case_066,106776,3267848,0,1063390,2073562,0.3389882918195752,f5492142dc5ede1590c1bd35401453da2ea9647cc6e3e15b9060b8fa404a04b3
case_067,11993835,78601728,854016,11763328,40259840,0.22611710228796525,feb10471845755b4794674947390b0cadc42f1461a5cc3390780fa519b8203ea
case_068,121619,4175156,0,1897664,3845362,0.33042928936766086,0e8993b80f8e2f3297c4fc39d35bfbdfd0b95bcb35210245c642bcba24964367
case_069,9107,426832,0,144784,252054,0.36484409255162054,f8dec54fab8513f430aca3c31f2fc7096cddee2bb6effa7f5a015344b82b5937
case_070,21056,462848,0,266240,616466,0.3016179792592324,6f2085d09b57699f9d4da5b49b815ba7af465478caa512aa0f9746d5a2de0ef9
case_071,7473,361106,0,108306,236470,0.314134394505418,97644ccb61745a5ccd2e97936c70ef06329fae17d6c78e47d91a0d21905abddd
case_072,4795217,130830384,102379568,14639104,127284286,0.10314793072516094,e8612344991b38fb95c0a2a723bbba888bad1ea4af375bb0cad83764c5accc58
case_073,1751868,22805504,0,6045952,16681344,0.2660216155938656,3ad1e4b6b008c9bd7c7e69a6c0719fdc600e4fa08f8ee74701df4067545ef73d
case_074,324857,5636096,1695744,2797568,6606872,0.2974731084466486,ff58cc11989cb311a803fff135f96045b3cb7cffffb3be0eeb00ffeb35e2f457
case_075,379091,12764184,0,2791502,6324048,0.3062351695728727,d6eb9edd3a82d3ecd7a7ea152ab7d9879d5f9bc3c554ab7af8233faeefba20e2
case_076,1223447,18843648,3581952,13919232,9193472,0.6022329537902619,81f11c7603a3e638307574ad60017fdb0169812a3f75ca6d7c77cc1459f1f432
case_077,108214,172032,0,8192,2305100,0.003541273648117056,a43749a20b0330779dab26c9a7d2c60049b297712cb8c564b45dfa6711ad385c
