id,sample,device_envelope_us,host_us,max_abs_error
pipe_worst_scale2_pipe_000,18,3712.98003197,3811.559,0
pipe_best_scale2_pipe_058,18,24502.5596619,24607.364,0
pipe_worst_scale2_pipe_003,19,4040.93980789,4173.171,0
pipe_best_scale1_pipe_055,19,17444.6792603,17578.008,0
pipe_best_scale2_pipe_055,19,34708.6601257,34830.934,0
pipe_best_scale2_pipe_058,19,24504.4403076,24631.733,0
pipe_worst_scale1_pipe_000,19,1872.95997143,1985.22,0
pipe_best_scale1_pipe_058,19,12263.1597519,12413.833,0
pipe_worst_scale1_pipe_003,19,2032.00006485,2141.33,0
pipe_worst_scale2_pipe_000,19,3714.99991417,3794.639,0
pipe_best_scale2_pipe_058,20,24489.0804291,24571.324,0
pipe_worst_scale2_pipe_003,20,4042.35982895,4172.931,0
pipe_best_scale1_pipe_058,20,12256.3199997,12350.982,0
pipe_worst_scale2_pipe_000,20,3717.2999382,3834.439,0
pipe_best_scale2_pipe_055,20,34683.9981079,34846.015,0
pipe_worst_scale1_pipe_003,20,2034.30008888,2160.721,0
pipe_best_scale1_pipe_055,20,17367.7806854,17467.587,0
pipe_worst_scale1_pipe_000,20,1886.27994061,1978.52,0
pipe_worst_scale2_pipe_003,21,4037.00017929,4112.741,0
pipe_best_scale1_pipe_058,21,12254.3201447,12346.101,0
pipe_worst_scale1_pipe_000,21,1929.62002754,2058.17,0
pipe_worst_scale1_pipe_003,21,2037.98007965,2116.781,0
pipe_best_scale2_pipe_058,21,24488.7008667,24593.954,0
pipe_best_scale2_pipe_055,21,34861.0610962,35040.816,0
pipe_worst_scale2_pipe_000,21,3727.65994072,3830.699,0
pipe_best_scale1_pipe_055,21,17136.5795135,17234.927,0
pipe_worst_scale2_pipe_000,22,3726.02009773,3853.489,0
pipe_best_scale1_pipe_055,22,17202.999115,17295.637,0
pipe_best_scale1_pipe_058,22,12271.4395523,12372.422,0
pipe_worst_scale1_pipe_003,22,2045.6199646,2150.22,0
pipe_worst_scale2_pipe_003,22,4038.45977783,4125.78,0
pipe_best_scale2_pipe_058,22,24489.5000458,24617.364,0
pipe_worst_scale1_pipe_000,22,1871.94001675,2000.67,0
