id,sample,device_envelope_us,host_us,max_abs_error
barrier_worst_scale1_barrier_067,19,327.399998903,394.632,0
barrier_worst_scale2_barrier_066,19,755.659997463,860.454,0
barrier_best_scale2_barrier_039,20,3718.6601162,3822.04,0
barrier_worst_scale2_barrier_067,20,688.74001503,774.674,0
barrier_best_scale1_barrier_039,20,1904.73997593,2026.04,0
barrier_worst_scale2_barrier_066,20,761.259973049,863.094,0
barrier_best_scale2_barrier_038,20,6840.66009521,6969.265,0
barrier_worst_scale1_barrier_067,20,425.900012255,534.873,0
barrier_best_scale1_barrier_038,20,3433.45999718,3530.347,0
barrier_worst_scale1_barrier_066,20,380.640000105,463.142,0
barrier_worst_scale2_barrier_067,21,683.939993382,800.504,0
barrier_best_scale1_barrier_039,21,1911.65995598,2002.2,0
barrier_worst_scale1_barrier_066,21,369.879990816,454.942,0
barrier_worst_scale1_barrier_067,21,441.080003977,545.163,0
barrier_best_scale2_barrier_039,21,3730.58009148,3833.689,0
barrier_best_scale2_barrier_038,21,6819.18001175,6904.954,0
barrier_worst_scale2_barrier_066,21,766.579985619,871.864,0
barrier_best_scale1_barrier_038,21,3428.11989784,3583.208,0
barrier_worst_scale2_barrier_066,22,744.859993458,821.404,0
barrier_best_scale1_barrier_038,22,3445.44005394,3583.068,0
barrier_best_scale1_barrier_039,22,1895.61998844,1975.419,0
barrier_worst_scale1_barrier_067,22,424.540013075,502.092,0
barrier_worst_scale2_barrier_067,22,689.920008183,765.454,0
barrier_best_scale2_barrier_039,22,3710.31999588,3807.459,0
barrier_worst_scale1_barrier_066,22,405.299991369,516.443,0
barrier_best_scale2_barrier_038,22,6826.75981522,6913.565,0
barrier_best_scale1_barrier_038,23,3422.46007919,3518.718,0
barrier_worst_scale1_barrier_066,23,377.880007029,441.102,0
barrier_worst_scale2_barrier_067,23,656.300008297,768.724,0
barrier_worst_scale1_barrier_067,23,445.199996233,559.302,0
barrier_best_scale1_barrier_039,23,1907.68003464,2004.24,0
barrier_worst_scale2_barrier_066,23,769.620001316,869.874,0
barrier_best_scale2_barrier_039,23,3723.7200737,3841.14,0
barrier_best_scale2_barrier_038,23,6830.42001724,6925.015,0
barrier_best_scale2_barrier_038,24,6826.53999329,6957.605,0
barrier_best_scale1_barrier_039,24,1888.90004158,2028.95,0
barrier_worst_scale1_barrier_067,24,436.280012131,551.373,0
barrier_worst_scale2_barrier_066,24,754.739999771,871.105,0
barrier_worst_scale2_barrier_067,24,695.500016212,835.394,0
barrier_worst_scale1_barrier_066,24,409.35999155,529.113,0
barrier_best_scale1_barrier_038,24,3429.46004868,3531.477,0
barrier_best_scale2_barrier_039,24,3711.17997169,3795.769,0
barrier_best_scale2_barrier_039,25,3725.55994987,3833.2,0
barrier_best_scale2_barrier_038,25,6813.37976456,6899.575,0
barrier_worst_scale2_barrier_066,25,795.560002327,923.724,0
barrier_worst_scale1_barrier_067,25,379.979997873,499.243,0
barrier_worst_scale2_barrier_067,25,682.799994946,782.884,0
barrier_best_scale1_barrier_038,25,3440.05990028,3571.348,0
barrier_best_scale1_barrier_039,25,1870.46003342,1973.42,0
barrier_worst_scale1_barrier_066,25,367.900013924,483.022,0
barrier_worst_scale2_barrier_067,26,686.200022697,793.224,0
barrier_worst_scale2_barrier_066,26,793.78002882,923.124,0
barrier_worst_scale1_barrier_067,26,370.460003614,477.413,0
barrier_worst_scale1_barrier_066,26,395.77999711,528.002,0
barrier_best_scale2_barrier_038,26,6824.99980927,6953.015,0
barrier_best_scale2_barrier_039,26,3713.25993538,3830.109,0
barrier_best_scale1_barrier_039,26,1890.31994343,2003.56,0
barrier_best_scale1_barrier_038,26,3430.34005165,3514.868,0
barrier_best_scale1_barrier_038,27,3437.9799366,3568.868,0
barrier_best_scale1_barrier_039,27,1884.47999954,1966.59,0
barrier_worst_scale2_barrier_067,27,666.079998016,739.733,0
barrier_worst_scale1_barrier_067,27,351.260006428,471.733,0
barrier_best_scale2_barrier_039,27,3729.48002815,3840.409,0
barrier_worst_scale2_barrier_066,27,757.000029087,860.394,0
barrier_best_scale2_barrier_038,27,6836.2197876,6936.755,0
barrier_worst_scale1_barrier_066,27,386.440008879,515.843,0
barrier_best_scale1_barrier_038,28,3438.15994263,3555.298,0
barrier_worst_scale1_barrier_066,28,391.600012779,468.712,0
barrier_worst_scale2_barrier_067,28,715.740025043,805.394,0
barrier_best_scale2_barrier_039,28,3726.14002228,3809.209,0
