id,sample,device_envelope_us,host_us,max_abs_error
reuse_worst_scale1_reuse_003,24,42.500000447,111.34,0
reuse_best_scale1_reuse_033,24,16124.4392395,16195.382,0
reuse_best_scale2_reuse_032,24,3078.50003242,3165.236,0
reuse_best_scale2_reuse_032,25,3099.2000103,3166.896,0
reuse_best_scale2_reuse_033,25,32199.8405457,32277.192,0
reuse_worst_scale2_reuse_003,25,64.0399977565,143.631,0
reuse_worst_scale1_reuse_002,25,39.2399989069,111.681,0
reuse_worst_scale2_reuse_002,25,49.0799993277,101.741,0
reuse_best_scale1_reuse_033,25,16120.3193665,16217.782,0
reuse_best_scale1_reuse_032,25,1572.03996181,1663.719,0
reuse_worst_scale1_reuse_003,25,57.3199987411,124.591,0
reuse_worst_scale2_reuse_002,26,58.5599988699,115.801,0
reuse_worst_scale2_reuse_003,26,59.9800013006,118.55,0
reuse_worst_scale1_reuse_002,26,35.300001502,83.52,0
reuse_worst_scale1_reuse_003,26,46.3799983263,107.02,0
reuse_best_scale2_reuse_033,26,32182.2395325,32250.382,0
reuse_best_scale2_reuse_032,26,3101.11999512,3183.426,0
reuse_best_scale1_reuse_032,26,1568.35997105,1644.469,0
reuse_best_scale1_reuse_033,26,16115.819931,16192.171,0
reuse_best_scale1_reuse_033,27,16137.5598907,16219.992,0
reuse_best_scale1_reuse_032,27,1571.25997543,1648.388,0
reuse_worst_scale2_reuse_002,27,42.5999984145,114.441,0
reuse_worst_scale1_reuse_002,27,36.5400016308,97.15,0
reuse_best_scale2_reuse_032,27,3072.88002968,3141.166,0
reuse_worst_scale2_reuse_003,27,92.720001936,183.351,0
reuse_best_scale2_reuse_033,27,32179.2182922,32284.871,0
reuse_worst_scale1_reuse_003,27,73.679998517,161.481,0
reuse_best_scale1_reuse_033,28,16114.9806976,16187.091,0
reuse_worst_scale1_reuse_003,28,59.4800002873,130.391,0
reuse_worst_scale2_reuse_002,28,49.4799986482,101.79,0
reuse_best_scale2_reuse_032,28,3083.51993561,3146.246,0
reuse_best_scale1_reuse_032,28,1572.78001308,1662.208,0
reuse_best_scale2_reuse_033,28,32205.7418823,32289.022,0
reuse_worst_scale1_reuse_002,28,50.6599992514,145.611,0
reuse_worst_scale2_reuse_003,28,70.2399984002,129.35,0
reuse_best_scale1_reuse_032,29,1545.89998722,1609.988,0
reuse_worst_scale2_reuse_003,29,74.8599991202,150.21,0
reuse_worst_scale1_reuse_002,29,36.1800007522,94.29,0
reuse_best_scale2_reuse_033,29,32188.7397766,32254.072,0
reuse_worst_scale1_reuse_003,29,60.3599995375,129.98,0
reuse_worst_scale2_reuse_002,29,49.0799993277,113.121,0
reuse_best_scale1_reuse_033,29,16122.5204468,16195.911,0
reuse_best_scale2_reuse_032,29,3097.8000164,3166.765,0
