case,problem,cores,valid,cold_makespan,archive_makespan,cold_speedup,archive_speedup,outcome,trained_graph,calls,seconds,failures,best_name
case_012,2,5,True,13565,12452,4.35591596019167,4.745261805332476,loss,False,8,3.0381105260021286,0,v2_p2_component_critical
case_012,3,5,True,13239,12452,4.463176977113075,4.745261805332476,loss,False,8,3.2264354069920955,0,v2_p3_component_cache_window
case_013,1,5,True,54363,54363,4.855305998565201,4.855305998565201,tie,False,3,3.1715599870076403,0,wcc_start0_simple_a5_per_core_lpt_mv
case_013,2,5,True,54168,53708,4.872784669915817,4.914519252252923,loss,False,8,6.659164138996857,0,joint_g0_reallocate_branch
case_013,3,5,True,53629,53418,4.921758749930075,4.941199595641918,loss,False,5,5.245076866005547,0,joint_g0_reallocate_branch
case_014,1,5,False,,3641147,,4.860728226572561,invalid,False,3,119.91282640199643,3,
case_014,2,5,True,3674889,3703529,4.816098118881958,4.778854438563867,win,False,3,92.9966738029907,0,v2_p2_component_critical
case_014,3,5,True,3648439,3686924,4.851013268962425,4.800377225025523,win,False,3,116.13380265999876,1,v2_p3_component_cache_window
case_015,1,5,True,43411,43411,4.085646495127963,4.085646495127963,tie,False,8,4.041057536989683,0,wcc_start0_simple_a5_per_core_lpt_mv
case_015,2,5,True,43095,42588,4.115605058591484,4.164600356908049,loss,False,8,3.3886944840051,0,v2_p2_component_critical
case_015,3,5,True,43411,42588,4.085646495127963,4.164600356908049,loss,False,8,4.399655745990458,0,wcc_start0_simple_a5_per_core_lpt_mv
case_016,1,5,True,7718119,3223183,0.9996636486169752,2.3937589023024755,loss,False,4,120.19774267601315,2,selective_local_quantile_critical_path_x1_a5_eft
case_016,2,5,True,2243300,1971422,3.439362992020684,3.913684132570297,loss,False,8,93.15163437300362,0,op_critical_path_w100
case_016,3,5,True,2086493,1969193,3.697842743781072,3.9181141716429013,loss,False,8,98.56377040402731,0,joint_fifo_g1_t2_w8_advance
case_017,1,5,True,35496,35340,4.586713995943205,4.606960950764007,loss,False,8,4.82305309799267,0,wcc_start0_simple_a5_per_core_lpt_mv
case_017,2,5,True,34905,32681,4.6643747314138375,4.981793702763073,loss,False,8,4.146342895008274,0,v2_p2_component_residency
case_017,3,5,True,34946,32681,4.658902306415612,4.981793702763073,loss,False,8,4.550571687010233,0,v2_p3_component_residency
case_018,1,5,True,205917,205917,4.8775331808447095,4.8775331808447095,tie,False,7,11.000430555010098,0,wcc_start0_simple_a5_per_core_lpt_mv
case_018,2,5,True,205812,204654,4.880021573086117,4.907634348705621,loss,False,8,7.357129473995883,0,v2_p2_component_critical
case_018,3,5,True,201943,201238,4.97351727962841,4.990941074747314,loss,False,8,7.899333403998753,0,joint_g0_reallocate_affinity
case_019,1,5,True,19414,19414,4.179664159884619,4.179664159884619,tie,False,8,2.906860504997894,0,selective_phase_band_critical_path_x1_a5_eft
case_019,2,5,True,16220,17473,5.002712700369914,4.643964974532135,win,False,8,2.9213633699982893,0,v2_p2_branch_s2_residency
case_019,3,5,True,15396,15833,5.270459859703819,5.12499210509695,win,False,8,3.2611433760030195,0,v2_p3_wavefront_s2_residency
case_020,1,5,True,107650,107494,4.948871342313051,4.95605336111783,loss,False,2,7.906140476989094,0,wcc_start0_simple_a5_per_core_lpt_mv
case_020,2,5,True,107650,107187,4.948871342313051,4.97024825771782,loss,False,2,3.637147885005106,0,wcc_start0_simple_a5_per_core_lpt_mv
case_020,3,5,True,107650,107187,4.948871342313051,4.97024825771782,loss,False,2,3.6377800009940984,0,wcc_start0_simple_a5_per_core_lpt_mv
case_021,1,5,True,1250168,1243902,5.253643510312214,5.280108079253832,loss,False,2,6.507738917993265,0,wcc_start0_simple_a5_per_core_lpt_mv
case_021,2,5,True,1244571,1250168,5.277269838361974,5.253643510312214,win,False,2,3.1704508080001688,0,v2_p2_component_critical
case_021,3,5,True,1244853,1249311,5.276074363800385,5.2572473947639935,win,False,2,3.275261634000344,0,v2_p3_component_cache_window
case_022,1,5,True,11828,11828,4.800473452823808,4.800473452823808,tie,False,6,3.0473266519984463,0,wcc_start0_simple_a5_per_core_lpt_mv
case_022,2,5,True,11828,11576,4.800473452823808,4.904975812024879,loss,False,8,3.2832336949941237,0,wcc_start0_simple_a5_per_core_lpt_mv
case_022,3,5,True,11828,11576,4.800473452823808,4.904975812024879,loss,False,8,3.621536358987214,0,wcc_start0_simple_a5_per_core_lpt_mv
case_023,1,5,True,24268,23846,5.052497115543102,5.141910592971567,loss,False,8,3.541380463007954,0,wcc_task_6_mv_complement_batch2
case_023,2,5,True,24940,20245,4.91635926222935,6.056507779698691,loss,False,8,3.504603100998793,0,wcc_start0_simple_a5_per_core_lpt_mv
case_023,3,5,True,24940,20159,4.91635926222935,6.082345354432263,loss,False,8,4.035637272987515,0,wcc_start0_simple_a5_per_core_lpt_mv
case_024,1,5,True,1341398,1095114,1.9049849485387633,2.3334036456478504,loss,False,8,68.40617083699908,0,v2_p1_branch_strict_s2_merge
case_024,2,5,True,747674,658886,3.41772349981409,3.8782778811509124,loss,False,8,16.64597034599865,0,op_critical_path_w100
case_024,3,5,True,693377,656657,3.685358758655104,3.8914425643829276,loss,False,8,16.4531002099975,0,joint_fifo_g1_t2_w8_advance
