case,problem,cores,method,call,phase,status,best_makespan
case_060,2,5,integrated,8,data,success,164455
case_060,2,5,integrated,9,region,success,164455
case_060,2,5,integrated,10,structure,success,164455
case_060,2,5,integrated,11,legacy,success,164455
case_060,2,5,integrated,12,data,success,163999
case_021,3,5,integrated,1,component,success,1249380
case_021,3,5,integrated,2,component,success,1249380
case_021,3,5,integrated,3,wcc,success,1249380
case_021,3,5,integrated,4,wcc,success,1249380
case_021,3,5,integrated,5,wcc_probe,success,1249380
case_021,3,5,integrated,6,operation,success,1249380
case_021,3,5,integrated,7,data,success,1249311
case_021,3,5,integrated,8,region,success,1249311
case_021,3,5,integrated,9,structure,success,1249311
case_021,3,5,integrated,10,legacy,success,1249311
case_021,3,5,integrated,11,data,success,1249311
case_021,3,5,integrated,12,region,success,1249311
case_094,3,5,local_legacy,1,component,success,24943
case_094,3,5,local_legacy,2,component,success,24943
case_094,3,5,local_legacy,3,wcc,success,24943
case_094,3,5,local_legacy,4,wcc,success,21651
case_094,3,5,local_legacy,5,component,success,21651
case_094,3,5,local_legacy,6,wcc,success,16819
case_094,3,5,local_legacy,7,structure_pair,success,16243
case_094,3,5,local_legacy,8,legacy,success,16243
case_094,3,5,local_legacy,9,legacy,success,16243
case_094,3,5,local_legacy,10,structure,success,16243
case_094,3,5,local_legacy,11,legacy,success,16243
case_094,3,5,local_legacy,12,legacy,success,16243
case_090,2,5,baseline,1,component,success,542638
case_090,2,5,baseline,2,component,success,542638
case_090,2,5,baseline,3,wcc,success,542638
case_090,2,5,baseline,4,wcc,success,364675
case_090,2,5,baseline,5,component,success,364675
case_090,2,5,baseline,6,wcc,success,364675
case_090,2,5,baseline,7,component,success,364675
case_090,2,5,baseline,8,wcc,success,260978
case_090,2,5,baseline,9,component,success,260978
case_090,2,5,baseline,10,wcc,success,260978
case_090,2,5,baseline,11,component,success,260978
case_090,2,5,baseline,12,wcc,success,260978
case_031,2,5,local_legacy,1,component,success,306213
case_031,2,5,local_legacy,2,component,success,306213
case_031,2,5,local_legacy,3,wcc,success,303356
case_031,2,5,local_legacy,4,wcc,success,277319
case_031,2,5,local_legacy,5,wcc_probe,success,277319
case_031,2,5,local_legacy,6,operation,success,277319
case_031,2,5,local_legacy,7,legacy,success,277319
case_031,2,5,local_legacy,8,legacy,success,277319
case_031,2,5,local_legacy,9,structure,success,277319
case_031,2,5,local_legacy,10,legacy,success,277319
case_031,2,5,local_legacy,11,legacy,success,277319
case_031,2,5,local_legacy,12,legacy,success,277319
case_031,2,5,baseline,1,component,success,306213
case_031,2,5,baseline,2,component,success,306213
case_031,2,5,baseline,3,wcc,success,303356
case_031,2,5,baseline,4,wcc,success,277319
case_031,2,5,baseline,5,wcc_probe,success,273808
case_031,2,5,baseline,6,operation,success,273808
case_031,2,5,baseline,7,operation,success,273808
case_031,2,5,baseline,8,trace,success,273263
case_031,2,5,baseline,9,trace,success,273263
case_031,2,5,baseline,10,trace,success,273263
case_031,2,5,baseline,11,trace,success,273263
case_031,2,5,baseline,12,trace,success,273240
case_071,1,5,local_legacy,1,component,success,18919
case_071,1,5,local_legacy,2,partition,success,18919
case_071,1,5,local_legacy,3,partition,success,18919
case_071,1,5,local_legacy,4,partition,success,13705
case_071,1,5,local_legacy,5,task_refine,success,12370
case_071,1,5,local_legacy,6,task_refine,success,11832
case_071,1,5,local_legacy,7,legacy,success,11626
case_071,1,5,local_legacy,8,legacy,success,11626
case_071,1,5,local_legacy,9,structure,success,11626
case_071,1,5,local_legacy,10,legacy,success,11626
case_071,1,5,local_legacy,11,structure,success,11626
case_071,1,5,local_legacy,12,structure,success,11626
case_031,2,5,integrated,1,component,success,306213
case_031,2,5,integrated,2,component,success,306213
case_031,2,5,integrated,3,wcc,success,303356
case_031,2,5,integrated,4,wcc,success,277319
case_031,2,5,integrated,5,wcc_probe,success,277319
case_031,2,5,integrated,6,operation,success,277319
case_031,2,5,integrated,7,data,success,277319
case_031,2,5,integrated,8,region,success,277319
case_031,2,5,integrated,9,structure,success,277319
case_031,2,5,integrated,10,legacy,success,277319
case_031,2,5,integrated,11,data,success,277319
case_031,2,5,integrated,12,region,success,277319
case_009,1,5,local_legacy,1,component,success,92225
case_009,1,5,local_legacy,2,component,success,92225
case_009,1,5,local_legacy,3,component,success,92225
case_009,1,5,local_legacy,4,partition,success,92207
case_009,1,5,local_legacy,5,task_refine,success,92207
case_009,1,5,local_legacy,6,task_refine,success,92207
case_009,1,5,local_legacy,7,legacy,success,92207
case_009,1,5,local_legacy,8,legacy,success,92207
case_009,1,5,local_legacy,9,structure,success,92207
case_009,1,5,local_legacy,10,legacy,success,92207
case_009,1,5,local_legacy,11,legacy,success,92207
case_009,1,5,local_legacy,12,structure,success,83830
case_088,1,5,integrated,1,component,success,202791
case_088,1,5,integrated,2,component,success,202791
case_088,1,5,integrated,3,component,success,202791
case_088,1,5,integrated,4,component,success,202791
case_088,1,5,integrated,5,tensor,success,202791
case_088,1,5,integrated,6,tensor,success,202195
case_088,1,5,integrated,7,joint,success,133065
case_088,1,5,integrated,8,structure,success,133065
case_088,1,5,integrated,9,joint,success,126853
case_088,1,5,integrated,10,legacy,success,126853
case_088,1,5,integrated,11,joint,success,114530
case_088,1,5,integrated,12,joint,success,106961
case_031,3,5,local_legacy,1,component,success,306213
case_031,3,5,local_legacy,2,component,success,306213
case_031,3,5,local_legacy,3,wcc,success,303350
case_031,3,5,local_legacy,4,wcc,success,276214
case_031,3,5,local_legacy,5,wcc_probe,success,276214
case_031,3,5,local_legacy,6,operation,success,276214
case_031,3,5,local_legacy,7,legacy,success,276214
case_031,3,5,local_legacy,8,legacy,success,276203
case_031,3,5,local_legacy,9,structure,success,276203
case_031,3,5,local_legacy,10,legacy,success,276203
case_031,3,5,local_legacy,11,legacy,success,276203
case_031,3,5,local_legacy,12,legacy,success,276203
case_060,2,5,baseline,1,component,success,183430
case_060,2,5,baseline,2,component,success,183430
case_060,2,5,baseline,3,wcc,success,183430
case_060,2,5,baseline,4,wcc,success,183430
case_060,2,5,baseline,5,component,success,183430
case_060,2,5,baseline,6,wcc,success,164455
case_060,2,5,baseline,7,component,success,164455
case_060,2,5,baseline,8,wcc,success,164455
case_060,2,5,baseline,9,component,success,164455
case_060,2,5,baseline,10,wcc,success,164455
case_060,2,5,baseline,11,component,success,164455
case_060,2,5,baseline,12,wcc,success,164455
case_074,2,5,integrated,1,component,success,345470
case_074,2,5,integrated,2,component,success,345470
case_074,2,5,integrated,3,wcc,success,340460
case_074,2,5,integrated,4,wcc,success,340460
case_074,2,5,integrated,5,wcc_probe,success,340460
case_074,2,5,integrated,6,operation,success,340460
case_074,2,5,integrated,7,data,success,339693
case_074,2,5,integrated,8,region,success,339206
case_074,2,5,integrated,9,structure,success,338235
case_074,2,5,integrated,10,structure_pair,success,329790
case_074,2,5,integrated,11,legacy,success,329790
case_074,2,5,integrated,12,data,success,329505
case_090,2,5,integrated,1,component,success,542638
case_090,2,5,integrated,2,component,success,542638
case_090,2,5,integrated,3,wcc,success,542638
case_090,2,5,integrated,4,wcc,success,364675
case_090,2,5,integrated,5,component,success,364675
case_090,2,5,integrated,6,wcc,success,364675
case_090,2,5,integrated,7,structure_pair,success,260978
case_090,2,5,integrated,8,data,success,260978
case_090,2,5,integrated,9,region,success,260978
case_090,2,5,integrated,10,structure,success,260978
case_090,2,5,integrated,11,legacy,success,260978
case_090,2,5,integrated,12,data,success,260978
case_060,2,5,local_legacy,1,component,success,183430
case_060,2,5,local_legacy,2,component,success,183430
case_060,2,5,local_legacy,3,wcc,success,183430
case_060,2,5,local_legacy,4,wcc,success,183430
case_060,2,5,local_legacy,5,component,success,183430
case_060,2,5,local_legacy,6,wcc,success,164455
case_060,2,5,local_legacy,7,structure_pair,success,164455
case_060,2,5,local_legacy,8,legacy,success,164455
case_060,2,5,local_legacy,9,legacy,success,164455
case_060,2,5,local_legacy,10,structure,success,164455
case_060,2,5,local_legacy,11,legacy,success,164455
case_060,2,5,local_legacy,12,legacy,success,164455
case_031,3,5,baseline,1,component,success,306213
case_031,3,5,baseline,2,component,success,306213
case_031,3,5,baseline,3,wcc,success,303350
case_031,3,5,baseline,4,wcc,success,276214
case_031,3,5,baseline,5,wcc_probe,success,273747
case_031,3,5,baseline,6,operation,success,273747
case_031,3,5,baseline,7,operation,success,273747
case_031,3,5,baseline,8,trace,success,273059
case_031,3,5,baseline,9,trace,success,273059
case_031,3,5,baseline,10,p3_cache,success,273059
case_031,3,5,baseline,11,p3_cache,success,273059
case_031,3,5,baseline,12,p3_cache,success,273059
